"Status","Year","Region_ITL1","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Advisory, Conciliation and Arbitration Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Advisory, Conciliation and Arbitration Service","Operational Delivery","90","80","28930","30950"
"In post","2021","East Midlands (England)","Advisory, Conciliation and Arbitration Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Animal and Plant Health Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Animal and Plant Health Agency","Operational Delivery","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Animal and Plant Health Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Animal and Plant Health Agency","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Crown Commercial Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Crown Prosecution Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Crown Prosecution Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Crown Prosecution Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Crown Prosecution Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Crown Prosecution Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Crown Prosecution Service","Legal","210","190","51100","51470"
"In post","2021","East Midlands (England)","Crown Prosecution Service","Operational Delivery","190","180","25840","23470"
"In post","2021","East Midlands (England)","Defence Equipment and Support","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Defence Equipment and Support","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Defence Equipment and Support","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Defence Equipment and Support","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Defence Equipment and Support","Other","70","60","32040","29410"
"In post","2021","East Midlands (England)","Defence Equipment and Support","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Defence Equipment and Support","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Defence Equipment and Support","Science and Engineering","110","100","36980","35100"
"In post","2021","East Midlands (England)","Defence Science and Technology Laboratory","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education (excl. agencies)","Policy","140","130","40040","36780"
"In post","2021","East Midlands (England)","Department for Education (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Education (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for International Trade","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for International Trade","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for International Trade","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Transport (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Department for Work and Pensions (excl. agencies)","Unknown","4490","3970","25910","27570"
"In post","2021","East Midlands (England)","Driver and Vehicle Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Driver and Vehicle Standards Agency","Communications","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Driver and Vehicle Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Driver and Vehicle Standards Agency","Digital, Data and Technology","70","70","39040","38650"
"In post","2021","East Midlands (England)","Driver and Vehicle Standards Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Driver and Vehicle Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Driver and Vehicle Standards Agency","Knowledge and Information Management","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Driver and Vehicle Standards Agency","Operational Delivery","280","270","28360","26780"
"In post","2021","East Midlands (England)","Driver and Vehicle Standards Agency","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Driver and Vehicle Standards Agency","Other","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Driver and Vehicle Standards Agency","Policy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Driver and Vehicle Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
