"Status","Year","Parent_department","Sex","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Female","Asian","620","560","42160","41490"
"In post","2021","Attorney General's Departments","Female","Black","410","380","39860","32410"
"In post","2021","Attorney General's Departments","Female","Chinese","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Mixed","180","170","46160","50520"
"In post","2021","Attorney General's Departments","Female","Other ethnicity","80","70","48740","51830"
"In post","2021","Attorney General's Departments","Female","Undeclared","80","80","43780","43000"
"In post","2021","Attorney General's Departments","Female","Unknown","740","680","45480","48830"
"In post","2021","Attorney General's Departments","Female","White","4230","3830","43830","43920"
"In post","2021","Attorney General's Departments","Male","Asian","280","270","43160","40000"
"In post","2021","Attorney General's Departments","Male","Black","150","150","41760","32520"
"In post","2021","Attorney General's Departments","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Male","Mixed","100","90","47930","50500"
"In post","2021","Attorney General's Departments","Male","Other ethnicity","50","50","53890","54810"
"In post","2021","Attorney General's Departments","Male","Undeclared","80","80","44860","46800"
"In post","2021","Attorney General's Departments","Male","Unknown","420","410","48410","51730"
"In post","2021","Attorney General's Departments","Male","White","2360","2310","48290","50850"
"In post","2021","Cabinet Office","Female","Asian","280","270","44200","38560"
"In post","2021","Cabinet Office","Female","Black","170","170","40040","35590"
"In post","2021","Cabinet Office","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Female","Mixed","110","100","43660","36890"
"In post","2021","Cabinet Office","Female","Other ethnicity","40","40","[c]","[c]"
"In post","2021","Cabinet Office","Female","Undeclared","80","80","44910","40600"
"In post","2021","Cabinet Office","Female","Unknown","2150","2110","42630","32000"
"In post","2021","Cabinet Office","Female","White","2200","2110","46390","40600"
"In post","2021","Cabinet Office","Male","Asian","190","190","48330","42040"
"In post","2021","Cabinet Office","Male","Black","90","90","45850","40600"
"In post","2021","Cabinet Office","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Male","Mixed","90","90","51220","51100"
"In post","2021","Cabinet Office","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Male","Undeclared","150","150","49170","52200"
"In post","2021","Cabinet Office","Male","Unknown","1890","1880","47930","34550"
"In post","2021","Cabinet Office","Male","White","1970","1950","50830","51190"
"In post","2021","Chancellor's other departments","Female","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Female","White","120","110","57680","48450"
"In post","2021","Chancellor's other departments","Male","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Male","White","150","150","67900","57250"
"In post","2021","Charity Commission","Female","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Unknown","50","50","[c]","[c]"
"In post","2021","Charity Commission","Female","White","190","170","33700","29160"
"In post","2021","Charity Commission","Male","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Unknown","40","40","[c]","[c]"
"In post","2021","Charity Commission","Male","White","140","130","35200","29400"
"In post","2021","Competition and Markets Authority","Female","Asian","60","60","42590","35270"
"In post","2021","Competition and Markets Authority","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","White","290","270","62780","58920"
"In post","2021","Competition and Markets Authority","Male","Asian","50","50","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Black","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","White","280","270","64700","59940"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Asian","410","390","39490","35300"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Black","250","250","37750","33640"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Mixed","150","140","42120","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Other ethnicity","50","50","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Undeclared","210","200","42130","39690"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Unknown","1080","1020","33260","30170"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","White","4310","4010","40280","37420"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Asian","310","300","39140","35150"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Black","150","140","39440","36880"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Chinese","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Mixed","140","140","45630","41020"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Other ethnicity","50","50","46540","48250"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Undeclared","410","390","46070","43100"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Unknown","1230","1200","37460","34690"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","White","4370","4280","44840","40720"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Asian","70","70","46090","50860"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Black","60","60","39590","34020"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Chinese","[c]","[c]","[c]","[c]"
