"Status","Year","Region_ITL1","Responsibility_level","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","AA/AO","Declared disabled","960","860","21580","21010"
"In post","2021","East Midlands (England)","AA/AO","Declared non-disabled","5080","4580","22130","21010"
"In post","2021","East Midlands (England)","AA/AO","Undeclared","620","560","23800","21130"
"In post","2021","East Midlands (England)","AA/AO","Unknown","1350","1260","21370","20600"
"In post","2021","East Midlands (England)","EO","Declared disabled","890","810","27000","27570"
"In post","2021","East Midlands (England)","EO","Declared non-disabled","4100","3770","27030","27570"
"In post","2021","East Midlands (England)","EO","Undeclared","420","390","28130","27570"
"In post","2021","East Midlands (England)","EO","Unknown","710","680","26570","25560"
"In post","2021","East Midlands (England)","G6/G7","Declared disabled","120","110","57670","52600"
"In post","2021","East Midlands (England)","G6/G7","Declared non-disabled","1060","1010","57660","53430"
"In post","2021","East Midlands (England)","G6/G7","Undeclared","50","50","56300","52580"
"In post","2021","East Midlands (England)","G6/G7","Unknown","180","180","56810","52580"
"In post","2021","East Midlands (England)","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Declared non-disabled","70","70","89950","83850"
"In post","2021","East Midlands (England)","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SEO/HEO","Declared disabled","490","470","35620","33840"
"In post","2021","East Midlands (England)","SEO/HEO","Declared non-disabled","3260","3080","36030","34120"
"In post","2021","East Midlands (England)","SEO/HEO","Undeclared","350","340","36650","35310"
"In post","2021","East Midlands (England)","SEO/HEO","Unknown","650","620","34720","31910"
"In post","2021","East Midlands (England)","Unknown","Declared disabled","200","190","30370","29200"
"In post","2021","East Midlands (England)","Unknown","Declared non-disabled","700","640","30290","30210"
"In post","2021","East Midlands (England)","Unknown","Undeclared","50","50","29640","30810"
"In post","2021","East Midlands (England)","Unknown","Unknown","50","40","[c]","[c]"
"In post","2021","East of England","AA/AO","Declared disabled","830","740","23120","21440"
"In post","2021","East of England","AA/AO","Declared non-disabled","5250","4800","23500","21440"
"In post","2021","East of England","AA/AO","Undeclared","690","630","25520","23240"
"In post","2021","East of England","AA/AO","Unknown","1070","1020","23280","21440"
"In post","2021","East of England","EO","Declared disabled","950","860","28470","27570"
"In post","2021","East of England","EO","Declared non-disabled","5140","4710","28170","27570"
"In post","2021","East of England","EO","Undeclared","500","460","28830","27570"
"In post","2021","East of England","EO","Unknown","590","560","27890","27140"
"In post","2021","East of England","G6/G7","Declared disabled","110","110","59780","58890"
"In post","2021","East of England","G6/G7","Declared non-disabled","880","850","59290","55610"
"In post","2021","East of England","G6/G7","Undeclared","80","70","59130","56030"
"In post","2021","East of England","G6/G7","Unknown","270","260","57720","53970"
"In post","2021","East of England","SCS","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SCS","Declared non-disabled","80","80","96330","95620"
"In post","2021","East of England","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","SCS","Unknown","40","30","[c]","[c]"
"In post","2021","East of England","SEO/HEO","Declared disabled","520","490","37030","35120"
"In post","2021","East of England","SEO/HEO","Declared non-disabled","3430","3260","36680","35120"
"In post","2021","East of England","SEO/HEO","Undeclared","420","400","37560","36310"
"In post","2021","East of England","SEO/HEO","Unknown","730","690","36340","35360"
"In post","2021","East of England","Unknown","Declared disabled","180","160","28690","28200"
"In post","2021","East of England","Unknown","Declared non-disabled","730","680","29260","28200"
"In post","2021","East of England","Unknown","Undeclared","40","40","[c]","[c]"
"In post","2021","East of England","Unknown","Unknown","80","70","23270","22920"
"In post","2021","London","AA/AO","Declared disabled","1380","1250","25110","24900"
"In post","2021","London","AA/AO","Declared non-disabled","8110","7500","25430","25110"
"In post","2021","London","AA/AO","Undeclared","1040","950","27450","25630"
"In post","2021","London","AA/AO","Unknown","2180","2110","25340","24220"
"In post","2021","London","EO","Declared disabled","2440","2280","30180","30600"
"In post","2021","London","EO","Declared non-disabled","14450","13650","29950","30130"
"In post","2021","London","EO","Undeclared","1200","1150","30320","30370"
"In post","2021","London","EO","Unknown","3220","3120","29900","29570"
"In post","2021","London","G6/G7","Declared disabled","2010","1940","60360","59160"
"In post","2021","London","G6/G7","Declared non-disabled","18830","18170","60660","59150"
"In post","2021","London","G6/G7","Undeclared","1490","1450","60610","59160"
"In post","2021","London","G6/G7","Unknown","5310","5160","60060","57890"
"In post","2021","London","SCS","Declared disabled","280","270","89570","80520"
