"Status","Year","Responsibility_level","Sexual_orientation","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Heterosexual / straight","Asian","6110","5460","22230","21100"
"In post","2021","AA/AO","Heterosexual / straight","Black","3270","3060","24070","23500"
"In post","2021","AA/AO","Heterosexual / straight","Chinese","200","180","22070","21160"
"In post","2021","AA/AO","Heterosexual / straight","Mixed","1460","1360","23100","21430"
"In post","2021","AA/AO","Heterosexual / straight","Other ethnicity","400","370","23290","21580"
"In post","2021","AA/AO","Heterosexual / straight","Undeclared","820","750","22840","21440"
"In post","2021","AA/AO","Heterosexual / straight","Unknown","1170","1040","23250","21440"
"In post","2021","AA/AO","Heterosexual / straight","White","72730","65680","22370","21010"
"In post","2021","AA/AO","LGBO","Asian","180","160","22310","21050"
"In post","2021","AA/AO","LGBO","Black","80","80","23310","22530"
"In post","2021","AA/AO","LGBO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","LGBO","Mixed","140","140","23030","21430"
"In post","2021","AA/AO","LGBO","Other ethnicity","40","30","[c]","[c]"
"In post","2021","AA/AO","LGBO","Undeclared","100","90","23810","21430"
"In post","2021","AA/AO","LGBO","Unknown","70","60","23160","21440"
"In post","2021","AA/AO","LGBO","White","4290","4120","22720","21030"
"In post","2021","AA/AO","Undeclared","Asian","590","500","22360","21430"
"In post","2021","AA/AO","Undeclared","Black","240","210","24030","23500"
"In post","2021","AA/AO","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Undeclared","Mixed","140","120","23110","21430"
"In post","2021","AA/AO","Undeclared","Other ethnicity","50","50","23570","21440"
"In post","2021","AA/AO","Undeclared","Undeclared","2900","2660","22780","21310"
"In post","2021","AA/AO","Undeclared","Unknown","1310","1160","22180","21710"
"In post","2021","AA/AO","Undeclared","White","7430","6460","22290","21010"
"In post","2021","AA/AO","Unknown","Asian","1130","920","22180","21010"
"In post","2021","AA/AO","Unknown","Black","510","460","24940","23520"
"In post","2021","AA/AO","Unknown","Chinese","30","30","[c]","[c]"
"In post","2021","AA/AO","Unknown","Mixed","180","160","23050","21010"
"In post","2021","AA/AO","Unknown","Other ethnicity","80","70","23980","22450"
"In post","2021","AA/AO","Unknown","Undeclared","1200","1000","21770","21010"
"In post","2021","AA/AO","Unknown","Unknown","21130","19610","22120","21010"
"In post","2021","AA/AO","Unknown","White","12670","10580","22940","21050"
"In post","2021","EO","Heterosexual / straight","Asian","7970","7510","28200","27570"
"In post","2021","EO","Heterosexual / straight","Black","4390","4230","29060","29290"
"In post","2021","EO","Heterosexual / straight","Chinese","240","230","27810","27570"
"In post","2021","EO","Heterosexual / straight","Mixed","1700","1610","28110","27570"
"In post","2021","EO","Heterosexual / straight","Other ethnicity","520","500","28420","27650"
"In post","2021","EO","Heterosexual / straight","Undeclared","940","880","28670","27570"
"In post","2021","EO","Heterosexual / straight","Unknown","740","690","27970","27570"
