"Status","Year","Parent_department","Region_ITL1","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","East Midlands (England)","AA/AO","110","110","21360","21950"
"In post","2021","Attorney General's Departments","East Midlands (England)","EO","90","80","27040","27350"
"In post","2021","Attorney General's Departments","East Midlands (England)","G6/G7","180","170","53780","54170"
"In post","2021","Attorney General's Departments","East Midlands (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","SEO/HEO","60","50","35150","34480"
"In post","2021","Attorney General's Departments","East of England","AA/AO","110","100","22440","23520"
"In post","2021","Attorney General's Departments","East of England","EO","110","100","28640","28430"
"In post","2021","Attorney General's Departments","East of England","G6/G7","190","170","58620","59930"
"In post","2021","Attorney General's Departments","East of England","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","SEO/HEO","70","70","37160","38000"
"In post","2021","Attorney General's Departments","London","AA/AO","420","390","23220","23520"
"In post","2021","Attorney General's Departments","London","EO","740","700","28640","27760"
"In post","2021","Attorney General's Departments","London","G6/G7","2550","2370","60350","61360"
"In post","2021","Attorney General's Departments","London","SCS","260","250","87160","81420"
"In post","2021","Attorney General's Departments","London","SEO/HEO","710","700","37480","38290"
"In post","2021","Attorney General's Departments","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","AA/AO","100","80","21860","21950"
"In post","2021","Attorney General's Departments","North East (England)","EO","60","60","27390","28430"
"In post","2021","Attorney General's Departments","North East (England)","G6/G7","130","130","54840","55610"
"In post","2021","Attorney General's Departments","North East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","SEO/HEO","50","40","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","AA/AO","210","190","21970","21950"
"In post","2021","Attorney General's Departments","North West (England)","EO","210","200","27610","28430"
"In post","2021","Attorney General's Departments","North West (England)","G6/G7","400","380","55690","55610"
"In post","2021","Attorney General's Departments","North West (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","SEO/HEO","140","140","35170","34480"
"In post","2021","Attorney General's Departments","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","AA/AO","150","140","22760","23520"
"In post","2021","Attorney General's Departments","South East (England)","EO","150","140","28650","27760"
"In post","2021","Attorney General's Departments","South East (England)","G6/G7","290","270","59500","61640"
"In post","2021","Attorney General's Departments","South East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","SEO/HEO","90","80","37520","39540"
"In post","2021","Attorney General's Departments","South West (England)","AA/AO","60","50","21750","21950"
"In post","2021","Attorney General's Departments","South West (England)","EO","60","60","26970","26340"
"In post","2021","Attorney General's Departments","South West (England)","G6/G7","150","140","55380","55610"
"In post","2021","Attorney General's Departments","South West (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South West (England)","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Attorney General's Departments","Wales","AA/AO","80","70","21970","21950"
"In post","2021","Attorney General's Departments","Wales","EO","60","50","27440","28430"
"In post","2021","Attorney General's Departments","Wales","G6/G7","170","150","54990","55610"
"In post","2021","Attorney General's Departments","Wales","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Wales","SEO/HEO","60","50","35480","34480"
"In post","2021","Attorney General's Departments","West Midlands (England)","AA/AO","130","120","21790","21950"
"In post","2021","Attorney General's Departments","West Midlands (England)","EO","110","100","27170","28430"
"In post","2021","Attorney General's Departments","West Midlands (England)","G6/G7","240","220","55630","55610"
"In post","2021","Attorney General's Departments","West Midlands (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Midlands (England)","SEO/HEO","80","70","35120","34480"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","AA/AO","180","160","21720","21950"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","EO","170","160","27110","27350"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","G6/G7","460","420","56790","55610"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","SEO/HEO","160","150","35500","34480"
"In post","2021","Cabinet Office","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East Midlands (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East of England","G6/G7","40","40","[c]","[c]"
"In post","2021","Cabinet Office","East of England","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East of England","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Cabinet Office","London","AA/AO","140","140","24470","24490"
"In post","2021","Cabinet Office","London","EO","600","590","27960","27500"
"In post","2021","Cabinet Office","London","G6/G7","2370","2330","59810","56470"
"In post","2021","Cabinet Office","London","SCS","760","750","94650","80420"
"In post","2021","Cabinet Office","London","SEO/HEO","2630","2610","34120","34550"
"In post","2021","Cabinet Office","North East (England)","AA/AO","160","140","20800","20800"
"In post","2021","Cabinet Office","North East (England)","EO","100","90","24800","23850"
"In post","2021","Cabinet Office","North East (England)","G6/G7","30","30","[c]","[c]"
"In post","2021","Cabinet Office","North East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","North East (England)","SEO/HEO","120","120","33060","32000"
"In post","2021","Cabinet Office","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","North West (England)","G6/G7","180","180","57630","52590"
"In post","2021","Cabinet Office","North West (England)","SCS","40","40","[c]","[c]"
"In post","2021","Cabinet Office","North West (England)","SEO/HEO","200","190","33490","32980"
"In post","2021","Cabinet Office","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Scotland","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Cabinet Office","South East (England)","AA/AO","30","30","[c]","[c]"
"In post","2021","Cabinet Office","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","South East (England)","G6/G7","50","50","[c]","[c]"
"In post","2021","Cabinet Office","South East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","South East (England)","SEO/HEO","100","90","33750","33300"
"In post","2021","Cabinet Office","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","South West (England)","G6/G7","70","70","61300","54700"
"In post","2021","Cabinet Office","South West (England)","SCS","30","30","[c]","[c]"
"In post","2021","Cabinet Office","South West (England)","SEO/HEO","80","70","33230","33300"
"In post","2021","Cabinet Office","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","G6/G7","80","80","57410","54700"
"In post","2021","Cabinet Office","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","SEO/HEO","460","450","31530","32000"
"In post","2021","Cabinet Office","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Wales","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Wales","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Cabinet Office","West Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","West Midlands (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","West Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Yorkshire and The Humber","AA/AO","170","160","20910","20920"
"In post","2021","Cabinet Office","Yorkshire and The Humber","EO","110","100","26410","26670"
"In post","2021","Cabinet Office","Yorkshire and The Humber","G6/G7","130","120","57330","52850"
"In post","2021","Cabinet Office","Yorkshire and The Humber","SCS","40","40","[c]","[c]"
"In post","2021","Cabinet Office","Yorkshire and The Humber","SEO/HEO","290","280","34380","33300"
"In post","2021","Chancellor's other departments","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","London","EO","40","30","[c]","[c]"
"In post","2021","Chancellor's other departments","London","G6/G7","160","150","77590","72060"
"In post","2021","Chancellor's other departments","London","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","London","SEO/HEO","120","120","41610","42080"
"In post","2021","Chancellor's other departments","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","North East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","North East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","North West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","North West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","EO","90","90","24640","24440"
"In post","2021","Charity Commission","North West (England)","G6/G7","30","30","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","North West (England)","SEO/HEO","170","160","32880","29550"
"In post","2021","Charity Commission","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","South West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","South West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
