"Status","Year","Region_ITL3","Organisation","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Animal and Plant Health Agency","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Crown Office and Procurator Fiscal Service","North Eastern Scotland","100","90","33070","29040"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Business, Energy and Industrial Strategy (excl. agencies)","North Eastern Scotland","100","90","50000","45620"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Work and Pensions (excl. agencies)","North Eastern Scotland","260","230","26500","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Driver and Vehicle Standards Agency","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Education Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Food Standards Scotland","North Eastern Scotland","180","170","37410","33620"
"In post","2021","Aberdeen City and Aberdeenshire","Forestry and Land Scotland","North Eastern Scotland","70","60","30040","28120"
"In post","2021","Aberdeen City and Aberdeenshire","Government Legal Department","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Health and Safety Executive","North Eastern Scotland","110","100","77580","90550"
"In post","2021","Aberdeen City and Aberdeenshire","HM Courts and Tribunals Service","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","HM Revenue and Customs (excl. agencies)","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Home Office (incl. agencies)","North Eastern Scotland","40","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Maritime and Coastguard Agency","North Eastern Scotland","50","50","34890","31760"
"In post","2021","Aberdeen City and Aberdeenshire","Met Office","North Eastern Scotland","30","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Defence (excl. agencies)","North Eastern Scotland","110","100","38630","44070"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Courts and Tribunals Service","North Eastern Scotland","80","70","24440","22820"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Forestry","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Government (excl. agencies)","North Eastern Scotland","370","340","36450","32630"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Prison Service","North Eastern Scotland","310","300","30160","28870"
"In post","2021","Aberdeen City and Aberdeenshire","Social Security Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Valuation Office Agency","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Crown Office and Procurator Fiscal Service","Eastern Scotland","90","80","35220","29040"
"In post","2021","Angus and Dundee City","Department for Work and Pensions (excl. agencies)","Eastern Scotland","960","870","23850","21010"
"In post","2021","Angus and Dundee City","Driver and Vehicle Standards Agency","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Education Scotland","Eastern Scotland","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Food Standards Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","HM Courts and Tribunals Service","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","HM Revenue and Customs (excl. agencies)","Eastern Scotland","300","270","23610","21400"
"In post","2021","Angus and Dundee City","Ministry of Defence (excl. agencies)","Eastern Scotland","50","50","[c]","[c]"
"In post","2021","Angus and Dundee City","Office of the Scottish Charity Regulator","Eastern Scotland","50","40","[c]","[c]"
"In post","2021","Angus and Dundee City","Scottish Courts and Tribunals Service","Eastern Scotland","70","60","24910","22820"
"In post","2021","Angus and Dundee City","Scottish Government (excl. agencies)","Eastern Scotland","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Social Security Scotland","Eastern Scotland","310","300","28360","24910"
"In post","2021","Antrim and Newtownabbey","Home Office (incl. agencies)","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Met Office","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Ministry of Defence (excl. agencies)","Northern Ireland","180","180","23500","20310"
"In post","2021","Ards and North Down","Cabinet Office (excl. agencies)","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Maritime and Coastguard Agency","Northern Ireland","40","40","[c]","[c]"
"In post","2021","Ards and North Down","Ministry of Defence (excl. agencies)","Northern Ireland","180","180","23350","20310"
"In post","2021","Armagh City, Banbridge and Craigavon","Ministry of Defence (excl. agencies)","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Department for Work and Pensions (excl. agencies)","Outer London - East and North East","460","420","30980","31060"
"In post","2021","Barking & Dagenham and Havering","Driver and Vehicle Standards Agency","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Food Standards Agency","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Government Internal Audit Agency","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","HM Courts and Tribunals Service","Outer London - East and North East","70","60","24820","22450"
"In post","2021","Barking & Dagenham and Havering","HM Prison and Probation Service","Outer London - East and North East","50","40","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Ministry of Defence (excl. agencies)","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Ministry of Justice (excl. agencies)","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Department for Work and Pensions (excl. agencies)","Outer London - West and North West","300","280","30710","31060"
"In post","2021","Barnet","Driver and Vehicle Standards Agency","Outer London - West and North West","30","30","[c]","[c]"
"In post","2021","Barnet","HM Courts and Tribunals Service","Outer London - West and North West","40","40","[c]","[c]"
"In post","2021","Barnet","HM Prison and Probation Service","Outer London - West and North West","50","40","[c]","[c]"
"In post","2021","Barnet","Home Office (incl. agencies)","Outer London - West and North West","150","150","44640","42170"
"In post","2021","Barnet","Ministry of Defence (excl. agencies)","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Public Health England","Outer London - West and North West","1100","1040","43010","39110"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Environment, Food and Rural Affairs (excl. agencies)","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Work and Pensions (excl. agencies)","South Yorkshire","1360","1150","25090","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Driver and Vehicle Standards Agency","South Yorkshire","60","50","27490","26780"
"In post","2021","Barnsley, Doncaster and Rotherham","Food Standards Agency","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Government Internal Audit Agency","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","HM Courts and Tribunals Service","South Yorkshire","80","70","22660","20100"
"In post","2021","Barnsley, Doncaster and Rotherham","HM Prison and Probation Service","South Yorkshire","1400","1310","28960","26810"
"In post","2021","Barnsley, Doncaster and Rotherham","Home Office (incl. agencies)","South Yorkshire","40","40","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Legal Aid Agency","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Defence (excl. agencies)","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Justice (excl. agencies)","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Public Health England","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Cabinet Office (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Defence Equipment and Support","Gloucestershire, Wiltshire and Bath/Bristol area","8120","7830","38100","35650"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Defence Science and Technology Laboratory","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Work and Pensions (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","320","290","27410","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Driver and Vehicle Standards Agency","Gloucestershire, Wiltshire and Bath/Bristol area","30","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Food Standards Agency","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Government Internal Audit Agency","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Government Legal Department","Gloucestershire, Wiltshire and Bath/Bristol area","40","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","HM Courts and Tribunals Service","Gloucestershire, Wiltshire and Bath/Bristol area","90","80","25830","20100"
