"Status","Year","Sexual_orientation","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Commercial","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Crown Commercial Service","250","240","34760","34800"
"In post","2021","Heterosexual / straight","Commercial","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Defence Equipment and Support","710","680","39480","35300"
"In post","2021","Heterosexual / straight","Commercial","Defence Science and Technology Laboratory","60","60","33660","35520"
"In post","2021","Heterosexual / straight","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Department for Education (excl. agencies)","150","150","40460","38000"
"In post","2021","Heterosexual / straight","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","110","100","38970","36970"
"In post","2021","Heterosexual / straight","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Department for Transport (excl. agencies)","60","60","52370","54110"
"In post","2021","Heterosexual / straight","Commercial","Department of Health and Social Care (excl. agencies)","60","60","50140","40650"
"In post","2021","Heterosexual / straight","Commercial","Driver and Vehicle Licensing Agency","110","100","34050","31040"
"In post","2021","Heterosexual / straight","Commercial","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Education and Skills Funding Agency","130","120","40750","36780"
"In post","2021","Heterosexual / straight","Commercial","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","FCDO Services","70","70","46830","41170"
"In post","2021","Heterosexual / straight","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","HM Prison and Probation Service","540","520","49660","48560"
"In post","2021","Heterosexual / straight","Commercial","HM Revenue and Customs (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Home Office (incl. agencies)","80","70","41010","42100"
"In post","2021","Heterosexual / straight","Commercial","Insolvency Service","[c]","[c]","[c]","[c]"
