"Status","Year","Sexual_orientation","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Commercial","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Legal Aid Agency","90","80","41230","40080"
"In post","2021","Heterosexual / straight","Commercial","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Ministry of Defence (excl. agencies)","680","650","36380","34800"
"In post","2021","Heterosexual / straight","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Ministry of Justice (excl. agencies)","90","90","36440","35550"
"In post","2021","Heterosexual / straight","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Public Health England","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Scottish Prison Service","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Submarine Delivery Agency","110","110","40400","39860"
"In post","2021","Heterosexual / straight","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Crown Prosecution Service","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Defence Equipment and Support","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","80","80","49260","45270"
"In post","2021","Heterosexual / straight","Communications","Department for Digital, Culture, Media and Sport","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Department for Education (excl. agencies)","150","140","38310","33660"
"In post","2021","Heterosexual / straight","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","180","170","41010","37360"
"In post","2021","Heterosexual / straight","Communications","Department for International Trade","70","70","43600","38540"
"In post","2021","Heterosexual / straight","Communications","Department for Transport (excl. agencies)","60","60","47450","43360"
"In post","2021","Heterosexual / straight","Communications","Department of Health and Social Care (excl. agencies)","80","70","42010","36070"
"In post","2021","Heterosexual / straight","Communications","Driver and Vehicle Licensing Agency","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Driver and Vehicle Standards Agency","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Education and Skills Funding Agency","60","60","43860","39840"
"In post","2021","Heterosexual / straight","Communications","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","80","80","49480","45840"
"In post","2021","Heterosexual / straight","Communications","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","HM Courts and Tribunals Service","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","HM Revenue and Customs (excl. agencies)","150","140","45780","39620"
"In post","2021","Heterosexual / straight","Communications","HM Treasury (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Home Office (incl. agencies)","140","140","49270","44220"
"In post","2021","Heterosexual / straight","Communications","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Medicines and Healthcare Products Regulatory Agency","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Ministry of Defence (excl. agencies)","390","370","34140","33300"
"In post","2021","Heterosexual / straight","Communications","Ministry of Housing, Communities and Local Government (excl. agencies)","70","70","40570","34200"
"In post","2021","Heterosexual / straight","Communications","Ministry of Justice (excl. agencies)","70","70","45180","42700"
"In post","2021","Heterosexual / straight","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Public Health England","50","50","48130","42310"
"In post","2021","Heterosexual / straight","Communications","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","United Kingdom Statistics Authority","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Welsh Government (excl. agencies)","120","110","38400","37410"
"In post","2021","Heterosexual / straight","Communications","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Defence Science and Technology Laboratory","50","50","40410","37830"
"In post","2021","Heterosexual / straight","Corporate Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Food Standards Agency","50","50","38850","37320"
"In post","2021","Heterosexual / straight","Counter Fraud","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Home Office (incl. agencies)","160","140","27010","25310"
"In post","2021","Heterosexual / straight","Counter Fraud","Insolvency Service","140","130","39590","39170"
"In post","2021","Heterosexual / straight","Counter Fraud","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Serious Fraud Office","180","180","45850","40140"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Companies House","170","170","39590","38000"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Competition and Markets Authority","60","60","56130","51270"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Crown Commercial Service","80","80","42190","38600"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Crown Office and Procurator Fiscal Service","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Crown Prosecution Service","100","90","39780","38180"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Defence Equipment and Support","300","290","41410","40810"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Defence Science and Technology Laboratory","80","80","46670","46080"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","100","90","46630","40220"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Department for Education (excl. agencies)","390","370","40390","37100"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","480","460","44580","47550"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Department for International Trade","60","60","45480","43000"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Department for Transport (excl. agencies)","80","80","43490","42680"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Department of Health and Social Care (excl. agencies)","70","70","44590","37500"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Driver and Vehicle Licensing Agency","480","470","40060","37650"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Driver and Vehicle Standards Agency","100","100","39010","35040"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Education and Skills Funding Agency","180","170","37570","36500"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","FCDO Services","100","100","45580","41690"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Food Standards Agency","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Foreign, Commonwealth and Development Office (excl. agencies)","90","90","41330","39630"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Health and Safety Executive","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","HM Courts and Tribunals Service","100","100","34580","30990"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","HM Land Registry","380","350","39360","38450"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","HM Revenue and Customs (excl. agencies)","1110","1050","40270","38630"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Home Office (incl. agencies)","910","890","50030","45170"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Maritime and Coastguard Agency","80","80","39180","34540"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Medicines and Healthcare Products Regulatory Agency","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Ministry of Defence (excl. agencies)","530","510","32240","29200"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Ministry of Housing, Communities and Local Government (excl. agencies)","50","50","51470","53130"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Ministry of Justice (excl. agencies)","540","530","46810","44670"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","National Crime Agency","200","190","41180","38490"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Office for Standards in Education, Children's Services and Skills","60","60","46380","39850"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Office of Gas and Electricity Markets","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Planning Inspectorate","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Public Health England","70","70","42120","39400"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Registers of Scotland","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Serious Fraud Office","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","The National Archives","60","50","38480","35530"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","UK Export Finance","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","UK Hydrographic Office","120","120","38740","35340"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","UK Intellectual Property Office","100","90","48170","47320"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","United Kingdom Statistics Authority","320","320","42490","39000"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Welsh Government (excl. agencies)","180","170","38060","37410"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Competition and Markets Authority","70","70","62960","59140"
"In post","2021","Heterosexual / straight","Economics","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Department for Business, Energy and Industrial Strategy (excl. agencies)","200","200","47690","44300"
"In post","2021","Heterosexual / straight","Economics","Department for Digital, Culture, Media and Sport","60","60","53530","59730"
"In post","2021","Heterosexual / straight","Economics","Department for Environment, Food and Rural Affairs (excl. agencies)","110","110","44590","47550"
"In post","2021","Heterosexual / straight","Economics","Department for International Trade","100","100","44500","51710"
"In post","2021","Heterosexual / straight","Economics","Department for Transport (excl. agencies)","110","100","48250","54110"
"In post","2021","Heterosexual / straight","Economics","Department of Health and Social Care (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Foreign, Commonwealth and Development Office (excl. agencies)","110","110","51030","54320"
"In post","2021","Heterosexual / straight","Economics","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","HM Revenue and Customs (excl. agencies)","80","70","51010","52580"
"In post","2021","Heterosexual / straight","Economics","HM Treasury (excl. agencies)","130","120","43380","34320"
"In post","2021","Heterosexual / straight","Economics","Home Office (incl. agencies)","70","70","49520","41950"
"In post","2021","Heterosexual / straight","Economics","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Ministry of Housing, Communities and Local Government (excl. agencies)","60","60","44310","35060"
"In post","2021","Heterosexual / straight","Economics","Ministry of Justice (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
