"Status","Year","Parent_department","Sexual_orientation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Female","4490","4120","42960","40800"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Male","2280","2230","46660","48830"
"In post","2021","Attorney General's Departments","LGBO","Female","190","180","42110","33310"
"In post","2021","Attorney General's Departments","LGBO","Male","250","240","47650","50510"
"In post","2021","Attorney General's Departments","Undeclared","Female","230","210","46170","50520"
"In post","2021","Attorney General's Departments","Undeclared","Male","150","150","49080","51250"
"In post","2021","Attorney General's Departments","Unknown","Female","1470","1280","45870","50520"
"In post","2021","Attorney General's Departments","Unknown","Male","780","760","49980","55450"
"In post","2021","Cabinet Office","Heterosexual / straight","Female","2470","2370","45960","40580"
"In post","2021","Cabinet Office","Heterosexual / straight","Male","1940","1920","50540","49700"
"In post","2021","Cabinet Office","LGBO","Female","170","160","41470","34640"
"In post","2021","Cabinet Office","LGBO","Male","270","270","46990","43890"
"In post","2021","Cabinet Office","Undeclared","Female","230","220","45300","40580"
"In post","2021","Cabinet Office","Undeclared","Male","280","270","49780","47050"
"In post","2021","Cabinet Office","Unknown","Female","2170","2130","42670","32000"
"In post","2021","Cabinet Office","Unknown","Male","1930","1920","48310","34640"
"In post","2021","Chancellor's other departments","Heterosexual / straight","Female","140","130","53500","46180"
"In post","2021","Chancellor's other departments","Heterosexual / straight","Male","160","150","64840","55220"
"In post","2021","Chancellor's other departments","LGBO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","LGBO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Female","30","30","[c]","[c]"
"In post","2021","Chancellor's other departments","Undeclared","Male","60","50","62710","50540"
"In post","2021","Chancellor's other departments","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Heterosexual / straight","Female","130","120","34350","29160"
"In post","2021","Charity Commission","Heterosexual / straight","Male","100","100","34560","29160"
"In post","2021","Charity Commission","LGBO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","LGBO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Female","100","90","34130","29320"
"In post","2021","Charity Commission","Unknown","Male","80","70","37100","30980"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Female","360","350","58160","55860"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Male","320","320","61680","58320"
"In post","2021","Competition and Markets Authority","LGBO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","LGBO","Male","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Female","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Female","3750","3520","40890","38000"
"In post","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","Male","3260","3200","45730","40940"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Female","310","310","41820","39170"
"In post","2021","Department for Business, Energy and Industrial Strategy","LGBO","Male","370","360","45110","40220"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Female","430","400","42580","39580"
"In post","2021","Department for Business, Energy and Industrial Strategy","Undeclared","Male","500","480","46620","43470"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Female","1990","1850","34440","32730"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Male","2560","2500","39030","38980"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Female","700","670","48940","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","Male","550","550","50570","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Female","80","80","41960","34130"
"In post","2021","Department for Digital, Culture, Media and Sport","LGBO","Male","100","100","51280","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Female","60","60","47810","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Undeclared","Male","50","50","49250","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Female","120","120","48210","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Male","110","110","48200","46050"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Heterosexual / straight","Female","3310","3130","43010","37710"
"In post","2021","Department for Education","Heterosexual / straight","Male","2190","2170","44780","40510"
"In post","2021","Department for Education","LGBO","Female","200","200","42050","38620"
"In post","2021","Department for Education","LGBO","Male","220","220","43910","37100"
"In post","2021","Department for Education","Undeclared","Female","300","280","43130","38150"
"In post","2021","Department for Education","Undeclared","Male","240","240","45500","42420"
"In post","2021","Department for Education","Unknown","Female","840","790","43820","40230"
"In post","2021","Department for Education","Unknown","Male","630","630","44710","40430"
"In post","2021","Department for Environment, Food and Rural Affairs","Heterosexual / straight","Female","4030","3730","35690","32560"
"In post","2021","Department for Environment, Food and Rural Affairs","Heterosexual / straight","Male","2940","2890","38780","35900"
"In post","2021","Department for Environment, Food and Rural Affairs","LGBO","Female","250","240","36000","32560"
"In post","2021","Department for Environment, Food and Rural Affairs","LGBO","Male","260","260","37090","32830"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Female","450","410","35680","32560"
"In post","2021","Department for Environment, Food and Rural Affairs","Undeclared","Male","400","390","37400","34010"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Female","1470","1340","32250","28170"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Male","1260","1220","34430","29750"
"In post","2021","Department for International Trade","Heterosexual / straight","Female","740","720","45780","40290"
"In post","2021","Department for International Trade","Heterosexual / straight","Male","810","800","47070","42160"
"In post","2021","Department for International Trade","LGBO","Female","60","60","43870","38540"
"In post","2021","Department for International Trade","LGBO","Male","130","120","48750","51710"
"In post","2021","Department for International Trade","Undeclared","Female","70","70","44980","39340"
"In post","2021","Department for International Trade","Undeclared","Male","70","70","46650","40780"
"In post","2021","Department for International Trade","Unknown","Female","400","390","42510","38540"
"In post","2021","Department for International Trade","Unknown","Male","420","420","46100","39440"
"In post","2021","Department for Transport","Heterosexual / straight","Female","4540","4060","31670","26700"
"In post","2021","Department for Transport","Heterosexual / straight","Male","5420","5270","36120","30780"
"In post","2021","Department for Transport","LGBO","Female","240","230","31720","26780"
"In post","2021","Department for Transport","LGBO","Male","340","330","38130","33990"
"In post","2021","Department for Transport","Undeclared","Female","1410","1120","26160","21590"
"In post","2021","Department for Transport","Undeclared","Male","1510","1420","32820","27680"
"In post","2021","Department for Transport","Unknown","Female","1090","1000","29740","26130"
"In post","2021","Department for Transport","Unknown","Male","1430","1380","32800","28000"
"In post","2021","Department for Work and Pensions","Heterosexual / straight","Female","39960","34910","27780","27570"
"In post","2021","Department for Work and Pensions","Heterosexual / straight","Male","20600","19840","29480","27570"
"In post","2021","Department for Work and Pensions","LGBO","Female","1740","1640","27970","27570"
"In post","2021","Department for Work and Pensions","LGBO","Male","2000","1940","28320","27570"
"In post","2021","Department for Work and Pensions","Undeclared","Female","4810","4120","27190","27570"
"In post","2021","Department for Work and Pensions","Undeclared","Male","2800","2670","29480","27570"
"In post","2021","Department for Work and Pensions","Unknown","Female","14320","11800","26620","27570"
"In post","2021","Department for Work and Pensions","Unknown","Male","7290","6920","28610","27570"
"In post","2021","Department of Health and Social Care","Heterosexual / straight","Female","4650","4270","42070","37470"
"In post","2021","Department of Health and Social Care","Heterosexual / straight","Male","2160","2090","47580","40850"
"In post","2021","Department of Health and Social Care","LGBO","Female","230","220","39370","32790"
"In post","2021","Department of Health and Social Care","LGBO","Male","240","230","46400","40650"
"In post","2021","Department of Health and Social Care","Undeclared","Female","660","580","43630","38890"
