"Status","Year","Profession_of_post","Parent_department","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Attorney General's Departments","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","York","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Devon CC","180","170","43100","40140"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","Coventry","60","50","38420","37100"
