"Status","Year","Region_ITL1","Age","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","16-19","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","16-19","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","16-19","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","16-19","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","16-19","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","16-19","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","16-19","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","16-19","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","16-19","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","16-19","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","16-19","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","16-19","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","16-19","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","16-19","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","20-29","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","20-29","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","20-29","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","20-29","Crown Prosecution Service","60","60","25320","21950"
"In post","2021","East Midlands (England)","20-29","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","20-29","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","20-29","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","20-29","Department for Work and Pensions (excl. agencies)","450","440","25190","27570"
"In post","2021","East Midlands (England)","20-29","Driver and Vehicle Standards Agency","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","20-29","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","20-29","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","20-29","Health and Safety Executive","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","20-29","HM Courts and Tribunals Service","160","160","19380","18880"
"In post","2021","East Midlands (England)","20-29","HM Land Registry","170","160","25550","22350"
"In post","2021","East Midlands (England)","20-29","HM Prison and Probation Service","960","940","24830","24440"
"In post","2021","East Midlands (England)","20-29","HM Revenue and Customs (excl. agencies)","640","630","27690","25560"
"In post","2021","East Midlands (England)","20-29","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","20-29","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","20-29","Legal Aid Agency","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","20-29","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","20-29","Ministry of Defence (excl. agencies)","130","120","23720","20920"
"In post","2021","East Midlands (England)","20-29","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","20-29","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","20-29","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","20-29","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","20-29","Office of the Public Guardian","100","90","20120","18890"
"In post","2021","East Midlands (England)","20-29","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","20-29","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","20-29","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","20-29","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","20-29","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","20-29","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","20-29","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","30-39","Advisory, Conciliation and Arbitration Service","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","30-39","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","30-39","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","30-39","Crown Prosecution Service","90","90","39050","44740"
