"Status","Year","Function_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","2480","2470","35990","33880"
"In post","2021","Analysis","30-39","2060","1970","45410","42470"
"In post","2021","Analysis","40-49","1420","1330","49410","47550"
"In post","2021","Analysis","50-59","970","930","48010","43400"
"In post","2021","Analysis","60-64","180","150","44420","40150"
"In post","2021","Analysis","65+","70","50","44700","37810"
"In post","2021","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","920","920","33080","30820"
"In post","2021","Commercial","30-39","1530","1480","43080","39650"
"In post","2021","Commercial","40-49","1880","1820","50600","44220"
"In post","2021","Commercial","50-59","2140","2100","50400","43080"
"In post","2021","Commercial","60-64","400","360","44920","40580"
"In post","2021","Commercial","65+","100","90","41590","34810"
"In post","2021","Communications","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Communications","20-29","2070","2060","30080","25560"
"In post","2021","Communications","30-39","2450","2370","35520","31810"
"In post","2021","Communications","40-49","1830","1740","38730","32320"
"In post","2021","Communications","50-59","1430","1370","35900","31810"
"In post","2021","Communications","60-64","310","270","32700","28130"
"In post","2021","Communications","65+","100","80","31350","27950"
"In post","2021","Counter Fraud","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","20-29","1100","1100","29660","26090"
"In post","2021","Counter Fraud","30-39","2060","2010","32740","31810"
"In post","2021","Counter Fraud","40-49","2270","2160","34080","31810"
"In post","2021","Counter Fraud","50-59","3210","3050","35600","32030"
"In post","2021","Counter Fraud","60-64","790","600","34670","31870"
"In post","2021","Counter Fraud","65+","190","130","33870","31840"
"In post","2021","Debt","16-19","50","50","20240","20140"
"In post","2021","Debt","20-29","1060","1030","21240","20140"
"In post","2021","Debt","30-39","860","790","22050","20140"
"In post","2021","Debt","40-49","850","770","23890","21440"
"In post","2021","Debt","50-59","1260","1130","24900","21440"
"In post","2021","Debt","60-64","450","340","24520","21440"
"In post","2021","Debt","65+","140","110","25340","24200"
"In post","2021","Digital, Data & Technology","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","20-29","2060","2050","33410","31810"
"In post","2021","Digital, Data & Technology","30-39","3460","3390","41330","38630"
"In post","2021","Digital, Data & Technology","40-49","3840","3740","44720","40600"
"In post","2021","Digital, Data & Technology","50-59","3340","3250","43400","39650"
"In post","2021","Digital, Data & Technology","60-64","670","590","40960","37530"
"In post","2021","Digital, Data & Technology","65+","200","170","41290","36000"
"In post","2021","Finance","16-19","40","40","[c]","[c]"
"In post","2021","Finance","20-29","1310","1290","32130","30230"
"In post","2021","Finance","30-39","1910","1830","40680","37190"
"In post","2021","Finance","40-49","2470","2360","42430","38630"
"In post","2021","Finance","50-59","2820","2670","39890","35020"
"In post","2021","Finance","60-64","650","560","36740","31810"
"In post","2021","Finance","65+","190","160","31320","27900"
"In post","2021","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","20-29","240","240","22390","21050"
"In post","2021","Grants Management","30-39","370","330","24280","21050"
"In post","2021","Grants Management","40-49","590","530","25970","24920"
"In post","2021","Grants Management","50-59","490","460","27700","25190"
"In post","2021","Grants Management","60-64","160","140","25260","21050"
"In post","2021","Grants Management","65+","40","40","[c]","[c]"
"In post","2021","Human Resources","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","20-29","1420","1400","30600","28140"
"In post","2021","Human Resources","30-39","2220","2100","36320","32120"
"In post","2021","Human Resources","40-49","2440","2310","40740","37170"
"In post","2021","Human Resources","50-59","2790","2680","40010","35340"
"In post","2021","Human Resources","60-64","560","460","35880","31810"
"In post","2021","Human Resources","65+","140","110","33060","28130"
"In post","2021","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","20-29","50","50","34990","33930"
"In post","2021","Internal Audit","30-39","140","130","42530","39980"
"In post","2021","Internal Audit","40-49","180","170","47930","44570"
"In post","2021","Internal Audit","50-59","320","310","48750","45430"
"In post","2021","Internal Audit","60-64","60","50","44220","43840"
"In post","2021","Internal Audit","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","16-19","30","30","[c]","[c]"
"In post","2021","Legal","20-29","1850","1830","30330","26970"
"In post","2021","Legal","30-39","3380","3200","44190","48080"
"In post","2021","Legal","40-49","4010","3650","47780","50520"
"In post","2021","Legal","50-59","4340","4020","46390","44730"
"In post","2021","Legal","60-64","950","790","43930","40500"
"In post","2021","Legal","65+","290","220","44060","40780"
"In post","2021","No function","16-19","500","470","21070","20140"
"In post","2021","No function","20-29","36030","35470","28820","26850"
"In post","2021","No function","30-39","42030","39850","33410","30450"
"In post","2021","No function","40-49","39640","37120","35450","31650"
"In post","2021","No function","50-59","48780","45530","34130","30950"
"In post","2021","No function","60-64","13560","10930","31000","26780"
"In post","2021","No function","65+","4380","3210","30240","25760"
"In post","2021","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","16-19","140","140","18260","17780"
"In post","2021","Project Delivery","20-29","4210","4180","31000","29750"
"In post","2021","Project Delivery","30-39","6310","6120","40910","38630"
"In post","2021","Project Delivery","40-49","6740","6520","45040","40870"
"In post","2021","Project Delivery","50-59","8480","8260","44130","40580"
"In post","2021","Project Delivery","60-64","1980","1760","41120","38530"
"In post","2021","Project Delivery","65+","540","450","39200","35620"
"In post","2021","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Property","16-19","40","40","[c]","[c]"
"In post","2021","Property","20-29","950","920","27250","25860"
"In post","2021","Property","30-39","1530","1460","33670","32100"
"In post","2021","Property","40-49","2040","1950","35470","33050"
"In post","2021","Property","50-59","3330","3230","36810","33300"
"In post","2021","Property","60-64","1050","950","34290","32600"
"In post","2021","Property","65+","380","320","31070","28130"
"In post","2021","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Security","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Security","20-29","1240","1240","27150","25680"
"In post","2021","Security","30-39","1600","1580","32740","31390"
"In post","2021","Security","40-49","1760","1740","33930","33300"
"In post","2021","Security","50-59","3130","3090","32760","32860"
"In post","2021","Security","60-64","790","720","28330","21130"
"In post","2021","Security","65+","220","190","26350","21130"
