"Status","Year","Profession_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","1160","1110","39660","37400"
"In post","2021","Commercial","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","70","70","39140","36740"
"In post","2021","Commercial","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","80","80","39830","39230"
"In post","2021","Commercial","Buckinghamshire CC","50","50","36230","36800"
"In post","2021","Commercial","Cambridgeshire CC","60","60","36180","34800"
"In post","2021","Commercial","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Central Hampshire","140","130","34720","34800"
"In post","2021","Commercial","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","City of Edinburgh","50","50","36660","34190"
"In post","2021","Commercial","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Coventry","60","60","38450","37100"
"In post","2021","Commercial","Croydon","150","140","43970","43420"
"In post","2021","Commercial","Darlington","50","50","40700","37100"
"In post","2021","Commercial","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon CC","200","190","42960","40140"
"In post","2021","Commercial","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dudley","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Enfield","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Glasgow City","90","90","35010","33300"
"In post","2021","Commercial","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester South West","70","70","39740","38630"
"In post","2021","Commercial","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hounslow and Richmond upon Thames","60","50","35920","28460"
"In post","2021","Commercial","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lambeth","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leeds","180","180","40710","36820"
"In post","2021","Commercial","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Liverpool","200","190","34520","34800"
"In post","2021","Commercial","Luton","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Manchester","140","140","39510","36780"
"In post","2021","Commercial","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Milton Keynes","80","70","43780","41160"
"In post","2021","Commercial","Monmouthshire and Newport","100","100","35580","31700"
"In post","2021","Commercial","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Norwich and East Norfolk","90","90","35650","34800"
"In post","2021","Commercial","Nottingham","40","40","[c]","[c]"
"In post","2021","Commercial","Overseas","40","40","[c]","[c]"
"In post","2021","Commercial","Oxfordshire","40","40","[c]","[c]"
"In post","2021","Commercial","Perth and Kinross and Stirling","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Peterborough","40","40","[c]","[c]"
"In post","2021","Commercial","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Portsmouth","60","60","36240","34770"
"In post","2021","Commercial","Powys","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Sheffield","90","90","38700","37100"
"In post","2021","Commercial","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Solihull","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Somerset","60","50","40220","36370"
"In post","2021","Commercial","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South Lanarkshire","70","70","40370","39630"
"In post","2021","Commercial","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Staffordshire CC","70","70","39280","33300"
"In post","2021","Commercial","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Swansea","170","150","33520","31040"
"In post","2021","Commercial","Swindon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Torbay","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Tower Hamlets","60","50","44170","40400"
"In post","2021","Commercial","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Walsall","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wandsworth","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Lothian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Westminster","570","550","50130","44070"
"In post","2021","Commercial","Wiltshire","180","170","33620","34800"
"In post","2021","Commercial","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","York","50","40","[c]","[c]"
"In post","2021","Communications","Barnet","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Bath and North East Somerset, North Somerset and South Gloucestershire","60","60","37320","36010"
"In post","2021","Communications","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Birmingham","40","40","[c]","[c]"
"In post","2021","Communications","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Bristol, City of","90","80","37980","36500"
"In post","2021","Communications","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cardiff and Vale of Glamorgan","180","170","39580","37410"
"In post","2021","Communications","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Central Hampshire","70","60","31680","28060"
"In post","2021","Communications","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Communications","City of Edinburgh","40","40","[c]","[c]"
"In post","2021","Communications","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Coventry","50","50","[c]","[c]"
"In post","2021","Communications","Croydon","30","30","[c]","[c]"
"In post","2021","Communications","Darlington","30","30","[c]","[c]"
"In post","2021","Communications","Devon CC","50","40","[c]","[c]"
"In post","2021","Communications","Dorset CC","[c]","[c]","[c]","[c]"
