"Status","Year","Region_ITL3","Region_ITL1","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Operational Delivery","630","590","37220","29040"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Other","60","60","27150","25870"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Policy","80","80","51630","52940"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Property","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Security","90","90","40950","44070"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Unknown","900","840","33490","29190"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Scotland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Scotland","Legal","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Scotland","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Scotland","Operational Delivery","350","320","23650","21440"
"In post","2021","Angus and Dundee City","Scotland","Other","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Scotland","Property","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Scotland","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Scotland","Tax","80","70","26440","21440"
"In post","2021","Angus and Dundee City","Scotland","Unknown","1390","1290","26390","22230"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","Human Resources","[c]","[c]","[c]","[c]"
