"Status","Year","Sexual_orientation","Disability","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Declared disabled","Bedfordshire and Hertfordshire","400","370","31420","29290"
"In post","2021","Heterosexual / straight","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","770","730","31640","29290"
"In post","2021","Heterosexual / straight","Declared disabled","Cheshire","320","290","28890","27570"
"In post","2021","Heterosexual / straight","Declared disabled","Cornwall and Isles of Scilly","160","140","26980","27570"
"In post","2021","Heterosexual / straight","Declared disabled","Cumbria","160","140","28580","27280"
"In post","2021","Heterosexual / straight","Declared disabled","Derbyshire and Nottinghamshire","1140","1050","29710","27570"
"In post","2021","Heterosexual / straight","Declared disabled","Devon","640","560","28150","27130"
"In post","2021","Heterosexual / straight","Declared disabled","Dorset and Somerset","440","410","28860","27570"
"In post","2021","Heterosexual / straight","Declared disabled","East Anglia","1060","970","29270","27570"
"In post","2021","Heterosexual / straight","Declared disabled","East Wales","1310","1200","31520","27570"
"In post","2021","Heterosexual / straight","Declared disabled","East Yorkshire and Northern Lincolnshire","380","340","27260","27380"
"In post","2021","Heterosexual / straight","Declared disabled","Eastern Scotland","1300","1200","32940","27570"
"In post","2021","Heterosexual / straight","Declared disabled","Essex","520","470","30550","29290"
"In post","2021","Heterosexual / straight","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","2260","2130","34640","31950"
"In post","2021","Heterosexual / straight","Declared disabled","Greater Manchester","1530","1400","29960","27570"
"In post","2021","Heterosexual / straight","Declared disabled","Hampshire and Isle of Wight","1280","1160","30890","27570"
"In post","2021","Heterosexual / straight","Declared disabled","Herefordshire, Worcestershire and Warwickshire","330","300","27890","27570"
"In post","2021","Heterosexual / straight","Declared disabled","Highlands and Islands","120","110","27480","27570"
"In post","2021","Heterosexual / straight","Declared disabled","Inner London - East","1100","1030","37780","31880"
"In post","2021","Heterosexual / straight","Declared disabled","Inner London - West","3730","3600","44930","40000"
"In post","2021","Heterosexual / straight","Declared disabled","Kent","730","680","29380","29290"
"In post","2021","Heterosexual / straight","Declared disabled","Lancashire","1440","1290","27300","27130"
"In post","2021","Heterosexual / straight","Declared disabled","Leicestershire, Rutland and Northamptonshire","550","500","26210","24550"
"In post","2021","Heterosexual / straight","Declared disabled","Lincolnshire","300","280","28090","27570"
"In post","2021","Heterosexual / straight","Declared disabled","Merseyside","1770","1570","28130","25600"
"In post","2021","Heterosexual / straight","Declared disabled","North Eastern Scotland","90","80","32860","27570"
"In post","2021","Heterosexual / straight","Declared disabled","North Yorkshire","350","320","32110","27570"
"In post","2021","Heterosexual / straight","Declared disabled","Northern Ireland","250","240","27290","25560"
"In post","2021","Heterosexual / straight","Declared disabled","Northumberland and Tyne and Wear","1770","1550","27010","25560"
"In post","2021","Heterosexual / straight","Declared disabled","Outer London - East and North East","350","320","30040","31060"
"In post","2021","Heterosexual / straight","Declared disabled","Outer London - South","800","740","36080","31370"
"In post","2021","Heterosexual / straight","Declared disabled","Outer London - West and North West","660","600","32170","31060"
"In post","2021","Heterosexual / straight","Declared disabled","Overseas","160","160","48570","45490"
"In post","2021","Heterosexual / straight","Declared disabled","Shropshire and Staffordshire","830","770","29320","27570"
"In post","2021","Heterosexual / straight","Declared disabled","South Yorkshire","930","820","30080","27570"
"In post","2021","Heterosexual / straight","Declared disabled","Southern Scotland","370","330","28890","26140"
"In post","2021","Heterosexual / straight","Declared disabled","Surrey, East and West Sussex","670","600","29060","27570"
"In post","2021","Heterosexual / straight","Declared disabled","Tees Valley and Durham","860","760","27460","27570"
"In post","2021","Heterosexual / straight","Declared disabled","Unknown","140","140","30980","27570"
"In post","2021","Heterosexual / straight","Declared disabled","West Central Scotland","1260","1120","28350","26160"
"In post","2021","Heterosexual / straight","Declared disabled","West Midlands","1540","1400","29220","27570"
"In post","2021","Heterosexual / straight","Declared disabled","West Wales and The Valleys","1230","1080","26480","25360"
"In post","2021","Heterosexual / straight","Declared disabled","West Yorkshire","1360","1230","30530","27570"
"In post","2021","Heterosexual / straight","Declared non-disabled","Bedfordshire and Hertfordshire","2480","2320","32310","29290"
"In post","2021","Heterosexual / straight","Declared non-disabled","Berkshire, Buckinghamshire and Oxfordshire","5170","4940","32810","29290"
"In post","2021","Heterosexual / straight","Declared non-disabled","Cheshire","1700","1610","31530","27570"
"In post","2021","Heterosexual / straight","Declared non-disabled","Cornwall and Isles of Scilly","870","790","26790","26670"
"In post","2021","Heterosexual / straight","Declared non-disabled","Cumbria","1060","970","28710","25770"
"In post","2021","Heterosexual / straight","Declared non-disabled","Derbyshire and Nottinghamshire","6110","5680","32060","27570"
"In post","2021","Heterosexual / straight","Declared non-disabled","Devon","3800","3490","29810","27560"
"In post","2021","Heterosexual / straight","Declared non-disabled","Dorset and Somerset","2840","2650","29650","27570"
"In post","2021","Heterosexual / straight","Declared non-disabled","East Anglia","6780","6340","30110","27570"
"In post","2021","Heterosexual / straight","Declared non-disabled","East Wales","10640","9990","33940","28850"
"In post","2021","Heterosexual / straight","Declared non-disabled","East Yorkshire and Northern Lincolnshire","2580","2360","28020","26930"
"In post","2021","Heterosexual / straight","Declared non-disabled","Eastern Scotland","7560","7140","35700","30080"
"In post","2021","Heterosexual / straight","Declared non-disabled","Essex","2960","2730","30900","29290"
"In post","2021","Heterosexual / straight","Declared non-disabled","Gloucestershire, Wiltshire and Bath/Bristol area","17140","16350","36780","33300"
"In post","2021","Heterosexual / straight","Declared non-disabled","Greater Manchester","10010","9460","31940","27570"
"In post","2021","Heterosexual / straight","Declared non-disabled","Hampshire and Isle of Wight","8080","7520","32710","28660"
"In post","2021","Heterosexual / straight","Declared non-disabled","Herefordshire, Worcestershire and Warwickshire","2230","2100","28120","26350"
"In post","2021","Heterosexual / straight","Declared non-disabled","Highlands and Islands","880","830","28480","27570"
"In post","2021","Heterosexual / straight","Declared non-disabled","Inner London - East","8160","7790","42720","36200"
"In post","2021","Heterosexual / straight","Declared non-disabled","Inner London - West","31710","30810","48050","43300"
"In post","2021","Heterosexual / straight","Declared non-disabled","Kent","4760","4450","29390","27680"
"In post","2021","Heterosexual / straight","Declared non-disabled","Lancashire","6980","6400","29000","27570"
