"Status","Year","Sexual_orientation","Region_ITL3","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","White","990","940","37150","31160"
"In post","2021","Heterosexual / straight","Angus and Dundee City","Asian","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Angus and Dundee City","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Angus and Dundee City","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Angus and Dundee City","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Angus and Dundee City","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Angus and Dundee City","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Angus and Dundee City","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Angus and Dundee City","White","1130","1050","27260","23340"
"In post","2021","Heterosexual / straight","Antrim and Newtownabbey","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Antrim and Newtownabbey","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Antrim and Newtownabbey","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Antrim and Newtownabbey","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Antrim and Newtownabbey","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Antrim and Newtownabbey","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Antrim and Newtownabbey","White","160","150","23430","20310"
"In post","2021","Heterosexual / straight","Ards and North Down","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Ards and North Down","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Ards and North Down","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Ards and North Down","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Ards and North Down","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Ards and North Down","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Ards and North Down","White","180","170","26300","20920"
"In post","2021","Heterosexual / straight","Armagh City, Banbridge and Craigavon","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Armagh City, Banbridge and Craigavon","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Armagh City, Banbridge and Craigavon","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Armagh City, Banbridge and Craigavon","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Armagh City, Banbridge and Craigavon","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Armagh City, Banbridge and Craigavon","White","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","Asian","110","100","30560","31060"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","Black","80","80","31110","31060"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","White","170","150","30240","31060"
"In post","2021","Heterosexual / straight","Barnet","Asian","310","290","36260","31880"
"In post","2021","Heterosexual / straight","Barnet","Black","170","170","33300","31060"
"In post","2021","Heterosexual / straight","Barnet","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnet","Mixed","60","50","34180","31060"
"In post","2021","Heterosexual / straight","Barnet","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnet","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnet","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnet","White","520","480","40630","35460"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","White","1930","1720","27280","27150"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Asian","320","310","35480","33200"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Black","260","250","34060","33270"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Mixed","180","170","34950","32040"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Other ethnicity","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","White","9430","9050","38120","34800"
"In post","2021","Heterosexual / straight","Bedford","Asian","70","60","27640","27570"
"In post","2021","Heterosexual / straight","Bedford","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedford","Chinese","[c]","[c]","[c]","[c]"
