"Status","Year","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","East Midlands (England)","440","410","38240","34480"
"In post","2021","Attorney General's Departments","East of England","480","430","40480","34480"
"In post","2021","Attorney General's Departments","London","4680","4410","49990","51250"
"In post","2021","Attorney General's Departments","North East (England)","340","310","38010","32370"
"In post","2021","Attorney General's Departments","North West (England)","970","900","39570","34480"
"In post","2021","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","690","650","42200","37890"
"In post","2021","Attorney General's Departments","South West (England)","330","310","41720","40050"
"In post","2021","Attorney General's Departments","Wales","360","330","41230","38470"
"In post","2021","Attorney General's Departments","West Midlands (England)","560","520","40000","38000"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","980","900","42130","38760"
"In post","2021","Cabinet Office","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East of England","120","110","46760","38460"
"In post","2021","Cabinet Office","London","6500","6410","49780","42260"
"In post","2021","Cabinet Office","North East (England)","420","390","29430","24570"
"In post","2021","Cabinet Office","North West (England)","450","450","46810","42410"
"In post","2021","Cabinet Office","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Scotland","80","80","48190","49700"
"In post","2021","Cabinet Office","South East (England)","220","210","42660","33950"
"In post","2021","Cabinet Office","South West (England)","190","180","53790","49700"
"In post","2021","Cabinet Office","Unknown","600","600","36250","32000"
"In post","2021","Cabinet Office","Wales","70","60","38410","30370"
"In post","2021","Cabinet Office","West Midlands (England)","50","50","62730","52530"
"In post","2021","Cabinet Office","Yorkshire and The Humber","740","700","36340","33030"
"In post","2021","Chancellor's other departments","London","360","350","59470","50060"
"In post","2021","Chancellor's other departments","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","70","70","42950","37910"
"In post","2021","Charity Commission","North West (England)","310","290","32780","29160"
"In post","2021","Charity Commission","South West (England)","50","50","35580","30350"
"In post","2021","Charity Commission","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","790","760","60810","56630"
"In post","2021","Competition and Markets Authority","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Scotland","50","50","56490","55860"
"In post","2021","Competition and Markets Authority","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","East Midlands (England)","210","200","32140","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","East of England","210","200","33440","32730"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","5620","5490","48570","46490"
"In post","2021","Department for Business, Energy and Industrial Strategy","North East (England)","210","200","31840","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","North West (England)","460","440","32760","31000"
"In post","2021","Department for Business, Energy and Industrial Strategy","Northern Ireland","40","40","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Scotland","400","380","35210","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","South East (England)","250","230","34910","36020"
"In post","2021","Department for Business, Energy and Industrial Strategy","South West (England)","2070","1980","39770","39650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Wales","2780","2600","34630","30170"
"In post","2021","Department for Business, Energy and Industrial Strategy","West Midlands (England)","670","640","33310","30630"
"In post","2021","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","200","190","32560","30950"
"In post","2021","Department for Digital, Culture, Media and Sport","London","1710","1680","49440","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","North West (England)","50","50","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","East Midlands (England)","290","280","41750","37100"
"In post","2021","Department for Education","East of England","70","70","46610","49860"
"In post","2021","Department for Education","London","2630","2540","50280","53420"
"In post","2021","Department for Education","North East (England)","790","750","38210","36780"
"In post","2021","Department for Education","North West (England)","1140","1120","40360","36780"
"In post","2021","Department for Education","South West (England)","220","210","43730","39780"
