"Status","Year","Responsibility_level","Region_ITL3","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Aberdeen City and Aberdeenshire","North Eastern Scotland","550","500","25300","22230"
"In post","2021","AA/AO","Angus and Dundee City","Eastern Scotland","1110","1010","21120","21010"
"In post","2021","AA/AO","Antrim and Newtownabbey","Northern Ireland","150","150","20680","20310"
"In post","2021","AA/AO","Ards and North Down","Northern Ireland","170","170","21240","20310"
"In post","2021","AA/AO","Armagh City, Banbridge and Craigavon","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Barking & Dagenham and Havering","Outer London - East and North East","110","100","23280","23210"
"In post","2021","AA/AO","Barnet","Outer London - West and North West","270","240","23800","23530"
"In post","2021","AA/AO","Barnsley, Doncaster and Rotherham","South Yorkshire","1510","1340","23120","21010"
"In post","2021","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","Gloucestershire, Wiltshire and Bath/Bristol area","760","700","23120","21130"
"In post","2021","AA/AO","Bedford","Bedfordshire and Hertfordshire","290","280","25890","25840"
"In post","2021","AA/AO","Belfast","Northern Ireland","1000","900","20660","20140"
"In post","2021","AA/AO","Berkshire","Berkshire, Buckinghamshire and Oxfordshire","1000","960","27560","25540"
"In post","2021","AA/AO","Bexley and Greenwich","Outer London - East and North East","880","840","28470","28720"
"In post","2021","AA/AO","Birmingham","West Midlands","3570","3230","21010","20180"
"In post","2021","AA/AO","Blackburn with Darwen","Lancashire","150","130","21040","21010"
"In post","2021","AA/AO","Blackpool","Lancashire","1760","1580","20840","21010"
"In post","2021","AA/AO","Bournemouth and Poole","Dorset and Somerset","200","180","20310","20100"
"In post","2021","AA/AO","Bradford","West Yorkshire","1330","1120","20480","20140"
"In post","2021","AA/AO","Breckland and South Norfolk","East Anglia","300","290","24220","23420"
"In post","2021","AA/AO","Brent","Outer London - West and North West","160","140","23490","23500"
"In post","2021","AA/AO","Bridgend and Neath Port Talbot","West Wales and The Valleys","270","230","20500","21010"
"In post","2021","AA/AO","Brighton and Hove","Surrey, East and West Sussex","160","140","20510","20650"
"In post","2021","AA/AO","Bristol, City of","Gloucestershire, Wiltshire and Bath/Bristol area","1330","1220","21520","21010"
"In post","2021","AA/AO","Bromley","Outer London - South","140","130","22290","22120"
"In post","2021","AA/AO","Buckinghamshire CC","Berkshire, Buckinghamshire and Oxfordshire","570","540","25280","23130"
"In post","2021","AA/AO","Caithness and Sutherland and Ross and Cromarty","Highlands and Islands","80","70","23780","22920"
"In post","2021","AA/AO","Calderdale and Kirklees","West Yorkshire","230","190","20570","21010"
"In post","2021","AA/AO","Cambridgeshire CC","East Anglia","1140","1060","25360","23490"
"In post","2021","AA/AO","Camden and City of London","Inner London - West","860","810","23580","23270"
"In post","2021","AA/AO","Cardiff and Vale of Glamorgan","East Wales","3400","3050","21330","20880"
"In post","2021","AA/AO","Causeway Coast and Glens","Northern Ireland","70","70","20410","20310"
"In post","2021","AA/AO","Central Bedfordshire","Bedfordshire and Hertfordshire","140","140","20780","20920"
"In post","2021","AA/AO","Central Hampshire","Hampshire and Isle of Wight","810","780","23220","20920"
"In post","2021","AA/AO","Central Valleys","West Wales and The Valleys","360","320","21620","21010"
"In post","2021","AA/AO","Cheshire East","Cheshire","290","260","23870","21710"
"In post","2021","AA/AO","Cheshire West and Chester","Cheshire","160","150","20670","21010"
"In post","2021","AA/AO","Chorley and West Lancashire","Lancashire","730","670","25550","25300"
"In post","2021","AA/AO","City of Edinburgh","Eastern Scotland","3150","2980","22180","21480"
"In post","2021","AA/AO","Clackmannanshire and Fife","Eastern Scotland","470","430","22350","21010"
"In post","2021","AA/AO","Conwy and Denbighshire","West Wales and The Valleys","130","110","22020","23250"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","710","640","20860","21010"
"In post","2021","AA/AO","Coventry","West Midlands","290","260","20920","21010"
"In post","2021","AA/AO","Croydon","Outer London - South","1740","1580","24510","25630"
"In post","2021","AA/AO","Darlington","Tees Valley and Durham","100","90","21000","21000"
"In post","2021","AA/AO","Derby","Derbyshire and Nottinghamshire","490","420","21470","21010"
"In post","2021","AA/AO","Derry City and Strabane","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Devon CC","Devon","1950","1720","22200","21010"
"In post","2021","AA/AO","Dorset CC","Dorset and Somerset","990","940","23860","22350"
"In post","2021","AA/AO","Dudley","West Midlands","530","440","20750","21010"
"In post","2021","AA/AO","Dumfries and Galloway","Southern Scotland","250","230","23780","22920"
"In post","2021","AA/AO","Durham CC","Tees Valley and Durham","3340","2940","23210","21430"
"In post","2021","AA/AO","Ealing","Outer London - West and North West","70","60","24880","25110"
"In post","2021","AA/AO","East Ayrshire and North Ayrshire mainland","Southern Scotland","300","250","21870","21010"
"In post","2021","AA/AO","East Cumbria","Cumbria","340","310","21450","21050"
"In post","2021","AA/AO","East Derbyshire","Derbyshire and Nottinghamshire","100","90","20350","20300"
"In post","2021","AA/AO","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","West Central Scotland","1370","1300","26510","22430"
"In post","2021","AA/AO","East Kent","Kent","1010","930","22620","21440"
"In post","2021","AA/AO","East Lancashire","Lancashire","160","130","20320","21010"
"In post","2021","AA/AO","East Lothian and Midlothian","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","East Merseyside","Merseyside","280","240","20690","20320"
"In post","2021","AA/AO","East Riding of Yorkshire","East Yorkshire and Northern Lincolnshire","1000","930","25270","24440"
"In post","2021","AA/AO","East Surrey","Surrey, East and West Sussex","550","520","30380","33050"
"In post","2021","AA/AO","East Sussex CC","Surrey, East and West Sussex","930","820","22480","21010"
"In post","2021","AA/AO","Enfield","Outer London - East and North East","70","60","23160","23130"
"In post","2021","AA/AO","Essex Haven Gateway","Essex","320","300","25510","21580"
"In post","2021","AA/AO","Essex Thames Gateway","Essex","340","290","23460","24180"
"In post","2021","AA/AO","Falkirk","Eastern Scotland","870","740","21550","21010"
"In post","2021","AA/AO","Fermanagh and Omagh","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Flintshire and Wrexham","East Wales","1020","960","22300","21010"
"In post","2021","AA/AO","Glasgow City","West Central Scotland","3820","3450","21070","21010"
"In post","2021","AA/AO","Gloucestershire","Gloucestershire, Wiltshire and Bath/Bristol area","430","390","23040","21130"
