"Status","Year","Region_ITL2","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Animal and Plant Health Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Animal and Plant Health Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Cabinet Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Cabinet Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Crown Prosecution Service","Female","120","100","38990","30110"
"In post","2021","Bedfordshire and Hertfordshire","Crown Prosecution Service","Male","60","60","49620","51120"
"In post","2021","Bedfordshire and Hertfordshire","Defence Equipment and Support","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Defence Equipment and Support","Male","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Education (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Education (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Work and Pensions (excl. agencies)","Female","750","660","28760","29290"
"In post","2021","Bedfordshire and Hertfordshire","Department for Work and Pensions (excl. agencies)","Male","360","350","28850","29290"
"In post","2021","Bedfordshire and Hertfordshire","Driver and Vehicle Standards Agency","Female","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Driver and Vehicle Standards Agency","Male","90","90","30390","30580"
"In post","2021","Bedfordshire and Hertfordshire","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Health and Safety Executive","Female","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Health and Safety Executive","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","HM Courts and Tribunals Service","Female","260","220","23720","21300"
"In post","2021","Bedfordshire and Hertfordshire","HM Courts and Tribunals Service","Male","60","60","24090","21310"
"In post","2021","Bedfordshire and Hertfordshire","HM Prison and Probation Service","Female","550","510","28420","27850"
"In post","2021","Bedfordshire and Hertfordshire","HM Prison and Probation Service","Male","460","450","31400","30400"
"In post","2021","Bedfordshire and Hertfordshire","HM Revenue and Customs (excl. agencies)","Female","40","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","HM Revenue and Customs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Home Office (incl. agencies)","Female","110","100","28400","26070"
"In post","2021","Bedfordshire and Hertfordshire","Home Office (incl. agencies)","Male","170","150","28950","27370"
"In post","2021","Bedfordshire and Hertfordshire","Insolvency Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Insolvency Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Medicines and Healthcare Products Regulatory Agency","Female","180","170","43800","41010"
"In post","2021","Bedfordshire and Hertfordshire","Medicines and Healthcare Products Regulatory Agency","Male","140","140","44390","40850"
"In post","2021","Bedfordshire and Hertfordshire","Met Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Met Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Ministry of Defence (excl. agencies)","Female","350","340","35490","30750"
