"Status","Year","Region_ITL3","Region_ITL1","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Department for Business, Energy and Industrial Strategy","130","130","47200","41420"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Department for Transport","80","70","32730","27680"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Department for Work and Pensions","370","340","41210","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Home Office","40","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Ministry of Defence","110","100","38630","44070"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scotland","Scottish Government","1120","1060","33530","30650"
"In post","2021","Angus and Dundee City","Scotland","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Scotland","Department for Work and Pensions","960","870","23850","21010"
"In post","2021","Angus and Dundee City","Scotland","HM Revenue and Customs","300","270","23610","21400"
"In post","2021","Angus and Dundee City","Scotland","Ministry of Defence","50","50","[c]","[c]"
"In post","2021","Angus and Dundee City","Scotland","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Scotland","Scottish Government","580","550","31870","27150"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","Ministry of Defence","180","180","23500","20310"
"In post","2021","Ards and North Down","Northern Ireland","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Northern Ireland","Department for Transport","40","40","[c]","[c]"
"In post","2021","Ards and North Down","Northern Ireland","Ministry of Defence","180","180","23350","20310"
"In post","2021","Armagh City, Banbridge and Craigavon","Northern Ireland","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","London","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","London","Department for Work and Pensions","460","420","30980","31060"
"In post","2021","Barking & Dagenham and Havering","London","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","London","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","London","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","London","Ministry of Justice","120","100","28080","24660"
"In post","2021","Barnet","London","Department for Transport","30","30","[c]","[c]"
"In post","2021","Barnet","London","Department for Work and Pensions","300","280","30710","31060"
"In post","2021","Barnet","London","Department of Health and Social Care","1100","1040","43010","39110"
"In post","2021","Barnet","London","Home Office","150","150","44640","42170"
"In post","2021","Barnet","London","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","London","Ministry of Justice","90","80","28070","26810"
"In post","2021","Barnsley, Doncaster and Rotherham","Yorkshire and The Humber","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Yorkshire and The Humber","Department for Transport","60","50","27490","26780"
"In post","2021","Barnsley, Doncaster and Rotherham","Yorkshire and The Humber","Department for Work and Pensions","1360","1150","25090","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Yorkshire and The Humber","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Yorkshire and The Humber","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Yorkshire and The Humber","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Yorkshire and The Humber","Home Office","40","40","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Yorkshire and The Humber","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Yorkshire and The Humber","Ministry of Justice","1510","1400","28750","26810"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","Attorney General's Departments","40","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","Cabinet Office","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","Department for Transport","30","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","Department for Work and Pensions","320","290","27410","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","Home Office","200","180","26800","25260"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","Ministry of Defence","11560","11170","38650","36460"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","Ministry of Justice","740","680","30540","28220"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","National Crime Agency","410","400","35940","34140"
"In post","2021","Bedford","East of England","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","East of England","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","East of England","Department for Transport","30","30","[c]","[c]"
"In post","2021","Bedford","East of England","Department for Work and Pensions","230","210","32000","27570"
"In post","2021","Bedford","East of England","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","East of England","Home Office","120","110","28790","26160"
"In post","2021","Bedford","East of England","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","East of England","Ministry of Justice","400","380","29090","29470"
"In post","2021","Bedford","East of England","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Northern Ireland","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Northern Ireland","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Northern Ireland","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Northern Ireland","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Northern Ireland","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Northern Ireland","Food Standards Agency","80","80","38880","37910"
"In post","2021","Belfast","Northern Ireland","HM Revenue and Customs","1990","1850","28520","25560"
"In post","2021","Belfast","Northern Ireland","Home Office","460","410","24980","24880"
"In post","2021","Belfast","Northern Ireland","Ministry of Defence","60","60","22200","20310"
"In post","2021","Belfast","Northern Ireland","National Crime Agency","110","110","39890","39200"
"In post","2021","Belfast","Northern Ireland","Northern Ireland Office","90","80","38110","34990"
"In post","2021","Berkshire","South East (England)","Attorney General's Departments","140","130","43310","40000"
"In post","2021","Berkshire","South East (England)","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","South East (England)","Department for Business, Energy and Industrial Strategy","50","40","[c]","[c]"
"In post","2021","Berkshire","South East (England)","Department for Environment, Food and Rural Affairs","370","350","35700","31540"
"In post","2021","Berkshire","South East (England)","Department for International Trade","120","110","47060","51860"
"In post","2021","Berkshire","South East (England)","Department for Transport","40","40","[c]","[c]"
"In post","2021","Berkshire","South East (England)","Department for Work and Pensions","460","420","29410","29290"
"In post","2021","Berkshire","South East (England)","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","South East (England)","HM Revenue and Customs","310","290","34710","32520"
"In post","2021","Berkshire","South East (England)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","South East (England)","Home Office","50","40","[c]","[c]"
"In post","2021","Berkshire","South East (England)","Ministry of Defence","1030","1010","34390","33300"
"In post","2021","Berkshire","South East (England)","Ministry of Justice","270","250","27820","24020"
"In post","2021","Berkshire","South East (England)","National Crime Agency","110","110","39480","39570"
"In post","2021","Bexley and Greenwich","London","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","London","Department for Transport","60","60","33680","31830"
"In post","2021","Bexley and Greenwich","London","Department for Work and Pensions","390","360","31090","31060"
"In post","2021","Bexley and Greenwich","London","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","London","Ministry of Defence","120","110","33260","33950"
"In post","2021","Bexley and Greenwich","London","Ministry of Justice","1180","1140","31830","31590"
"In post","2021","Birmingham","West Midlands (England)","Attorney General's Departments","490","460","39820","38000"
"In post","2021","Birmingham","West Midlands (England)","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","West Midlands (England)","Department for Business, Energy and Industrial Strategy","670","630","33290","30390"
"In post","2021","Birmingham","West Midlands (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","West Midlands (England)","Department for Transport","160","150","30570","26780"
"In post","2021","Birmingham","West Midlands (England)","Department for Work and Pensions","2240","2000","27320","27570"
"In post","2021","Birmingham","West Midlands (England)","Department of Health and Social Care","450","410","41950","35160"
"In post","2021","Birmingham","West Midlands (England)","Food Standards Agency","70","70","39260","37910"
"In post","2021","Birmingham","West Midlands (England)","HM Revenue and Customs","2990","2790","31300","28130"
"In post","2021","Birmingham","West Midlands (England)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","West Midlands (England)","Home Office","130","120","29970","25310"
"In post","2021","Birmingham","West Midlands (England)","Ministry of Defence","260","250","34060","33300"
"In post","2021","Birmingham","West Midlands (England)","Ministry of Housing, Communities and Local Government","130","130","38760","36340"
"In post","2021","Birmingham","West Midlands (England)","Ministry of Justice","3140","2930","25990","22570"
"In post","2021","Birmingham","West Midlands (England)","National Crime Agency","410","400","37700","36410"
"In post","2021","Birmingham","West Midlands (England)","Office for Standards in Education","150","150","55180","51360"
"In post","2021","Birmingham","West Midlands (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Birmingham","West Midlands (England)","Other Cabinet Office Agencies","70","70","38380","34800"
"In post","2021","Birmingham","West Midlands (England)","Water Services Regulation Authority","180","170","50470","47200"
"In post","2021","Blackburn with Darwen","North West (England)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","North West (England)","Department for Work and Pensions","350","310","26610","27570"
"In post","2021","Blackburn with Darwen","North West (England)","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","North West (England)","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Blackburn with Darwen","North West (England)","Ministry of Justice","110","100","26860","22920"
"In post","2021","Blackpool","North West (England)","Cabinet Office","40","40","[c]","[c]"
"In post","2021","Blackpool","North West (England)","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","North West (England)","Department for Business, Energy and Industrial Strategy","50","50","[c]","[c]"
"In post","2021","Blackpool","North West (England)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","North West (England)","Department for Work and Pensions","4900","4470","28740","27570"
"In post","2021","Blackpool","North West (England)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","North West (England)","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Blackpool","North West (England)","Ministry of Justice","120","110","28440","23840"
"In post","2021","Bournemouth and Poole","South West (England)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Bournemouth and Poole","South West (England)","Department for Work and Pensions","280","240","27400","27570"
"In post","2021","Bournemouth and Poole","South West (England)","Home Office","80","70","28110","27260"
"In post","2021","Bournemouth and Poole","South West (England)","Ministry of Defence","100","100","24170","20920"
"In post","2021","Bournemouth and Poole","South West (England)","Ministry of Justice","230","200","26750","22920"
"In post","2021","Bradford","Yorkshire and The Humber","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","Yorkshire and The Humber","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","Yorkshire and The Humber","Department for Work and Pensions","900","790","25300","27570"
"In post","2021","Bradford","Yorkshire and The Humber","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bradford","Yorkshire and The Humber","HM Revenue and Customs","1840","1640","28530","25560"
"In post","2021","Bradford","Yorkshire and The Humber","Ministry of Justice","330","300","24850","22260"
"In post","2021","Breckland and South Norfolk","East of England","Department for Work and Pensions","60","50","27890","27570"
"In post","2021","Breckland and South Norfolk","East of England","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","East of England","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","East of England","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","East of England","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Breckland and South Norfolk","East of England","Ministry of Justice","430","410","28320","25830"
"In post","2021","Brent","London","Department for Work and Pensions","260","240","30440","31060"
"In post","2021","Brent","London","HM Revenue and Customs","140","130","37220","33750"
"In post","2021","Brent","London","Ministry of Justice","210","190","28790","24210"
"In post","2021","Bridgend and Neath Port Talbot","Wales","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Wales","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Wales","Department for Work and Pensions","460","400","25730","27570"
"In post","2021","Bridgend and Neath Port Talbot","Wales","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Bridgend and Neath Port Talbot","Wales","Ministry of Justice","180","160","27100","22260"
"In post","2021","Bridgend and Neath Port Talbot","Wales","National Crime Agency","60","60","37280","36410"
"In post","2021","Bridgend and Neath Port Talbot","Wales","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","South East (England)","Attorney General's Departments","110","100","42660","36240"
"In post","2021","Brighton and Hove","South East (England)","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","South East (England)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","South East (England)","Department for Work and Pensions","280","250","27580","27570"
"In post","2021","Brighton and Hove","South East (England)","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Brighton and Hove","South East (England)","Ministry of Justice","250","220","28780","22920"
"In post","2021","Bristol, City of","South West (England)","Attorney General's Departments","150","150","41650","38180"
"In post","2021","Bristol, City of","South West (England)","Cabinet Office","70","60","43300","38420"
"In post","2021","Bristol, City of","South West (England)","Department for Business, Energy and Industrial Strategy","120","110","35460","34390"
"In post","2021","Bristol, City of","South West (England)","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","South West (England)","Department for Education","220","210","43730","39780"
"In post","2021","Bristol, City of","South West (England)","Department for Environment, Food and Rural Affairs","860","820","39290","36520"
"In post","2021","Bristol, City of","South West (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","South West (England)","Department for Transport","430","410","34950","31790"
"In post","2021","Bristol, City of","South West (England)","Department for Work and Pensions","900","790","27260","27570"
"In post","2021","Bristol, City of","South West (England)","Department of Health and Social Care","360","320","40130","34660"
"In post","2021","Bristol, City of","South West (England)","HM Revenue and Customs","1400","1310","35240","31810"
"In post","2021","Bristol, City of","South West (England)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","South West (England)","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","South West (England)","Ministry of Defence","40","40","[c]","[c]"
"In post","2021","Bristol, City of","South West (England)","Ministry of Housing, Communities and Local Government","880","810","43320","41020"
"In post","2021","Bristol, City of","South West (England)","Ministry of Justice","830","780","26860","23970"
"In post","2021","Bristol, City of","South West (England)","Office for Standards in Education","280","270","43010","35010"
"In post","2021","Bristol, City of","South West (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Bristol, City of","South West (England)","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Bromley","London","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Bromley","London","Department for Work and Pensions","280","260","31150","31060"
"In post","2021","Bromley","London","Ministry of Justice","160","140","25870","22450"
"In post","2021","Bromley","London","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Buckinghamshire CC","South East (England)","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Buckinghamshire CC","South East (England)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Buckinghamshire CC","South East (England)","Department for Work and Pensions","210","190","27760","27570"
"In post","2021","Buckinghamshire CC","South East (England)","Ministry of Defence","720","700","34160","32490"
"In post","2021","Buckinghamshire CC","South East (England)","Ministry of Justice","730","690","30950","30400"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Scotland","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Scotland","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Scotland","Department for Work and Pensions","50","50","27230","27570"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Scotland","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Scotland","Scottish Government","130","120","28890","28170"
"In post","2021","Calderdale and Kirklees","Yorkshire and The Humber","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Calderdale and Kirklees","Yorkshire and The Humber","Department for Work and Pensions","730","650","27080","27570"
"In post","2021","Calderdale and Kirklees","Yorkshire and The Humber","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Calderdale and Kirklees","Yorkshire and The Humber","HM Revenue and Customs","120","110","26270","21100"
