"Status","Year","Age","Sexual_orientation","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Heterosexual / straight","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Barnet","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","70","70","18660","19040"
"In post","2021","16-19","Heterosexual / straight","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Brent","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","City of Edinburgh","50","50","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Derby","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Dudley","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Ealing","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","East Surrey","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Enfield","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heterosexual / straight","Hertfordshire","[c]","[c]","[c]","[c]"
