"Status","Year","Function_of_post","Region_ITL1","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","East Midlands (England)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Department for Environment, Food and Rural Affairs","350","330","34300","30220"
"In post","2021","Analysis","East of England","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Chancellor's other departments","180","170","67420","60780"
"In post","2021","Analysis","London","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Competition and Markets Authority","130","120","60780","56360"
"In post","2021","Analysis","London","Department for Business, Energy and Industrial Strategy","300","290","43770","37550"
"In post","2021","Analysis","London","Department for Digital, Culture, Media and Sport","140","140","52490","49720"
"In post","2021","Analysis","London","Department for Education","180","170","46760","45540"
"In post","2021","Analysis","London","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Department for International Trade","230","230","42740","38540"
"In post","2021","Analysis","London","Department for Transport","380","370","46920","43360"
"In post","2021","Analysis","London","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Department of Health and Social Care","200","190","53940","53360"
"In post","2021","Analysis","London","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Foreign, Commonwealth and Development Office","70","60","57940","58370"
"In post","2021","Analysis","London","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","HM Revenue and Customs","380","370","47750","41760"
"In post","2021","Analysis","London","HM Treasury","150","150","53930","52840"
"In post","2021","Analysis","London","Ministry of Defence","90","80","43990","40640"
"In post","2021","Analysis","London","Ministry of Housing, Communities and Local Government","190","190","46840","46510"
"In post","2021","Analysis","London","Ministry of Justice","360","350","46630","41040"
"In post","2021","Analysis","London","Office for Standards in Education","40","40","[c]","[c]"
"In post","2021","Analysis","London","Office of Gas and Electricity Markets","60","60","54980","52000"
"In post","2021","Analysis","London","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","United Kingdom Statistics Authority","230","220","40680","32540"
"In post","2021","Analysis","London","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","Department for Education","30","30","[c]","[c]"
"In post","2021","Analysis","North East (England)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Department for Education","40","40","[c]","[c]"
"In post","2021","Analysis","North West (England)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","HM Revenue and Customs","250","240","39040","38630"
"In post","2021","Analysis","North West (England)","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Ministry of Defence","390","370","40430","37360"
"In post","2021","Analysis","South East (England)","United Kingdom Statistics Authority","440","420","37170","36030"
"In post","2021","Analysis","South West (England)","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Department for Environment, Food and Rural Affairs","140","130","32750","29270"
"In post","2021","Analysis","South West (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Ministry of Defence","170","160","38420","37320"
"In post","2021","Analysis","South West (England)","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Office for Standards in Education","90","90","39150","32010"
"In post","2021","Analysis","South West (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","United Kingdom Statistics Authority","1020","980","36210","36030"
"In post","2021","Analysis","Wales","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Department for Education","120","120","44050","42420"
"In post","2021","Analysis","Yorkshire and The Humber","Department for Environment, Food and Rural Affairs","60","50","33760","30220"
"In post","2021","Analysis","Yorkshire and The Humber","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Department of Health and Social Care","90","80","47560","49530"
"In post","2021","Analysis","Yorkshire and The Humber","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Ministry of Justice","40","40","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Ministry of Justice","70","70","42150","38510"
"In post","2021","Commercial","East Midlands (England)","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Cabinet Office","70","60","57360","54800"
"In post","2021","Commercial","East of England","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Ministry of Defence","140","140","34700","33300"
"In post","2021","Commercial","East of England","Ministry of Justice","70","70","47170","45830"
"In post","2021","Commercial","East of England","Other Cabinet Office Agencies","90","80","34770","34800"
"In post","2021","Commercial","London","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Cabinet Office","770","760","75440","67440"
"In post","2021","Commercial","London","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Department for Education","[c]","[c]","[c]","[c]"
