"Status","Year","Ethnicity","Age","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","16-19","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","16-19","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","East Midlands (England)","260","260","25200","25000"
"In post","2021","Asian","20-29","East of England","180","160","26320","25380"
"In post","2021","Asian","20-29","London","2640","2620","33270","31060"
"In post","2021","Asian","20-29","North East (England)","90","80","24420","21220"
"In post","2021","Asian","20-29","North West (England)","610","590","25540","25320"
"In post","2021","Asian","20-29","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Scotland","70","70","25740","23450"
"In post","2021","Asian","20-29","South East (England)","220","220","27510","27570"
"In post","2021","Asian","20-29","South West (England)","170","170","27870","27540"
"In post","2021","Asian","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","20-29","Wales","110","100","25450","23050"
"In post","2021","Asian","20-29","West Midlands (England)","730","710","25150","24880"
"In post","2021","Asian","20-29","Yorkshire and The Humber","600","590","25130","24890"
"In post","2021","Asian","30-39","East Midlands (England)","410","370","26940","25560"
"In post","2021","Asian","30-39","East of England","280","260","28870","27570"
"In post","2021","Asian","30-39","London","3390","3250","39150","35070"
"In post","2021","Asian","30-39","North East (England)","150","140","28360","25560"
"In post","2021","Asian","30-39","North West (England)","830","770","27650","26000"
"In post","2021","Asian","30-39","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Overseas","50","50","[c]","[c]"
"In post","2021","Asian","30-39","Scotland","180","170","31230","27570"
"In post","2021","Asian","30-39","South East (England)","300","280","30390","27760"
"In post","2021","Asian","30-39","South West (England)","240","230","33970","31810"
"In post","2021","Asian","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","30-39","Wales","140","130","28200","25560"
"In post","2021","Asian","30-39","West Midlands (England)","1240","1170","27520","25560"
"In post","2021","Asian","30-39","Yorkshire and The Humber","730","660","27480","25560"
"In post","2021","Asian","40-49","East Midlands (England)","460","400","28030","26000"
"In post","2021","Asian","40-49","East of England","340","310","31470","27570"
"In post","2021","Asian","40-49","London","3520","3290","39770","34520"
"In post","2021","Asian","40-49","North East (England)","90","90","30040","25710"
"In post","2021","Asian","40-49","North West (England)","720","640","28360","25560"
"In post","2021","Asian","40-49","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","40-49","Overseas","60","60","[c]","[c]"
"In post","2021","Asian","40-49","Scotland","150","130","35640","27570"
"In post","2021","Asian","40-49","South East (England)","360","320","31380","28670"
"In post","2021","Asian","40-49","South West (England)","200","190","38360","33840"
"In post","2021","Asian","40-49","Unknown","40","30","[c]","[c]"
"In post","2021","Asian","40-49","Wales","110","100","34120","27570"
"In post","2021","Asian","40-49","West Midlands (England)","1170","1060","29390","27570"
"In post","2021","Asian","40-49","Yorkshire and The Humber","640","570","29940","27570"
"In post","2021","Asian","50-59","East Midlands (England)","450","410","27480","25600"
"In post","2021","Asian","50-59","East of England","220","200","33720","28410"
"In post","2021","Asian","50-59","London","2710","2560","36980","31880"
"In post","2021","Asian","50-59","North East (England)","50","50","29530","21580"
"In post","2021","Asian","50-59","North West (England)","350","320","29850","25560"
"In post","2021","Asian","50-59","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","50-59","Scotland","80","80","31160","26060"
"In post","2021","Asian","50-59","South East (England)","360","330","30610","27690"
"In post","2021","Asian","50-59","South West (England)","130","120","37470","33670"
"In post","2021","Asian","50-59","Unknown","40","30","[c]","[c]"
"In post","2021","Asian","50-59","Wales","50","50","33620","27570"
"In post","2021","Asian","50-59","West Midlands (England)","760","700","28380","27130"
"In post","2021","Asian","50-59","Yorkshire and The Humber","290","270","31840","27570"
"In post","2021","Asian","60-64","East Midlands (England)","90","80","25930","21440"
"In post","2021","Asian","60-64","East of England","70","60","30060","28130"
"In post","2021","Asian","60-64","London","810","700","32910","30110"
"In post","2021","Asian","60-64","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","60-64","North West (England)","40","30","[c]","[c]"
"In post","2021","Asian","60-64","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","60-64","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","60-64","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","60-64","South East (England)","80","70","31660","28550"
"In post","2021","Asian","60-64","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","60-64","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","60-64","West Midlands (England)","150","120","28660","25560"
"In post","2021","Asian","60-64","Yorkshire and The Humber","40","40","[c]","[c]"
"In post","2021","Asian","65+","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","65+","London","470","360","30360","27490"
