"Status","Year","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","250","240","43370","42700"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","380","370","40780","37100"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","170","160","38760","36970"
"In post","2021","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","290","270","38820","34710"
"In post","2021","Commercial","Department for Work and Pensions","30","30","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","240","230","47400","40650"
"In post","2021","Commercial","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","160","160","44390","41160"
"In post","2021","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","80","70","39720","38630"
"In post","2021","Commercial","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","90","90","41360","42100"
"In post","2021","Commercial","Ministry of Defence","2040","1960","37950","34800"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","890","870","46550","44080"
"In post","2021","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other Cabinet Office Agencies","370","360","34140","34800"
"In post","2021","Commercial","Scottish Government","100","100","31960","25870"
"In post","2021","Commercial","The National Archives","40","40","[c]","[c]"
"In post","2021","Commercial","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","30","30","[c]","[c]"
