"Status","Year","Region_ITL3","Function_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Commercial","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Digital, Data & Technology","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Finance","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Human Resources","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Legal","North Eastern Scotland","110","90","31560","22820"
"In post","2021","Aberdeen City and Aberdeenshire","No function","North Eastern Scotland","670","640","40860","33650"
"In post","2021","Aberdeen City and Aberdeenshire","Project Delivery","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Property","North Eastern Scotland","90","90","30750","28870"
"In post","2021","Aberdeen City and Aberdeenshire","Security","North Eastern Scotland","90","90","40950","44070"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","North Eastern Scotland","870","810","33340","29190"
"In post","2021","Angus and Dundee City","Counter Fraud","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Debt","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Finance","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Legal","Eastern Scotland","100","90","33520","29350"
"In post","2021","Angus and Dundee City","No function","Eastern Scotland","360","330","23720","21440"
"In post","2021","Angus and Dundee City","Project Delivery","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Property","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Eastern Scotland","1430","1320","26300","22230"
"In post","2021","Antrim and Newtownabbey","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Digital, Data & Technology","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Finance","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Human Resources","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","No function","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Project Delivery","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Property","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Security","Northern Ireland","80","80","21070","20310"
"In post","2021","Antrim and Newtownabbey","Unknown","Northern Ireland","90","80","25450","21670"
"In post","2021","Ards and North Down","Digital, Data & Technology","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Finance","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","No function","Northern Ireland","40","40","[c]","[c]"
"In post","2021","Ards and North Down","Project Delivery","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Property","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Security","Northern Ireland","100","100","21150","20310"
"In post","2021","Ards and North Down","Unknown","Northern Ireland","60","60","26460","22330"
"In post","2021","Armagh City, Banbridge and Craigavon","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Property","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Counter Fraud","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Internal Audit","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Legal","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","No function","Outer London - East and North East","130","120","27800","26150"
"In post","2021","Barking & Dagenham and Havering","Project Delivery","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Property","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","Outer London - East and North East","460","420","30980","31060"
"In post","2021","Barnet","Commercial","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Communications","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Digital, Data & Technology","Outer London - West and North West","40","40","[c]","[c]"
"In post","2021","Barnet","Finance","Outer London - West and North West","40","40","[c]","[c]"
"In post","2021","Barnet","Human Resources","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Legal","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","No function","Outer London - West and North West","1090","1020","41390","35300"
"In post","2021","Barnet","Property","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","Outer London - West and North West","460","440","35140","31060"
"In post","2021","Barnsley, Doncaster and Rotherham","Commercial","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Communications","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Counter Fraud","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Digital, Data & Technology","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Finance","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Human Resources","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Legal","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","No function","South Yorkshire","1460","1360","28180","26700"
"In post","2021","Barnsley, Doncaster and Rotherham","Property","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Security","South Yorkshire","80","80","39250","40190"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","South Yorkshire","1410","1190","25140","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","60","50","40630","38530"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","640","620","44040","40580"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","80","70","39300","35930"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data & Technology","Gloucestershire, Wiltshire and Bath/Bristol area","150","140","37130","36380"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","Gloucestershire, Wiltshire and Bath/Bristol area","690","660","40000","35070"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","Gloucestershire, Wiltshire and Bath/Bristol area","630","580","35350","31450"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Internal Audit","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Legal","Gloucestershire, Wiltshire and Bath/Bristol area","50","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","No function","Gloucestershire, Wiltshire and Bath/Bristol area","1020","950","31310","31020"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","8330","8070","38680","36890"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Property","Gloucestershire, Wiltshire and Bath/Bristol area","290","280","39230","37030"
