"Status","Year","Region_ITL2","Responsibility_level","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Asian","140","130","23530","22910"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Black","60","50","24580","22980"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Mixed","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Undeclared","50","50","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Unknown","160","150","24610","22650"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","White","810","750","24600","22980"
"In post","2021","Bedfordshire and Hertfordshire","EO","Asian","240","220","28550","28550"
"In post","2021","Bedfordshire and Hertfordshire","EO","Black","110","100","28920","29290"
"In post","2021","Bedfordshire and Hertfordshire","EO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","EO","Mixed","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","EO","Undeclared","80","70","29310","29290"
"In post","2021","Bedfordshire and Hertfordshire","EO","Unknown","120","110","29150","29290"
"In post","2021","Bedfordshire and Hertfordshire","EO","White","1010","920","29130","29290"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Black","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","White","230","220","60580","59730"
"In post","2021","Bedfordshire and Hertfordshire","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SCS","White","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Asian","110","110","38040","37640"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Black","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Mixed","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Undeclared","60","60","38400","37640"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","Unknown","70","60","38520","37640"
"In post","2021","Bedfordshire and Hertfordshire","SEO/HEO","White","690","660","38850","37880"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Unknown","50","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","White","180","170","28940","28200"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Asian","200","180","23520","22380"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Black","100","100","25500","23430"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Mixed","60","60","25180","23520"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Undeclared","150","140","26230","22440"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Unknown","550","540","25960","25540"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","White","2490","2380","25640","23270"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Asian","230","210","28710","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Black","100","100","28440","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Mixed","50","50","28630","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Undeclared","110","100","30330","28670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","Unknown","240","230","29430","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","EO","White","1660","1580","29330","27910"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Asian","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Black","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Undeclared","50","50","58050","55810"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Unknown","70","60","59760","54970"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","White","580","550","60180","57650"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SCS","White","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Asian","110","110","37580","36970"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Black","50","50","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Mixed","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Undeclared","140","140","38060","35980"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Unknown","200","180","37000","36310"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","White","1720","1650","38460","37280"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Unknown","50","50","29920","24020"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","White","370","340","30150","30210"
"In post","2021","Cheshire","AA/AO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","AA/AO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","AA/AO","Unknown","160","160","22340","21050"
"In post","2021","Cheshire","AA/AO","White","980","890","23350","21010"
"In post","2021","Cheshire","EO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","EO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","EO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","EO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","EO","Undeclared","60","60","29530","28840"
"In post","2021","Cheshire","EO","Unknown","140","140","29750","28430"
"In post","2021","Cheshire","EO","White","1170","1110","29600","27570"
"In post","2021","Cheshire","G6/G7","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","G6/G7","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","G6/G7","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","G6/G7","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","G6/G7","White","160","160","57830","55740"
"In post","2021","Cheshire","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SCS","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SCS","White","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SEO/HEO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SEO/HEO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SEO/HEO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SEO/HEO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","SEO/HEO","Undeclared","30","30","[c]","[c]"
"In post","2021","Cheshire","SEO/HEO","Unknown","80","80","38520","37560"
"In post","2021","Cheshire","SEO/HEO","White","710","680","39570","38540"
"In post","2021","Cheshire","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","White","180","160","29660","30210"
"In post","2021","Cornwall and Isles of Scilly","AA/AO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","AA/AO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","AA/AO","Undeclared","40","30","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","AA/AO","Unknown","80","70","20990","21010"
"In post","2021","Cornwall and Isles of Scilly","AA/AO","White","580","520","20830","21010"
"In post","2021","Cornwall and Isles of Scilly","EO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","EO","Black","[c]","[c]","[c]","[c]"
