"Status","Year","Function_of_post","Age","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","16-19","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","16-19","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","16-19","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","16-19","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","16-19","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","16-19","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","16-19","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Camden and City of London","70","70","37560","36160"
"In post","2021","Analysis","20-29","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Central Hampshire","80","80","30900","28650"
"In post","2021","Analysis","20-29","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Leeds","50","50","34480","30730"
"In post","2021","Analysis","20-29","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Manchester","110","110","33840","31810"
"In post","2021","Analysis","20-29","Monmouthshire and Newport","350","350","31500","29540"
"In post","2021","Analysis","20-29","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Sheffield","30","30","[c]","[c]"
"In post","2021","Analysis","20-29","South Hampshire","150","150","32220","29540"
"In post","2021","Analysis","20-29","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Suffolk","50","50","[c]","[c]"
"In post","2021","Analysis","20-29","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","20-29","Tower Hamlets","210","210","38170","36160"
"In post","2021","Analysis","20-29","Tyneside","[c]","[c]","[c]","[c]"
