"Status","Year","Sex","Parent_department","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Attorney General's Departments","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Communications","60","60","44340","39750"
"In post","2021","Female","Attorney General's Departments","Counter Fraud","100","100","42940","34370"
"In post","2021","Female","Attorney General's Departments","Digital, Data & Technology","80","70","37550","35290"
"In post","2021","Female","Attorney General's Departments","Finance","80","70","34400","31010"
"In post","2021","Female","Attorney General's Departments","Human Resources","160","150","40560","34400"
"In post","2021","Female","Attorney General's Departments","Legal","5780","5220","43960","48080"
"In post","2021","Female","Attorney General's Departments","No function","40","40","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Attorney General's Departments","Unknown","40","30","[c]","[c]"
"In post","2021","Female","Cabinet Office","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","Commercial","670","650","66570","62250"
"In post","2021","Female","Cabinet Office","Communications","200","200","46520","42550"
"In post","2021","Female","Cabinet Office","Counter Fraud","50","40","[c]","[c]"
"In post","2021","Female","Cabinet Office","Digital, Data & Technology","420","410","49800","54700"
"In post","2021","Female","Cabinet Office","Finance","40","40","[c]","[c]"
"In post","2021","Female","Cabinet Office","Human Resources","740","690","39170","35590"
"In post","2021","Female","Cabinet Office","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cabinet Office","No function","2290","2260","39550","32000"
"In post","2021","Female","Cabinet Office","Project Delivery","90","90","63870","57840"
"In post","2021","Female","Cabinet Office","Property","50","50","47450","45150"
"In post","2021","Female","Cabinet Office","Security","460","430","32190","33000"
"In post","2021","Female","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","Analysis","70","60","64330","65470"
"In post","2021","Female","Chancellor's other departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","No function","60","60","48230","42600"
"In post","2021","Female","Chancellor's other departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","Property","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chancellor's other departments","Security","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Female","Charity Commission","No function","[c]","[c]","[c]","[c]"
