"Status","Year","Sex","Region_ITL1","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","East Midlands (England)","Asian","950","820","26710","25560"
"In post","2021","Female","East Midlands (England)","Black","310","280","26440","25420"
"In post","2021","Female","East Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Midlands (England)","Mixed","200","180","29260","27570"
"In post","2021","Female","East Midlands (England)","Other ethnicity","40","30","[c]","[c]"
"In post","2021","Female","East Midlands (England)","Undeclared","410","360","29320","27570"
"In post","2021","Female","East Midlands (England)","Unknown","1360","1240","26830","25260"
"In post","2021","Female","East Midlands (England)","White","8740","7820","29210","27380"
"In post","2021","Female","East of England","Asian","660","570","29220","27310"
"In post","2021","Female","East of England","Black","390","370","30030","29290"
"In post","2021","Female","East of England","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","East of England","Mixed","240","220","29680","27710"
"In post","2021","Female","East of England","Other ethnicity","70","70","32170","29290"
"In post","2021","Female","East of England","Undeclared","420","370","29820","27570"
"In post","2021","Female","East of England","Unknown","1000","920","29020","26300"
"In post","2021","Female","East of England","White","9370","8420","29690","27570"
"In post","2021","Female","London","Asian","8140","7500","36380","31520"
"In post","2021","Female","London","Black","6750","6450","34110","31060"
"In post","2021","Female","London","Chinese","350","340","44200","40070"
"In post","2021","Female","London","Mixed","2050","1960","39720","34760"
"In post","2021","Female","London","Other ethnicity","760","710","40270","34020"
"In post","2021","Female","London","Undeclared","2150","1990","39180","33600"
"In post","2021","Female","London","Unknown","8170","7880","41560","35050"
"In post","2021","Female","London","White","26900","25360","46090","40920"
"In post","2021","Female","North East (England)","Asian","220","190","26550","21440"
"In post","2021","Female","North East (England)","Black","70","70","25800","21430"
"In post","2021","Female","North East (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","North East (England)","Mixed","120","100","29100","27540"
"In post","2021","Female","North East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","North East (England)","Undeclared","430","360","27250","25220"
"In post","2021","Female","North East (England)","Unknown","2380","2070","24840","21440"
"In post","2021","Female","North East (England)","White","14790","12680","27600","25560"
"In post","2021","Female","North West (England)","Asian","1150","990","26920","25040"
"In post","2021","Female","North West (England)","Black","400","370","28310","26120"
"In post","2021","Female","North West (England)","Chinese","80","70","30180","25310"
"In post","2021","Female","North West (England)","Mixed","460","420","28050","25560"
"In post","2021","Female","North West (England)","Other ethnicity","80","70","29570","27470"
"In post","2021","Female","North West (England)","Undeclared","1020","890","28810","27380"
"In post","2021","Female","North West (England)","Unknown","3690","3370","27150","24620"
"In post","2021","Female","North West (England)","White","27250","24230","28900","27130"
"In post","2021","Female","Northern Ireland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland","Undeclared","40","30","[c]","[c]"
"In post","2021","Female","Northern Ireland","Unknown","280","260","25820","21440"
"In post","2021","Female","Northern Ireland","White","1420","1280","28930","25560"
"In post","2021","Female","Overseas","Asian","60","60","42680","34770"
"In post","2021","Female","Overseas","Black","40","40","[c]","[c]"
"In post","2021","Female","Overseas","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Overseas","Mixed","50","50","[c]","[c]"
"In post","2021","Female","Overseas","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Overseas","Undeclared","60","60","[c]","[c]"
"In post","2021","Female","Overseas","Unknown","290","290","50070","46620"
"In post","2021","Female","Overseas","White","980","980","50170","51500"
"In post","2021","Female","Scotland","Asian","270","250","29620","26160"
"In post","2021","Female","Scotland","Black","130","120","29020","27570"
"In post","2021","Female","Scotland","Chinese","30","30","[c]","[c]"
"In post","2021","Female","Scotland","Mixed","140","130","34590","29040"
"In post","2021","Female","Scotland","Other ethnicity","50","50","33830","28150"
"In post","2021","Female","Scotland","Undeclared","630","560","30350","27570"
"In post","2021","Female","Scotland","Unknown","5120","4670","29220","25870"
"In post","2021","Female","Scotland","White","19270","17290","31760","27570"
"In post","2021","Female","South East (England)","Asian","780","700","29500","27570"
"In post","2021","Female","South East (England)","Black","480","450","29860","28130"
"In post","2021","Female","South East (England)","Chinese","60","50","31470","29290"
"In post","2021","Female","South East (England)","Mixed","350","320","29780","27570"
"In post","2021","Female","South East (England)","Other ethnicity","110","100","28300","26670"
"In post","2021","Female","South East (England)","Undeclared","860","760","30750","27570"
"In post","2021","Female","South East (England)","Unknown","1960","1760","29200","26700"
"In post","2021","Female","South East (England)","White","16710","15060","30280","27570"
"In post","2021","Female","South West (England)","Asian","360","330","33080","27780"
"In post","2021","Female","South West (England)","Black","270","260","31130","28430"
"In post","2021","Female","South West (England)","Chinese","30","30","[c]","[c]"
"In post","2021","Female","South West (England)","Mixed","310","280","31480","27570"
"In post","2021","Female","South West (England)","Other ethnicity","80","70","29880","27130"
"In post","2021","Female","South West (England)","Undeclared","810","730","32890","30180"
"In post","2021","Female","South West (England)","Unknown","1840","1660","30380","26780"
"In post","2021","Female","South West (England)","White","17730","15990","32190","27610"
"In post","2021","Female","Unknown","Asian","110","90","28840","27570"
"In post","2021","Female","Unknown","Black","40","40","[c]","[c]"
"In post","2021","Female","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Unknown","470","470","34080","32000"
"In post","2021","Female","Unknown","White","530","490","33180","27570"
"In post","2021","Female","Wales","Asian","210","190","29870","25560"
"In post","2021","Female","Wales","Black","100","90","27600","25560"
"In post","2021","Female","Wales","Chinese","40","40","[c]","[c]"
"In post","2021","Female","Wales","Mixed","230","210","30100","27570"
"In post","2021","Female","Wales","Other ethnicity","40","40","[c]","[c]"
"In post","2021","Female","Wales","Undeclared","510","450","29890","26780"
"In post","2021","Female","Wales","Unknown","2300","2090","26810","23050"
"In post","2021","Female","Wales","White","17240","15260","29900","27130"
"In post","2021","Female","West Midlands (England)","Asian","2270","2030","27450","25560"
"In post","2021","Female","West Midlands (England)","Black","800","730","27730","26380"
"In post","2021","Female","West Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","West Midlands (England)","Mixed","340","310","28420","26670"
"In post","2021","Female","West Midlands (England)","Other ethnicity","80","80","29420","27570"
"In post","2021","Female","West Midlands (England)","Undeclared","620","540","29120","27570"
"In post","2021","Female","West Midlands (England)","Unknown","1920","1770","27870","25560"
"In post","2021","Female","West Midlands (England)","White","11440","10200","30040","27570"
"In post","2021","Female","Yorkshire and The Humber","Asian","1130","990","27320","25560"
"In post","2021","Female","Yorkshire and The Humber","Black","280","260","29140","27570"
"In post","2021","Female","Yorkshire and The Humber","Chinese","40","30","[c]","[c]"
"In post","2021","Female","Yorkshire and The Humber","Mixed","300","270","30550","27570"
