"Status","Year","Function_of_post","Sex","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Female","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Chancellor's other departments","70","60","64330","65470"
"In post","2021","Analysis","Female","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Competition and Markets Authority","60","50","57500","56360"
"In post","2021","Analysis","Female","Department for Business, Energy and Industrial Strategy","120","120","43070","35640"
"In post","2021","Analysis","Female","Department for Digital, Culture, Media and Sport","50","50","53780","59730"
"In post","2021","Analysis","Female","Department for Education","220","200","43850","42580"
"In post","2021","Analysis","Female","Department for Environment, Food and Rural Affairs","260","240","32170","29270"
"In post","2021","Analysis","Female","Department for International Trade","100","100","41910","38160"
"In post","2021","Analysis","Female","Department for Transport","210","190","44920","42890"
"In post","2021","Analysis","Female","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Department of Health and Social Care","150","130","52140","53360"
"In post","2021","Analysis","Female","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","HM Revenue and Customs","310","290","44340","38630"
"In post","2021","Analysis","Female","HM Treasury","50","50","57500","54170"
"In post","2021","Analysis","Female","Ministry of Defence","230","210","38680","37320"
"In post","2021","Analysis","Female","Ministry of Housing, Communities and Local Government","80","70","46550","42980"
"In post","2021","Analysis","Female","Ministry of Justice","200","190","45030","40480"
"In post","2021","Analysis","Female","Office for Standards in Education","80","80","40340","35010"
"In post","2021","Analysis","Female","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","United Kingdom Statistics Authority","910","850","36230","33020"
"In post","2021","Analysis","Female","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Chancellor's other departments","120","110","70090","59150"
"In post","2021","Analysis","Male","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Competition and Markets Authority","80","80","62080","56630"
"In post","2021","Analysis","Male","Department for Business, Energy and Industrial Strategy","210","210","44140","38570"
"In post","2021","Analysis","Male","Department for Digital, Culture, Media and Sport","90","90","51690","43280"
"In post","2021","Analysis","Male","Department for Education","190","190","44950","44430"
"In post","2021","Analysis","Male","Department for Environment, Food and Rural Affairs","330","320","35700","30400"
"In post","2021","Analysis","Male","Department for International Trade","150","150","44020","40330"
"In post","2021","Analysis","Male","Department for Transport","280","270","42850","39770"
"In post","2021","Analysis","Male","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Department of Health and Social Care","140","140","51970","53360"
"In post","2021","Analysis","Male","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Foreign, Commonwealth and Development Office","50","40","[c]","[c]"
"In post","2021","Analysis","Male","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","HM Revenue and Customs","380","380","44180","38630"
"In post","2021","Analysis","Male","HM Treasury","110","100","51590","52530"
"In post","2021","Analysis","Male","Ministry of Defence","430","410","41140","38500"
"In post","2021","Analysis","Male","Ministry of Housing, Communities and Local Government","130","130","46350","46240"
"In post","2021","Analysis","Male","Ministry of Justice","210","210","45320","40830"
"In post","2021","Analysis","Male","Office for Standards in Education","70","70","39160","35010"
"In post","2021","Analysis","Male","Office of Gas and Electricity Markets","50","50","[c]","[c]"
"In post","2021","Analysis","Male","Office of Rail and Road","30","30","[c]","[c]"
"In post","2021","Analysis","Male","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","United Kingdom Statistics Authority","750","740","38310","36030"
"In post","2021","Analysis","Male","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","United Kingdom Statistics Authority","40","30","[c]","[c]"
"In post","2021","Commercial","Female","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Cabinet Office","670","650","66570","62250"
"In post","2021","Commercial","Female","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Department for Business, Energy and Industrial Strategy","130","130","40940","39270"
"In post","2021","Commercial","Female","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Department for Education","110","100","40350","38000"
"In post","2021","Commercial","Female","Department for Environment, Food and Rural Affairs","130","120","35650","35900"
"In post","2021","Commercial","Female","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Department for Transport","110","100","32720","31040"
"In post","2021","Commercial","Female","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Department of Health and Social Care","130","130","45300","40650"
"In post","2021","Commercial","Female","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Foreign, Commonwealth and Development Office","110","110","39990","38500"
"In post","2021","Commercial","Female","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","HM Revenue and Customs","80","70","34640","31960"
"In post","2021","Commercial","Female","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Ministry of Defence","1010","960","34510","33300"
"In post","2021","Commercial","Female","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Ministry of Justice","580","560","41610","37970"
"In post","2021","Commercial","Female","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Other Cabinet Office Agencies","190","180","33620","33340"
"In post","2021","Commercial","Female","Scottish Government","40","40","[c]","[c]"
"In post","2021","Commercial","Female","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","UK Export Finance","60","60","45420","44080"
"In post","2021","Commercial","Female","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
