"Status","Year","Region_ITL3","Parent_department","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Attorney General's Departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Business, Energy and Industrial Strategy","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Business, Energy and Industrial Strategy","SEO/HEO","90","90","49740","41650"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Environment, Food and Rural Affairs","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Environment, Food and Rural Affairs","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Transport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Work and Pensions","AA/AO","70","60","20760","21010"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Work and Pensions","EO","190","170","27550","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Work and Pensions","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Work and Pensions","SEO/HEO","90","90","73730","87850"
"In post","2021","Aberdeen City and Aberdeenshire","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","HM Revenue and Customs","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","HM Revenue and Customs","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Home Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Home Office","EO","30","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Home Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Defence","AA/AO","90","90","37390","41570"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Defence","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Justice","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Government","AA/AO","340","310","23060","22430"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Government","EO","330","310","30380","29190"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Government","G6/G7","80","80","62110","61010"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Government","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Government","SEO/HEO","360","340","38810","38450"
"In post","2021","Angus and Dundee City","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Department for Work and Pensions","AA/AO","590","540","20930","21010"
"In post","2021","Angus and Dundee City","Department for Work and Pensions","EO","320","290","27490","27570"
"In post","2021","Angus and Dundee City","Department for Work and Pensions","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Department for Work and Pensions","SEO/HEO","50","40","[c]","[c]"
"In post","2021","Angus and Dundee City","HM Revenue and Customs","AA/AO","210","200","20600","20140"
"In post","2021","Angus and Dundee City","HM Revenue and Customs","EO","50","40","[c]","[c]"
"In post","2021","Angus and Dundee City","HM Revenue and Customs","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","HM Revenue and Customs","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Ministry of Defence","AA/AO","40","40","[c]","[c]"
"In post","2021","Angus and Dundee City","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Ministry of Defence","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Ministry of Defence","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Ministry of Justice","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Scottish Government","AA/AO","260","240","22080","22230"
"In post","2021","Angus and Dundee City","Scottish Government","EO","110","110","27890","28170"
"In post","2021","Angus and Dundee City","Scottish Government","G6/G7","60","60","62140","61010"
"In post","2021","Angus and Dundee City","Scottish Government","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Scottish Government","SEO/HEO","150","150","38580","36140"
"In post","2021","Antrim and Newtownabbey","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Department for Business, Energy and Industrial Strategy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Home Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Ministry of Defence","AA/AO","150","150","20680","20310"
"In post","2021","Antrim and Newtownabbey","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Ministry of Defence","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Ministry of Defence","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Department for Transport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Ministry of Defence","AA/AO","150","150","20920","20310"
"In post","2021","Ards and North Down","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Ministry of Defence","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Ministry of Defence","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Ministry of Defence","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Department for Work and Pensions","AA/AO","60","50","24610","25110"
"In post","2021","Barking & Dagenham and Havering","Department for Work and Pensions","EO","360","330","31050","31060"
"In post","2021","Barking & Dagenham and Havering","Department for Work and Pensions","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Department for Work and Pensions","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Ministry of Defence","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Ministry of Justice","AA/AO","60","50","22000","22450"
"In post","2021","Barking & Dagenham and Havering","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Ministry of Justice","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Ministry of Justice","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Ministry of Justice","Unknown","50","40","[c]","[c]"
"In post","2021","Barnet","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Department for Work and Pensions","AA/AO","50","40","[c]","[c]"
"In post","2021","Barnet","Department for Work and Pensions","EO","230","210","31140","31060"
"In post","2021","Barnet","Department for Work and Pensions","G6/G7","[c]","[c]","[c]","[c]"
