"Status","Year","Region_ITL2","Sexual_orientation","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Crown Prosecution Service","130","120","41700","40000"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Defence Equipment and Support","50","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Department for Work and Pensions (excl. agencies)","750","700","28830","29290"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Driver and Vehicle Standards Agency","80","70","30080","29460"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Health and Safety Executive","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","HM Courts and Tribunals Service","240","210","23550","21300"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","HM Prison and Probation Service","710","680","30470","30210"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Home Office (incl. agencies)","230","200","28770","26410"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Medicines and Healthcare Products Regulatory Agency","190","180","43530","40450"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Heterosexual / straight","Ministry of Defence (excl. agencies)","590","570","35970","33300"
