"Status","Year","Profession_of_post","Region_ITL1","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","East Midlands (England)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","40-49","40","30","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","50-59","50","50","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","30-39","60","60","36410","34800"
"In post","2021","Commercial","East of England","40-49","60","50","38760","37250"
"In post","2021","Commercial","East of England","50-59","90","80","44220","40670"
"In post","2021","Commercial","East of England","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","20-29","140","140","37910","35500"
"In post","2021","Commercial","London","30-39","190","180","46590","42470"
"In post","2021","Commercial","London","40-49","230","220","52470","47150"
"In post","2021","Commercial","London","50-59","250","240","49490","46250"
"In post","2021","Commercial","London","60-64","60","60","51980","44980"
"In post","2021","Commercial","London","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","40-49","40","30","[c]","[c]"
"In post","2021","Commercial","North East (England)","50-59","50","50","[c]","[c]"
"In post","2021","Commercial","North West (England)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","20-29","80","80","31250","29550"
"In post","2021","Commercial","North West (England)","30-39","140","140","36190","34800"
"In post","2021","Commercial","North West (England)","40-49","120","110","40330","38630"
"In post","2021","Commercial","North West (England)","50-59","140","140","42020","39970"
"In post","2021","Commercial","North West (England)","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","20-29","[c]","[c]","[c]","[c]"
