"Status","Year","Profession_of_post","Region_ITL3","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Antrim and Newtownabbey","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","390","380","40900","38710"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","710","680","38830","34770"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Property","30","30","[c]","[c]"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedford","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedford","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","Commercial","60","60","39430","38000"
"In post","2021","Commercial","Birmingham","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Blackpool","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bournemouth and Poole","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bradford","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Breckland and South Norfolk","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bridgend and Neath Port Talbot","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Brighton and Hove","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","Commercial","70","70","40190","39390"
"In post","2021","Commercial","Bristol, City of","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Buckinghamshire CC","Commercial","50","50","36230","36800"
"In post","2021","Commercial","Cambridgeshire CC","Commercial","50","50","36410","34800"
"In post","2021","Commercial","Cambridgeshire CC","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Camden and City of London","Security","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cardiff and Vale of Glamorgan","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cardiff and Vale of Glamorgan","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Central Bedfordshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Central Bedfordshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Central Hampshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Central Hampshire","Commercial","130","130","34750","34800"
"In post","2021","Commercial","Central Hampshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Central Valleys","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire East","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chorley and West Lancashire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","City of Edinburgh","Commercial","50","50","36660","34190"
"In post","2021","Commercial","Clackmannanshire and Fife","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Conwy and Denbighshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Coventry","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Coventry","No function","30","30","[c]","[c]"
"In post","2021","Commercial","Croydon","Commercial","110","100","44730","44250"
"In post","2021","Commercial","Croydon","Unknown","40","40","[c]","[c]"
"In post","2021","Commercial","Darlington","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Darlington","No function","30","30","[c]","[c]"
"In post","2021","Commercial","Derby","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon CC","Commercial","200","190","42960","40140"
"In post","2021","Commercial","Dorset CC","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dudley","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Durham CC","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Durham CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Cumbria","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Cumbria","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Kent","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Kent","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Lancashire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Merseyside","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Riding of Yorkshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Surrey","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Sussex CC","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Sussex CC","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Enfield","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex Haven Gateway","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Falkirk","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Flintshire and Wrexham","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Glasgow City","Commercial","90","90","35010","33300"
"In post","2021","Commercial","Gloucestershire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester North East","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester North West","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester South East","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester South West","Commercial","60","60","40360","38630"
"In post","2021","Commercial","Greater Manchester South West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hackney and Newham","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Haringey and Islington","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Harrow and Hillingdon","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Harrow and Hillingdon","Communications","[c]","[c]","[c]","[c]"
