"Status","Year","Responsibility_level","Age","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","16-19","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","Department for Transport","40","30","[c]","[c]"
"In post","2021","AA/AO","16-19","Department for Work and Pensions","160","160","21220","21010"
"In post","2021","AA/AO","16-19","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","HM Revenue and Customs","220","210","20250","20140"
"In post","2021","AA/AO","16-19","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","Home Office","70","60","21560","21430"
"In post","2021","AA/AO","16-19","Ministry of Defence","80","80","19100","19560"
"In post","2021","AA/AO","16-19","Ministry of Justice","130","130","21610","20600"
"In post","2021","AA/AO","16-19","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","Scottish Government","100","100","20980","21150"
"In post","2021","AA/AO","16-19","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","20-29","Attorney General's Departments","450","440","21700","21950"
"In post","2021","AA/AO","20-29","Cabinet Office","180","180","22270","20920"
"In post","2021","AA/AO","20-29","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","20-29","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","20-29","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","20-29","Department for Business, Energy and Industrial Strategy","360","360","21690","20880"
"In post","2021","AA/AO","20-29","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","20-29","Department for Education","30","30","[c]","[c]"
"In post","2021","AA/AO","20-29","Department for Environment, Food and Rural Affairs","440","430","21550","21050"
"In post","2021","AA/AO","20-29","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","20-29","Department for Transport","880","840","21620","21590"
"In post","2021","AA/AO","20-29","Department for Work and Pensions","3650","3550","21440","21010"
"In post","2021","AA/AO","20-29","Department of Health and Social Care","420","380","20990","19630"
"In post","2021","AA/AO","20-29","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","20-29","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","20-29","Foreign, Commonwealth and Development Office","180","180","25360","24750"
"In post","2021","AA/AO","20-29","HM Land Registry","690","680","22440","22350"
"In post","2021","AA/AO","20-29","HM Revenue and Customs","4160","3990","20280","20140"
"In post","2021","AA/AO","20-29","HM Treasury","40","40","[c]","[c]"
"In post","2021","AA/AO","20-29","Home Office","1760","1660","21780","21430"
"In post","2021","AA/AO","20-29","Ministry of Defence","1710","1690","22560","20920"
"In post","2021","AA/AO","20-29","Ministry of Housing, Communities and Local Government","70","60","22260","21270"
"In post","2021","AA/AO","20-29","Ministry of Justice","9100","8980","24360","23970"
"In post","2021","AA/AO","20-29","National Crime Agency","100","100","22340","20800"
"In post","2021","AA/AO","20-29","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","20-29","Office for Standards in Education","50","50","[c]","[c]"
"In post","2021","AA/AO","20-29","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"In post","2021","AA/AO","20-29","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","20-29","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","20-29","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","20-29","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","20-29","Scottish Government","1550","1510","22280","22220"
"In post","2021","AA/AO","20-29","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","20-29","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","20-29","United Kingdom Statistics Authority","200","180","19310","19130"
"In post","2021","AA/AO","20-29","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","20-29","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","20-29","Welsh Government","300","290","22760","23830"
"In post","2021","AA/AO","30-39","Attorney General's Departments","200","180","22310","21950"
"In post","2021","AA/AO","30-39","Cabinet Office","90","80","21260","20800"
"In post","2021","AA/AO","30-39","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","30-39","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","30-39","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","30-39","Department for Business, Energy and Industrial Strategy","280","260","21410","20880"
"In post","2021","AA/AO","30-39","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","30-39","Department for Environment, Food and Rural Affairs","370","330","21290","21050"
"In post","2021","AA/AO","30-39","Department for Transport","1400","1210","21380","21590"
"In post","2021","AA/AO","30-39","Department for Work and Pensions","4380","3780","21210","21010"
"In post","2021","AA/AO","30-39","Department of Health and Social Care","170","150","21300","21570"
"In post","2021","AA/AO","30-39","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","30-39","Food Standards Agency","[c]","[c]","[c]","[c]"
