"Status","Year","Organisation","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Declared non-disabled","Unknown","70","60","32520","29190"
"In post","2021","Accountant in Bankruptcy","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared disabled","Operational Delivery","90","90","30250","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared non-disabled","Operational Delivery","180","170","31290","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Operational Delivery","620","570","31780","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Declared disabled","Operational Delivery","210","190","25900","24920"
"In post","2021","Animal and Plant Health Agency","Declared disabled","Other","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Declared disabled","Science and Engineering","110","110","30120","28270"
"In post","2021","Animal and Plant Health Agency","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Declared non-disabled","Operational Delivery","1160","1100","27310","25100"
"In post","2021","Animal and Plant Health Agency","Declared non-disabled","Other","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Declared non-disabled","Science and Engineering","480","450","32260","28550"
"In post","2021","Animal and Plant Health Agency","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Declared non-disabled","Veterinarian","280","270","44410","40950"
"In post","2021","Animal and Plant Health Agency","Undeclared","Operational Delivery","90","80","27280","25520"
"In post","2021","Animal and Plant Health Agency","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","Science and Engineering","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Operational Delivery","120","110","26470","25190"
"In post","2021","Animal and Plant Health Agency","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Veterinarian","40","30","[c]","[c]"
"In post","2021","Attorney General's Office","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Declared disabled","Other","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Declared non-disabled","Other","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Declared disabled","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Declared disabled","Unknown","700","680","44020","38420"
"In post","2021","Cabinet Office (excl. agencies)","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Declared non-disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Declared non-disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Declared non-disabled","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Declared non-disabled","Unknown","4420","4320","49080","42210"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Undeclared","Unknown","280","270","44480","38830"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Unknown","3940","3900","44630","32000"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared disabled","Other","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared non-disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared non-disabled","Operational Delivery","40","40","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared non-disabled","Other","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Declared non-disabled","Science and Engineering","300","290","32190","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Science and Engineering","150","140","37560","35900"
"In post","2021","Charity Commission","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Declared disabled","Other","[c]","[c]","[c]","[c]"
