"Status","Year","Region_ITL1","Ethnicity","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Asian","AA/AO","730","630","20730","20640"
"In post","2021","East Midlands (England)","Asian","EO","520","480","26700","27570"
"In post","2021","East Midlands (England)","Asian","G6/G7","80","70","55200","52580"
"In post","2021","East Midlands (England)","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","SEO/HEO","310","290","34130","31830"
"In post","2021","East Midlands (England)","Asian","Unknown","70","60","29420","28200"
"In post","2021","East Midlands (England)","Black","AA/AO","210","190","21610","21010"
"In post","2021","East Midlands (England)","Black","EO","160","150","26820","27570"
"In post","2021","East Midlands (England)","Black","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","SEO/HEO","80","70","35140","32730"
"In post","2021","East Midlands (England)","Black","Unknown","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","AA/AO","120","110","22020","21010"
"In post","2021","East Midlands (England)","Mixed","EO","110","100","26790","27570"
"In post","2021","East Midlands (England)","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","SEO/HEO","70","60","35920","35790"
"In post","2021","East Midlands (England)","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","AA/AO","290","260","21790","21010"
"In post","2021","East Midlands (England)","Undeclared","EO","280","250","27180","27570"
