"Status","Year","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Buckinghamshire CC","LGBO","70","60","29740","27850"
"In post","2021","Buckinghamshire CC","Undeclared","160","150","31560","31250"
"In post","2021","Buckinghamshire CC","Unknown","210","190","32900","29920"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Heterosexual / straight","110","110","29690","27570"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Caithness and Sutherland and Ross and Cromarty","Unknown","80","70","28520","27570"
"In post","2021","Calderdale and Kirklees","Heterosexual / straight","690","610","27310","27570"
"In post","2021","Calderdale and Kirklees","LGBO","40","40","[c]","[c]"
"In post","2021","Calderdale and Kirklees","Undeclared","100","90","27260","27570"
"In post","2021","Calderdale and Kirklees","Unknown","240","200","26080","27570"
"In post","2021","Cambridgeshire CC","Heterosexual / straight","2380","2260","34390","31290"
"In post","2021","Cambridgeshire CC","LGBO","110","110","29190","27570"
"In post","2021","Cambridgeshire CC","Undeclared","360","350","34910","33170"
"In post","2021","Cambridgeshire CC","Unknown","520","480","32490","30450"
"In post","2021","Camden and City of London","Heterosexual / straight","2170","2080","38020","32510"
"In post","2021","Camden and City of London","LGBO","130","120","38960","36160"
"In post","2021","Camden and City of London","Undeclared","410","390","38220","35200"
"In post","2021","Camden and City of London","Unknown","940","890","38770","32520"
"In post","2021","Cardiff and Vale of Glamorgan","Heterosexual / straight","8110","7580","34240","28850"
"In post","2021","Cardiff and Vale of Glamorgan","LGBO","560","540","31850","27570"
"In post","2021","Cardiff and Vale of Glamorgan","Undeclared","1020","950","35320","30480"
"In post","2021","Cardiff and Vale of Glamorgan","Unknown","2380","2190","27800","25560"
"In post","2021","Causeway Coast and Glens","Heterosexual / straight","50","50","20870","20310"
