"Status","Year","Region_ITL2","Organisation","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Animal and Plant Health Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Animal and Plant Health Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Animal and Plant Health Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Cabinet Office (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Cabinet Office (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Crown Prosecution Service","AA/AO","40","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Crown Prosecution Service","EO","40","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Crown Prosecution Service","G6/G7","80","70","59050","61510"
"In post","2021","Bedfordshire and Hertfordshire","Crown Prosecution Service","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Crown Prosecution Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Defence Equipment and Support","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Defence Equipment and Support","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Defence Equipment and Support","SEO/HEO","50","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Education (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Education (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Education (excl. agencies)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Education (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Work and Pensions (excl. agencies)","AA/AO","200","170","23240","24180"
"In post","2021","Bedfordshire and Hertfordshire","Department for Work and Pensions (excl. agencies)","EO","820","750","29210","29290"
"In post","2021","Bedfordshire and Hertfordshire","Department for Work and Pensions (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Department for Work and Pensions (excl. agencies)","SEO/HEO","90","90","36640","35960"
"In post","2021","Bedfordshire and Hertfordshire","Driver and Vehicle Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Driver and Vehicle Standards Agency","EO","80","80","29060","26780"
"In post","2021","Bedfordshire and Hertfordshire","Driver and Vehicle Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Driver and Vehicle Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Health and Safety Executive","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Health and Safety Executive","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Health and Safety Executive","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Health and Safety Executive","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Health and Safety Executive","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","HM Courts and Tribunals Service","AA/AO","210","180","20020","20100"
"In post","2021","Bedfordshire and Hertfordshire","HM Courts and Tribunals Service","EO","60","50","24460","24440"
"In post","2021","Bedfordshire and Hertfordshire","HM Courts and Tribunals Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","HM Courts and Tribunals Service","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","HM Courts and Tribunals Service","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","HM Prison and Probation Service","AA/AO","510","500","27960","29400"
"In post","2021","Bedfordshire and Hertfordshire","HM Prison and Probation Service","EO","100","100","30330","30680"
"In post","2021","Bedfordshire and Hertfordshire","HM Prison and Probation Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","HM Prison and Probation Service","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","HM Prison and Probation Service","SEO/HEO","90","90","39960","38160"
"In post","2021","Bedfordshire and Hertfordshire","HM Prison and Probation Service","Unknown","290","270","27970","24020"
"In post","2021","Bedfordshire and Hertfordshire","HM Revenue and Customs (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","HM Revenue and Customs (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","HM Revenue and Customs (excl. agencies)","G6/G7","[c]","[c]","[c]","[c]"
