"Status","Year","Region_ITL2","Responsibility_level","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Legal","40","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","No function","760","710","25670","25720"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Security","60","60","21490","22650"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Unknown","350","320","22700","22430"
"In post","2021","Bedfordshire and Hertfordshire","EO","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","EO","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","EO","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","EO","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","EO","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","EO","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","EO","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","EO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","EO","Legal","40","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","EO","No function","300","290","29440","27660"
"In post","2021","Bedfordshire and Hertfordshire","EO","Project Delivery","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","EO","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","EO","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","EO","Unknown","1120","1020","28900","29290"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Commercial","[c]","[c]","[c]","[c]"
