"Status","Year","Ethnicity","Sex","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Female","East Midlands (England)","950","820","26710","25560"
"In post","2021","Asian","Female","East of England","660","570","29220","27310"
"In post","2021","Asian","Female","London","8140","7500","36380","31520"
"In post","2021","Asian","Female","North East (England)","220","190","26550","21440"
"In post","2021","Asian","Female","North West (England)","1150","990","26920","25040"
"In post","2021","Asian","Female","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Female","Overseas","60","60","42680","34770"
"In post","2021","Asian","Female","Scotland","270","250","29620","26160"
"In post","2021","Asian","Female","South East (England)","780","700","29500","27570"
"In post","2021","Asian","Female","South West (England)","360","330","33080","27780"
"In post","2021","Asian","Female","Unknown","110","90","28840","27570"
"In post","2021","Asian","Female","Wales","210","190","29870","25560"
"In post","2021","Asian","Female","West Midlands (England)","2270","2030","27450","25560"
"In post","2021","Asian","Female","Yorkshire and The Humber","1130","990","27320","25560"
"In post","2021","Asian","Male","East Midlands (England)","750","710","27440","25560"
"In post","2021","Asian","Male","East of England","470","450","31950","28080"
"In post","2021","Asian","Male","London","5420","5300","38030","32790"
"In post","2021","Asian","Male","North East (England)","180","170","29350","25560"
"In post","2021","Asian","Male","North West (England)","1420","1380","28280","26000"
"In post","2021","Asian","Male","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Male","Overseas","90","90","48870","45910"
"In post","2021","Asian","Male","Scotland","230","230","34650","27570"
"In post","2021","Asian","Male","South East (England)","600","570","31190","28400"
"In post","2021","Asian","Male","South West (England)","420","410","35370","32650"
"In post","2021","Asian","Male","Unknown","60","60","31140","27570"
"In post","2021","Asian","Male","Wales","220","210","30430","25560"
"In post","2021","Asian","Male","West Midlands (England)","1800","1760","28290","26560"
"In post","2021","Asian","Male","Yorkshire and The Humber","1180","1140","28750","27570"
"In post","2021","Black","Female","East Midlands (England)","310","280","26440","25420"
"In post","2021","Black","Female","East of England","390","370","30030","29290"
"In post","2021","Black","Female","London","6750","6450","34110","31060"
"In post","2021","Black","Female","North East (England)","70","70","25800","21430"
"In post","2021","Black","Female","North West (England)","400","370","28310","26120"
"In post","2021","Black","Female","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Female","Overseas","40","40","[c]","[c]"
"In post","2021","Black","Female","Scotland","130","120","29020","27570"
"In post","2021","Black","Female","South East (England)","480","450","29860","28130"
"In post","2021","Black","Female","South West (England)","270","260","31130","28430"
"In post","2021","Black","Female","Unknown","40","40","[c]","[c]"
"In post","2021","Black","Female","Wales","100","90","27600","25560"
"In post","2021","Black","Female","West Midlands (England)","800","730","27730","26380"
"In post","2021","Black","Female","Yorkshire and The Humber","280","260","29140","27570"
"In post","2021","Black","Male","East Midlands (England)","200","190","28260","27570"
"In post","2021","Black","Male","East of England","210","200","31990","29290"
"In post","2021","Black","Male","London","3220","3170","35480","31880"
"In post","2021","Black","Male","North East (England)","70","70","29490","25960"
"In post","2021","Black","Male","North West (England)","320","310","28870","27570"
"In post","2021","Black","Male","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Overseas","30","30","[c]","[c]"
"In post","2021","Black","Male","Scotland","110","110","35610","30790"
"In post","2021","Black","Male","South East (England)","370","360","31140","29290"
"In post","2021","Black","Male","South West (England)","270","260","33900","32780"
"In post","2021","Black","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Male","Wales","90","90","29930","27570"
"In post","2021","Black","Male","West Midlands (England)","400","390","29190","27570"
"In post","2021","Black","Male","Yorkshire and The Humber","240","230","29380","27570"
"In post","2021","Black","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Female","London","350","340","44200","40070"
"In post","2021","Chinese","Female","North East (England)","[c]","[c]","[c]","[c]"
