"Status","Year","Sex","Function_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","30","30","[c]","[c]"
"In post","2021","Female","Analysis","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Bristol, City of","80","70","38750","33520"
"In post","2021","Female","Analysis","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Camden and City of London","80","70","67370","65470"
"In post","2021","Female","Analysis","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Central Hampshire","90","80","38040","37320"
"In post","2021","Female","Analysis","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","Dorset CC","50","50","30320","29270"
"In post","2021","Female","Analysis","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Female","Analysis","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
