"Status","Year","Organisation","Function_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Office","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","G6/G7","800","780","63320","56920"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","SCS","480","470","93150","74000"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","SEO/HEO","110","110","38140","38420"
"In post","2021","Cabinet Office (excl. agencies)","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","EO","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","G6/G7","120","120","59330","56610"
"In post","2021","Cabinet Office (excl. agencies)","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","SEO/HEO","150","150","38750","39370"
"In post","2021","Cabinet Office (excl. agencies)","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Counter Fraud","G6/G7","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Counter Fraud","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data & Technology","EO","60","60","27450","27500"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data & Technology","G6/G7","600","590","58330","56340"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data & Technology","SCS","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data & Technology","SEO/HEO","270","270","37100","35590"
"In post","2021","Cabinet Office (excl. agencies)","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","G6/G7","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","AA/AO","170","150","21010","20800"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","EO","220","210","26240","25760"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","G6/G7","270","260","57550","56520"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","SCS","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","SEO/HEO","420","410","36270","36310"
"In post","2021","Cabinet Office (excl. agencies)","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Legal","SCS","50","50","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","No function","AA/AO","110","110","24160","24490"
"In post","2021","Cabinet Office (excl. agencies)","No function","EO","340","330","27940","27500"
"In post","2021","Cabinet Office (excl. agencies)","No function","G6/G7","950","930","58240","54700"
"In post","2021","Cabinet Office (excl. agencies)","No function","SCS","250","250","86750","77000"
"In post","2021","Cabinet Office (excl. agencies)","No function","SEO/HEO","2530","2520","31970","32000"
"In post","2021","Cabinet Office (excl. agencies)","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Project Delivery","G6/G7","70","70","60190","58940"
"In post","2021","Cabinet Office (excl. agencies)","Project Delivery","SCS","70","70","109830","108390"
"In post","2021","Cabinet Office (excl. agencies)","Project Delivery","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Property","G6/G7","50","50","56400","54700"
"In post","2021","Cabinet Office (excl. agencies)","Property","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Property","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Security","AA/AO","240","220","20930","20920"
"In post","2021","Cabinet Office (excl. agencies)","Security","EO","140","140","26580","26670"
"In post","2021","Cabinet Office (excl. agencies)","Security","G6/G7","90","80","58620","54700"
"In post","2021","Cabinet Office (excl. agencies)","Security","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Security","SEO/HEO","390","370","35290","33630"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Analysis","AA/AO","40","40","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Analysis","EO","90","90","25060","24920"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Analysis","G6/G7","90","80","51850","48080"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Analysis","SEO/HEO","260","240","32850","30220"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","No function","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","No function","EO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","No function","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","No function","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data & Technology","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Charity Commission","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","No function","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","No function","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","EO","80","70","24740","24440"
"In post","2021","Charity Commission","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","SEO/HEO","130","120","31960","29400"
"In post","2021","Companies House","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Digital, Data & Technology","EO","80","80","32490","32900"
"In post","2021","Companies House","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Digital, Data & Technology","SEO/HEO","160","150","40440","40010"
"In post","2021","Companies House","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Human Resources","EO","30","30","[c]","[c]"
"In post","2021","Companies House","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","No function","AA/AO","380","330","21730","22490"
"In post","2021","Companies House","No function","EO","150","140","26100","25460"
"In post","2021","Companies House","No function","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","No function","SEO/HEO","60","60","35880","36240"
"In post","2021","Companies House","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Analysis","G6/G7","80","70","65500","61590"
"In post","2021","Competition and Markets Authority","Analysis","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Analysis","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","G6/G7","110","110","67860","72430"
"In post","2021","Competition and Markets Authority","Legal","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","EO","40","40","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","G6/G7","180","170","66220","62890"
"In post","2021","Competition and Markets Authority","Project Delivery","SCS","60","60","110090","102030"
"In post","2021","Competition and Markets Authority","Project Delivery","SEO/HEO","80","70","36250","34870"
"In post","2021","Competition and Markets Authority","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Property","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","No function","AA/AO","110","100","20260","20650"
"In post","2021","Criminal Injuries Compensation Authority","No function","EO","80","80","23340","22710"
"In post","2021","Criminal Injuries Compensation Authority","No function","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","No function","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","No function","SEO/HEO","80","80","28960","27160"
"In post","2021","Crown Commercial Service","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Commercial","EO","60","50","23490","22400"
"In post","2021","Crown Commercial Service","Commercial","G6/G7","40","40","[c]","[c]"
"In post","2021","Crown Commercial Service","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Commercial","SEO/HEO","270","260","33250","34800"
"In post","2021","Crown Commercial Service","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Digital, Data & Technology","G6/G7","40","40","[c]","[c]"
"In post","2021","Crown Commercial Service","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Digital, Data & Technology","SEO/HEO","50","50","33170","34800"
"In post","2021","Crown Commercial Service","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Finance","G6/G7","[c]","[c]","[c]","[c]"
