"Status","Year","Organisation","Function_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Unknown","AA/AO","30","30","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","EO","40","40","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Unknown","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","SEO/HEO","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","No function","AA/AO","50","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","No function","EO","320","300","24870","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","No function","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","No function","SEO/HEO","470","430","34750","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","No function","AA/AO","780","730","21880","21050"
"In post","2021","Animal and Plant Health Agency","No function","EO","740","700","26600","25750"
"In post","2021","Animal and Plant Health Agency","No function","G6/G7","200","190","55240","54350"
"In post","2021","Animal and Plant Health Agency","No function","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","No function","SEO/HEO","820","780","36270","36180"
"In post","2021","Animal and Plant Health Agency","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","EO","[c]","[c]","[c]","[c]"
