"Status","Year","Disability","Responsibility_level","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","AA/AO","Aberdeen City and Aberdeenshire","40","40","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Angus and Dundee City","180","160","21140","21010"
"In post","2021","Declared disabled","AA/AO","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Barnet","30","30","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Barnsley, Doncaster and Rotherham","180","160","22010","21010"
"In post","2021","Declared disabled","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","70","60","22740","21010"
"In post","2021","Declared disabled","AA/AO","Bedford","30","30","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Belfast","90","80","20810","21400"
"In post","2021","Declared disabled","AA/AO","Berkshire","100","90","27240","25110"
"In post","2021","Declared disabled","AA/AO","Bexley and Greenwich","70","60","26750","24440"
"In post","2021","Declared disabled","AA/AO","Birmingham","400","350","20950","20230"
"In post","2021","Declared disabled","AA/AO","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Blackpool","300","260","20840","21010"
"In post","2021","Declared disabled","AA/AO","Bournemouth and Poole","30","30","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Bradford","160","120","20540","21010"
"In post","2021","Declared disabled","AA/AO","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Brent","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Bridgend and Neath Port Talbot","40","30","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Bristol, City of","180","170","21170","21010"
"In post","2021","Declared disabled","AA/AO","Bromley","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Buckinghamshire CC","70","60","24790","23130"
"In post","2021","Declared disabled","AA/AO","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Calderdale and Kirklees","40","30","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Cambridgeshire CC","100","90","25090","23240"
"In post","2021","Declared disabled","AA/AO","Camden and City of London","100","90","23160","23500"
"In post","2021","Declared disabled","AA/AO","Cardiff and Vale of Glamorgan","340","300","21170","21010"
"In post","2021","Declared disabled","AA/AO","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Central Hampshire","80","80","22450","20920"
"In post","2021","Declared disabled","AA/AO","Central Valleys","50","50","21130","21010"
"In post","2021","Declared disabled","AA/AO","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Chorley and West Lancashire","60","60","25760","25400"
"In post","2021","Declared disabled","AA/AO","City of Edinburgh","240","230","22410","22230"
"In post","2021","Declared disabled","AA/AO","Clackmannanshire and Fife","40","30","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Cornwall and Isles of Scilly","90","80","20810","21010"
"In post","2021","Declared disabled","AA/AO","Coventry","30","30","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Croydon","180","160","24600","25630"
"In post","2021","Declared disabled","AA/AO","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Derby","80","70","20600","21010"
"In post","2021","Declared disabled","AA/AO","Derry City and Strabane","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Devon CC","240","200","22010","21010"
"In post","2021","Declared disabled","AA/AO","Dorset CC","100","90","24100","22350"
"In post","2021","Declared disabled","AA/AO","Dudley","80","70","20710","21010"
"In post","2021","Declared disabled","AA/AO","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Durham CC","290","250","22330","21430"
"In post","2021","Declared disabled","AA/AO","Ealing","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","East Cumbria","40","30","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","80","70","25090","21010"
"In post","2021","Declared disabled","AA/AO","East Kent","140","120","22910","24180"
"In post","2021","Declared disabled","AA/AO","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","East Merseyside","50","40","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","East Riding of Yorkshire","70","60","24300","21580"
"In post","2021","Declared disabled","AA/AO","East Surrey","40","40","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","East Sussex CC","120","100","21030","21010"
"In post","2021","Declared disabled","AA/AO","Enfield","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Essex Haven Gateway","40","30","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Essex Thames Gateway","70","60","23780","24180"
"In post","2021","Declared disabled","AA/AO","Falkirk","80","70","21360","21010"
"In post","2021","Declared disabled","AA/AO","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Flintshire and Wrexham","90","70","21380","21010"
"In post","2021","Declared disabled","AA/AO","Glasgow City","480","420","20920","21010"
"In post","2021","Declared disabled","AA/AO","Gloucestershire","50","40","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Greater Manchester North East","40","40","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Greater Manchester North West","150","130","21140","21010"
"In post","2021","Declared disabled","AA/AO","Greater Manchester South East","90","80","20770","21010"
"In post","2021","Declared disabled","AA/AO","Greater Manchester South West","160","140","20560","20650"
"In post","2021","Declared disabled","AA/AO","Gwent Valleys","50","40","20650","21010"
"In post","2021","Declared disabled","AA/AO","Gwynedd","50","40","21070","21010"
"In post","2021","Declared disabled","AA/AO","Hackney and Newham","140","120","24310","25110"
"In post","2021","Declared disabled","AA/AO","Haringey and Islington","60","60","28350","25450"
"In post","2021","Declared disabled","AA/AO","Harrow and Hillingdon","60","60","25460","25630"
"In post","2021","Declared disabled","AA/AO","Hartlepool and Stockton-on-Tees","110","90","23380","21010"
"In post","2021","Declared disabled","AA/AO","Heart of Essex","40","30","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Hertfordshire","70","60","23990","24180"
"In post","2021","Declared disabled","AA/AO","Hounslow and Richmond upon Thames","90","90","26140","24660"
"In post","2021","Declared disabled","AA/AO","Inverclyde, East Renfrewshire and Renfrewshire","30","30","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Inverness and Nairn and Moray, Badenoch and Strathspey","40","30","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Isle of Wight","60","60","22890","21550"
"In post","2021","Declared disabled","AA/AO","Kensington & Chelsea and Hammersmith & Fulham","30","30","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Kent Thames Gateway","100","90","25910","24180"
"In post","2021","Declared disabled","AA/AO","Kingston upon Hull, City of","100","80","21910","21010"
"In post","2021","Declared disabled","AA/AO","Lambeth","40","40","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Lancaster and Wyre","40","40","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Leeds","260","230","21700","21010"
"In post","2021","Declared disabled","AA/AO","Leicester","160","140","20650","20180"
"In post","2021","Declared disabled","AA/AO","Leicestershire CC and Rutland","90","80","22550","21010"
"In post","2021","Declared disabled","AA/AO","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Lincolnshire","150","140","21760","21010"
"In post","2021","Declared disabled","AA/AO","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Liverpool","410","350","21310","21430"
"In post","2021","Declared disabled","AA/AO","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Luton","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Manchester","220","200","21360","21010"
"In post","2021","Declared disabled","AA/AO","Medway","50","50","23030","21710"
"In post","2021","Declared disabled","AA/AO","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Mid Kent","40","30","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Mid Lancashire","370","320","21330","21010"
"In post","2021","Declared disabled","AA/AO","Milton Keynes","80","70","24440","23290"
"In post","2021","Declared disabled","AA/AO","Monmouthshire and Newport","90","80","20530","19830"
"In post","2021","Declared disabled","AA/AO","Na h-Eileanan Siar","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","North and West Norfolk","50","50","24850","21650"
"In post","2021","Declared disabled","AA/AO","North Hampshire","30","30","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","North Lanarkshire","160","120","20930","21010"
"In post","2021","Declared disabled","AA/AO","North Northamptonshire","40","30","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","North Nottinghamshire","30","30","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","North Yorkshire CC","60","60","22080","20920"
"In post","2021","Declared disabled","AA/AO","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Norwich and East Norfolk","70","60","21690","21010"
"In post","2021","Declared disabled","AA/AO","Nottingham","240","210","21260","20600"
"In post","2021","Declared disabled","AA/AO","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Oxfordshire","100","90","23880","21580"
"In post","2021","Declared disabled","AA/AO","Perth and Kinross and Stirling","40","30","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Peterborough","90","80","20670","21090"
"In post","2021","Declared disabled","AA/AO","Plymouth","100","90","21690","21010"
"In post","2021","Declared disabled","AA/AO","Portsmouth","160","140","21800","20920"
"In post","2021","Declared disabled","AA/AO","Powys","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Redbridge and Waltham Forest","50","50","23700","25110"
"In post","2021","Declared disabled","AA/AO","Sandwell","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Sefton","260","210","20650","21010"
"In post","2021","Declared disabled","AA/AO","Sheffield","200","170","20820","21010"
"In post","2021","Declared disabled","AA/AO","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Shropshire CC","40","40","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Solihull","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Somerset","70","60","20720","21010"
"In post","2021","Declared disabled","AA/AO","South and West Derbyshire","40","30","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","South Ayrshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","South Hampshire","150","100","19860","19520"
"In post","2021","Declared disabled","AA/AO","South Lanarkshire","110","90","20780","20640"
"In post","2021","Declared disabled","AA/AO","South Nottinghamshire","40","40","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","South Teesside","90","80","20380","21010"
"In post","2021","Declared disabled","AA/AO","South West Wales","60","50","21450","21010"
"In post","2021","Declared disabled","AA/AO","Southampton","40","40","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Southend-on-Sea","50","40","21530","21440"
