"Status","Year","Sex","Responsibility_level","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","AA/AO","Aberdeen City and Aberdeenshire","290","260","22740","22160"
"In post","2021","Female","AA/AO","Angus and Dundee City","640","560","21160","21010"
"In post","2021","Female","AA/AO","Antrim and Newtownabbey","40","40","[c]","[c]"
"In post","2021","Female","AA/AO","Ards and North Down","30","30","[c]","[c]"
"In post","2021","Female","AA/AO","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","Female","AA/AO","Barking & Dagenham and Havering","80","70","23040","22910"
"In post","2021","Female","AA/AO","Barnet","200","170","23990","23530"
"In post","2021","Female","AA/AO","Barnsley, Doncaster and Rotherham","870","730","21660","21010"
"In post","2021","Female","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","440","390","22680","21130"
"In post","2021","Female","AA/AO","Bedford","160","140","24550","22160"
"In post","2021","Female","AA/AO","Belfast","510","430","20740","20140"
"In post","2021","Female","AA/AO","Berkshire","350","310","23250","22080"
"In post","2021","Female","AA/AO","Bexley and Greenwich","420","400","26700","24890"
"In post","2021","Female","AA/AO","Birmingham","2120","1840","20770","20180"
"In post","2021","Female","AA/AO","Blackburn with Darwen","100","80","20480","21010"
"In post","2021","Female","AA/AO","Blackpool","1110","950","20790","21010"
"In post","2021","Female","AA/AO","Bournemouth and Poole","100","90","19990","20100"
"In post","2021","Female","AA/AO","Bradford","800","620","20460","20140"
"In post","2021","Female","AA/AO","Breckland and South Norfolk","120","110","23340","22850"
"In post","2021","Female","AA/AO","Brent","120","100","23460","23500"
"In post","2021","Female","AA/AO","Bridgend and Neath Port Talbot","180","150","20470","21010"
"In post","2021","Female","AA/AO","Brighton and Hove","90","80","20700","20650"
"In post","2021","Female","AA/AO","Bristol, City of","770","670","21170","21010"
"In post","2021","Female","AA/AO","Bromley","100","90","22380","22450"
"In post","2021","Female","AA/AO","Buckinghamshire CC","320","300","23970","22920"
"In post","2021","Female","AA/AO","Caithness and Sutherland and Ross and Cromarty","50","40","[c]","[c]"
"In post","2021","Female","AA/AO","Calderdale and Kirklees","160","120","20490","21010"
"In post","2021","Female","AA/AO","Cambridgeshire CC","510","460","23050","21570"
"In post","2021","Female","AA/AO","Camden and City of London","480","440","23180","22680"
"In post","2021","Female","AA/AO","Cardiff and Vale of Glamorgan","1890","1610","21190","21010"
"In post","2021","Female","AA/AO","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2021","Female","AA/AO","Central Bedfordshire","70","70","20650","20920"
"In post","2021","Female","AA/AO","Central Hampshire","400","370","22160","20920"
"In post","2021","Female","AA/AO","Central Valleys","260","220","21490","21010"
"In post","2021","Female","AA/AO","Cheshire East","190","170","23810","21710"
"In post","2021","Female","AA/AO","Cheshire West and Chester","90","80","20560","21010"
"In post","2021","Female","AA/AO","Chorley and West Lancashire","300","270","23860","23240"
"In post","2021","Female","AA/AO","City of Edinburgh","1660","1530","22030","21490"
"In post","2021","Female","AA/AO","Clackmannanshire and Fife","280","250","21770","21010"
"In post","2021","Female","AA/AO","Conwy and Denbighshire","80","70","22440","23830"
"In post","2021","Female","AA/AO","Cornwall and Isles of Scilly","410","340","20780","21010"
"In post","2021","Female","AA/AO","Coventry","190","160","20840","21010"
"In post","2021","Female","AA/AO","Croydon","1090","950","24600","25630"
"In post","2021","Female","AA/AO","Darlington","70","60","20370","20590"
"In post","2021","Female","AA/AO","Derby","310","250","20500","21010"
"In post","2021","Female","AA/AO","Derry City and Strabane","[c]","[c]","[c]","[c]"
"In post","2021","Female","AA/AO","Devon CC","1050","880","21310","21010"
"In post","2021","Female","AA/AO","Dorset CC","430","400","22590","21710"
"In post","2021","Female","AA/AO","Dudley","370","290","20650","21010"
"In post","2021","Female","AA/AO","Dumfries and Galloway","120","100","22920","22230"
"In post","2021","Female","AA/AO","Durham CC","1830","1550","22110","21430"
"In post","2021","Female","AA/AO","Ealing","40","40","[c]","[c]"
"In post","2021","Female","AA/AO","East Ayrshire and North Ayrshire mainland","200","160","21270","21010"
"In post","2021","Female","AA/AO","East Cumbria","200","170","21000","21050"
"In post","2021","Female","AA/AO","East Derbyshire","80","70","20380","20180"
"In post","2021","Female","AA/AO","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","430","370","23320","21010"
"In post","2021","Female","AA/AO","East Kent","550","490","22770","23520"
"In post","2021","Female","AA/AO","East Lancashire","110","90","20290","21010"
"In post","2021","Female","AA/AO","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2021","Female","AA/AO","East Merseyside","210","170","20390","20180"
"In post","2021","Female","AA/AO","East Riding of Yorkshire","400","370","23160","21650"
"In post","2021","Female","AA/AO","East Surrey","240","220","29220","29920"
"In post","2021","Female","AA/AO","East Sussex CC","510","420","21480","21010"
"In post","2021","Female","AA/AO","Enfield","40","40","[c]","[c]"
"In post","2021","Female","AA/AO","Essex Haven Gateway","170","150","22930","21430"
"In post","2021","Female","AA/AO","Essex Thames Gateway","260","220","23440","24180"
"In post","2021","Female","AA/AO","Falkirk","620","500","21280","21010"
"In post","2021","Female","AA/AO","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2021","Female","AA/AO","Flintshire and Wrexham","520","470","21610","21010"
"In post","2021","Female","AA/AO","Glasgow City","2160","1870","21040","21010"
"In post","2021","Female","AA/AO","Gloucestershire","250","230","21250","21010"
"In post","2021","Female","AA/AO","Greater Manchester North East","200","170","22320","21010"
"In post","2021","Female","AA/AO","Greater Manchester North West","700","600","20870","21010"
"In post","2021","Female","AA/AO","Greater Manchester South East","440","370","20730","21010"
"In post","2021","Female","AA/AO","Greater Manchester South West","920","790","20540","20140"
"In post","2021","Female","AA/AO","Gwent Valleys","240","200","20850","21010"
"In post","2021","Female","AA/AO","Gwynedd","260","230","21080","21010"
"In post","2021","Female","AA/AO","Hackney and Newham","510","430","24270","25060"
"In post","2021","Female","AA/AO","Haringey and Islington","350","330","26060","24590"
"In post","2021","Female","AA/AO","Harrow and Hillingdon","340","300","24860","25630"
"In post","2021","Female","AA/AO","Hartlepool and Stockton-on-Tees","420","360","22120","21010"
"In post","2021","Female","AA/AO","Heart of Essex","230","200","23200","21550"
"In post","2021","Female","AA/AO","Herefordshire, County of","90","80","21080","20920"
"In post","2021","Female","AA/AO","Hertfordshire","390","350","24070","24180"
"In post","2021","Female","AA/AO","Hounslow and Richmond upon Thames","470","430","25670","24660"
"In post","2021","Female","AA/AO","Inverclyde, East Renfrewshire and Renfrewshire","210","180","21250","21010"
"In post","2021","Female","AA/AO","Inverness and Nairn and Moray, Badenoch and Strathspey","250","220","21440","21010"
