"Status","Year","Age","Region_ITL1","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","East Midlands (England)","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North East (England)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North East (England)","Department for Work and Pensions","40","40","[c]","[c]"
"In post","2021","16-19","North East (England)","HM Revenue and Customs","60","50","20770","20140"
"In post","2021","16-19","North East (England)","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Department for Work and Pensions","40","40","[c]","[c]"
"In post","2021","16-19","North West (England)","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","HM Revenue and Customs","50","50","[c]","[c]"
"In post","2021","16-19","North West (England)","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northern Ireland","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","HM Revenue and Customs","40","40","[c]","[c]"
"In post","2021","16-19","Scotland","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Scottish Government","100","100","21190","21150"
"In post","2021","16-19","South East (England)","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Department for Work and Pensions","[c]","[c]","[c]","[c]"
