"Status","Year","Region_ITL3","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Attorney General's Departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","80","70","49200","40200"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Business, Energy and Industrial Strategy","Unknown","40","40","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Environment, Food and Rural Affairs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Transport","Heterosexual / straight","60","60","32760","27680"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Work and Pensions","Heterosexual / straight","250","230","42420","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Work and Pensions","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Work and Pensions","Undeclared","50","50","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Work and Pensions","Unknown","50","50","36160","27570"
"In post","2021","Aberdeen City and Aberdeenshire","HM Revenue and Customs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","HM Revenue and Customs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","HM Revenue and Customs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Home Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Home Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Home Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Defence","Heterosexual / straight","70","70","38000","44070"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Justice","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Justice","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Justice","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Government","Heterosexual / straight","570","540","35610","33550"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Government","LGBO","40","40","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Government","Undeclared","110","90","28240","22820"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Government","Unknown","410","390","32200","30650"
"In post","2021","Angus and Dundee City","Department for Transport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Department for Work and Pensions","Heterosexual / straight","620","570","24290","21010"
"In post","2021","Angus and Dundee City","Department for Work and Pensions","LGBO","40","40","[c]","[c]"
"In post","2021","Angus and Dundee City","Department for Work and Pensions","Undeclared","80","70","22950","21010"
"In post","2021","Angus and Dundee City","Department for Work and Pensions","Unknown","220","190","23020","21010"
"In post","2021","Angus and Dundee City","HM Revenue and Customs","Heterosexual / straight","130","120","24500","21440"
"In post","2021","Angus and Dundee City","HM Revenue and Customs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","HM Revenue and Customs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","HM Revenue and Customs","Unknown","140","130","22510","20140"
"In post","2021","Angus and Dundee City","Ministry of Defence","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Angus and Dundee City","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Ministry of Justice","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Ministry of Justice","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Ministry of Justice","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Scottish Government","Heterosexual / straight","390","380","32980","28170"
"In post","2021","Angus and Dundee City","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Scottish Government","Undeclared","70","60","25570","22820"
"In post","2021","Angus and Dundee City","Scottish Government","Unknown","90","90","33010","26160"
"In post","2021","Antrim and Newtownabbey","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Home Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Home Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Ministry of Defence","Heterosexual / straight","160","150","23570","20310"
"In post","2021","Antrim and Newtownabbey","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Cabinet Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Department for Transport","Heterosexual / straight","40","30","[c]","[c]"
"In post","2021","Ards and North Down","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Ministry of Defence","Heterosexual / straight","150","140","23340","20310"
"In post","2021","Ards and North Down","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Ministry of Defence","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Department for Transport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Department for Work and Pensions","Heterosexual / straight","310","280","30810","31060"
"In post","2021","Barking & Dagenham and Havering","Department for Work and Pensions","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Department for Work and Pensions","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Department for Work and Pensions","Unknown","120","100","31520","31060"
"In post","2021","Barking & Dagenham and Havering","Food Standards Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","HM Treasury","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Ministry of Defence","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Ministry of Justice","Heterosexual / straight","90","70","29370","26150"
"In post","2021","Barking & Dagenham and Havering","Ministry of Justice","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Ministry of Justice","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Department for Transport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
