"Status","Year","Profession_of_post","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","G6/G7","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Department for Education (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Commercial","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Department for Transport (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Commercial","G6/G7","Department of Health and Social Care (excl. agencies)","50","50","54960","53360"
"In post","2021","Commercial","G6/G7","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Education and Skills Funding Agency","50","50","55310","51220"
"In post","2021","Commercial","G6/G7","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","HM Prison and Probation Service","150","150","72600","70740"
"In post","2021","Commercial","G6/G7","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Met Office","90","90","51640","48080"
"In post","2021","Commercial","G6/G7","Ministry of Defence (excl. agencies)","50","50","59740","54890"
"In post","2021","Commercial","G6/G7","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Department of Health and Social Care (excl. agencies)","40","30","[c]","[c]"
"In post","2021","Commercial","SCS","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Crown Commercial Service","270","260","33250","34800"
"In post","2021","Commercial","SEO/HEO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Defence Equipment and Support","560","540","35220","34410"
"In post","2021","Commercial","SEO/HEO","Defence Science and Technology Laboratory","50","40","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Department for Education (excl. agencies)","130","120","36270","36780"
"In post","2021","Commercial","SEO/HEO","Department for Environment, Food and Rural Affairs (excl. agencies)","100","90","35630","36700"
"In post","2021","Commercial","SEO/HEO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Department for Transport (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Department of Health and Social Care (excl. agencies)","110","100","36660","38300"
"In post","2021","Commercial","SEO/HEO","Driver and Vehicle Licensing Agency","70","60","35750","32180"
"In post","2021","Commercial","SEO/HEO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Education and Skills Funding Agency","110","100","35190","36500"
"In post","2021","Commercial","SEO/HEO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","FCDO Services","40","40","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Foreign, Commonwealth and Development Office (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","HM Prison and Probation Service","360","360","45890","46870"
"In post","2021","Commercial","SEO/HEO","HM Revenue and Customs (excl. agencies)","50","40","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Home Office (incl. agencies)","70","70","40770","42100"
"In post","2021","Commercial","SEO/HEO","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Legal Aid Agency","80","70","39100","40080"
"In post","2021","Commercial","SEO/HEO","Met Office","90","80","35920","37420"
"In post","2021","Commercial","SEO/HEO","Ministry of Defence (excl. agencies)","550","530","38100","37960"
"In post","2021","Commercial","SEO/HEO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Ministry of Justice (excl. agencies)","80","70","36470","36760"
"In post","2021","Commercial","SEO/HEO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","HM Prison and Probation Service","40","40","[c]","[c]"
"In post","2021","Commercial","Unknown","Ministry of Defence (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Commercial","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Submarine Delivery Agency","150","140","40040","38240"
"In post","2021","Communications","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Ministry of Defence (excl. agencies)","100","90","21360","21030"
"In post","2021","Communications","AA/AO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Department for Education (excl. agencies)","80","70","27680","28500"
"In post","2021","Communications","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Department of Health and Social Care (excl. agencies)","60","60","27420","27270"
"In post","2021","Communications","EO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Ministry of Defence (excl. agencies)","160","150","27690","26670"
"In post","2021","Communications","EO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","The National Archives","[c]","[c]","[c]","[c]"
