"Status","Year","Age","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Bedfordshire and Hertfordshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedfordshire and Hertfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedfordshire and Hertfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cumbria","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cumbria","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","16-19","East Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","Unknown","30","30","[c]","[c]"
"In post","2021","16-19","East Yorkshire and Northern Lincolnshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Yorkshire and Northern Lincolnshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Yorkshire and Northern Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Eastern Scotland","Heterosexual / straight","50","50","21400","21150"
"In post","2021","16-19","Eastern Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Eastern Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Eastern Scotland","Unknown","30","30","[c]","[c]"
"In post","2021","16-19","Essex","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Essex","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Essex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","100","100","19110","19040"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","40","40","[c]","[c]"
"In post","2021","16-19","Greater Manchester","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hampshire and Isle of Wight","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hampshire and Isle of Wight","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hampshire and Isle of Wight","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Herefordshire, Worcestershire and Warwickshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Herefordshire, Worcestershire and Warwickshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Herefordshire, Worcestershire and Warwickshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Highlands and Islands","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Highlands and Islands","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Highlands and Islands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - East","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - East","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - East","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - West","Heterosexual / straight","70","70","25690","25170"
"In post","2021","16-19","Inner London - West","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - West","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kent","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kent","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kent","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kent","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lancashire","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","16-19","Lancashire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lancashire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lancashire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicestershire, Rutland and Northamptonshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicestershire, Rutland and Northamptonshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicestershire, Rutland and Northamptonshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicestershire, Rutland and Northamptonshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lincolnshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lincolnshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Merseyside","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Merseyside","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Merseyside","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Merseyside","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Eastern Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Eastern Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Yorkshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Yorkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
