"Status","Year","Region_ITL1","Ethnicity","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Asian","Attorney General's Departments","50","50","36170","28430"
"In post","2021","East Midlands (England)","Asian","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Department for Work and Pensions","600","530","24580","27570"
"In post","2021","East Midlands (England)","Asian","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","HM Land Registry","90","80","29120","27130"
"In post","2021","East Midlands (England)","Asian","HM Revenue and Customs","410","380","28950","25560"
"In post","2021","East Midlands (England)","Asian","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Home Office","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Ministry of Justice","400","360","24660","20100"
"In post","2021","East Midlands (England)","Asian","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Asian","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Department for Work and Pensions","150","140","25590","27570"
"In post","2021","East Midlands (England)","Black","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","HM Revenue and Customs","70","70","28070","25560"
"In post","2021","East Midlands (England)","Black","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Ministry of Justice","190","180","25970","22850"
"In post","2021","East Midlands (England)","Black","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
