"Status","Year","Profession_of_post","Parent_department","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Attorney General's Departments","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Declared non-disabled","220","210","43460","41870"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","Declared non-disabled","280","280","41560","37910"
"In post","2021","Commercial","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","Unknown","50","50","37190","36500"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Declared non-disabled","110","110","38530","36970"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","Declared non-disabled","220","200","39030","33350"
"In post","2021","Commercial","Department for Transport","Undeclared","30","30","[c]","[c]"
"In post","2021","Commercial","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","Declared non-disabled","60","60","46300","38790"
"In post","2021","Commercial","Department of Health and Social Care","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","Unknown","170","160","48160","40650"
"In post","2021","Commercial","ESTYN","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","ESTYN","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","Declared non-disabled","110","100","46010","41580"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","Unknown","30","30","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","Declared non-disabled","70","70","41060","42100"
"In post","2021","Commercial","Home Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Declared disabled","210","200","38980","37320"
"In post","2021","Commercial","Ministry of Defence","Declared non-disabled","1470","1410","37440","34800"
"In post","2021","Commercial","Ministry of Defence","Undeclared","140","130","38980","37460"
"In post","2021","Commercial","Ministry of Defence","Unknown","230","220","39700","36800"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Declared disabled","110","110","44770","44760"
"In post","2021","Commercial","Ministry of Justice","Declared non-disabled","650","640","46810","43950"
"In post","2021","Commercial","Ministry of Justice","Undeclared","110","100","47630","46570"
"In post","2021","Commercial","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Qualifications and Examinations Regulation","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Qualifications and Examinations Regulation","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Rail and Road","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Rail and Road","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other Cabinet Office Agencies","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other Cabinet Office Agencies","Declared non-disabled","80","70","37880","35290"
