"Status","Year","Responsibility_level","Age","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","EO","16-19","Unknown","90","90","21380","20900"
"In post","2021","EO","16-19","White","180","180","23170","24300"
"In post","2021","EO","20-29","Asian","2210","2180","27900","27570"
"In post","2021","EO","20-29","Black","840","830","28740","28950"
"In post","2021","EO","20-29","Chinese","60","60","27410","27240"
"In post","2021","EO","20-29","Mixed","650","640","27840","27570"
"In post","2021","EO","20-29","Other ethnicity","170","160","28250","28070"
"In post","2021","EO","20-29","Undeclared","430","420","27410","27570"
"In post","2021","EO","20-29","Unknown","4410","4360","26790","26410"
"In post","2021","EO","20-29","White","12850","12710","26770","27130"
"In post","2021","EO","30-39","Asian","2560","2410","27770","27570"
"In post","2021","EO","30-39","Black","1060","1010","28720","28760"
"In post","2021","EO","30-39","Chinese","70","70","27450","27570"
"In post","2021","EO","30-39","Mixed","560","530","28060","27570"
"In post","2021","EO","30-39","Other ethnicity","140","140","28190","27680"
"In post","2021","EO","30-39","Undeclared","890","860","27940","27570"
"In post","2021","EO","30-39","Unknown","3880","3720","27420","27150"
"In post","2021","EO","30-39","White","16500","15550","27320","27570"
"In post","2021","EO","40-49","Asian","2460","2240","28260","27570"
"In post","2021","EO","40-49","Black","1220","1160","28990","29080"
"In post","2021","EO","40-49","Chinese","80","80","28110","27840"
"In post","2021","EO","40-49","Mixed","420","390","27900","27570"
"In post","2021","EO","40-49","Other ethnicity","180","170","28210","27570"
"In post","2021","EO","40-49","Undeclared","1340","1260","28170","27570"
"In post","2021","EO","40-49","Unknown","2630","2490","27840","27570"
"In post","2021","EO","40-49","White","20050","18600","27610","27570"
"In post","2021","EO","50-59","Asian","1900","1760","28870","28990"
"In post","2021","EO","50-59","Black","1830","1760","29630","29570"
"In post","2021","EO","50-59","Chinese","60","60","28020","27800"
"In post","2021","EO","50-59","Mixed","430","400","28700","27570"
"In post","2021","EO","50-59","Other ethnicity","180","170","28930","28130"
"In post","2021","EO","50-59","Undeclared","2360","2190","28580","27570"
"In post","2021","EO","50-59","Unknown","2820","2670","28790","27570"
"In post","2021","EO","50-59","White","29620","27320","27970","27570"
"In post","2021","EO","60-64","Asian","460","380","29350","29370"
"In post","2021","EO","60-64","Black","390","350","29680","29590"
"In post","2021","EO","60-64","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","EO","60-64","Mixed","100","90","28560","27570"
"In post","2021","EO","60-64","Other ethnicity","50","40","[c]","[c]"
"In post","2021","EO","60-64","Undeclared","650","510","28430","27570"
"In post","2021","EO","60-64","Unknown","730","590","28490","28130"
