"Status","Year","Region_ITL1","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","AA/AO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Crown Prosecution Service","110","110","21360","21950"
"In post","2021","East Midlands (England)","AA/AO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Department for Work and Pensions (excl. agencies)","1510","1260","20820","21010"
"In post","2021","East Midlands (England)","AA/AO","Driver and Vehicle Standards Agency","80","80","24400","24840"
"In post","2021","East Midlands (England)","AA/AO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","HM Courts and Tribunals Service","960","830","19090","19450"
"In post","2021","East Midlands (England)","AA/AO","HM Land Registry","230","210","22340","22350"
"In post","2021","East Midlands (England)","AA/AO","HM Prison and Probation Service","2740","2590","25000","24440"
"In post","2021","East Midlands (England)","AA/AO","HM Revenue and Customs (excl. agencies)","860","760","20520","20140"
"In post","2021","East Midlands (England)","AA/AO","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Legal Aid Agency","100","90","19160","18890"
"In post","2021","East Midlands (England)","AA/AO","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Ministry of Defence (excl. agencies)","940","900","21050","20920"
"In post","2021","East Midlands (England)","AA/AO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Office for Standards in Education, Children's Services and Skills","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","AA/AO","Office of the Public Guardian","220","200","18970","18880"
