"Status","Year","Region_ITL3","Region_ITL2","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Crown Office and Procurator Fiscal Service","100","90","33070","29040"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Department for Business, Energy and Industrial Strategy (excl. agencies)","100","90","50000","45620"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Department for Work and Pensions (excl. agencies)","260","230","26500","27570"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Food Standards Scotland","180","170","37410","33620"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Forestry and Land Scotland","70","60","30040","28120"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Health and Safety Executive","110","100","77580","90550"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Home Office (incl. agencies)","40","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Maritime and Coastguard Agency","50","50","34890","31760"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Met Office","30","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Ministry of Defence (excl. agencies)","110","100","38630","44070"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Scottish Courts and Tribunals Service","80","70","24440","22820"
