"Status","Year","Ethnicity","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","East Midlands (England)","Female","950","820","26710","25560"
"In post","2021","Asian","East Midlands (England)","Male","750","710","27440","25560"
"In post","2021","Asian","East of England","Female","660","570","29220","27310"
"In post","2021","Asian","East of England","Male","470","450","31950","28080"
"In post","2021","Asian","London","Female","8140","7500","36380","31520"
"In post","2021","Asian","London","Male","5420","5300","38030","32790"
"In post","2021","Asian","North East (England)","Female","220","190","26550","21440"
"In post","2021","Asian","North East (England)","Male","180","170","29350","25560"
"In post","2021","Asian","North West (England)","Female","1150","990","26920","25040"
"In post","2021","Asian","North West (England)","Male","1420","1380","28280","26000"
"In post","2021","Asian","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Female","60","60","42680","34770"
"In post","2021","Asian","Overseas","Male","90","90","48870","45910"
"In post","2021","Asian","Scotland","Female","270","250","29620","26160"
"In post","2021","Asian","Scotland","Male","230","230","34650","27570"
"In post","2021","Asian","South East (England)","Female","780","700","29500","27570"
"In post","2021","Asian","South East (England)","Male","600","570","31190","28400"
"In post","2021","Asian","South West (England)","Female","360","330","33080","27780"
"In post","2021","Asian","South West (England)","Male","420","410","35370","32650"
"In post","2021","Asian","Unknown","Female","110","90","28840","27570"
"In post","2021","Asian","Unknown","Male","60","60","31140","27570"
"In post","2021","Asian","Wales","Female","210","190","29870","25560"
"In post","2021","Asian","Wales","Male","220","210","30430","25560"
"In post","2021","Asian","West Midlands (England)","Female","2270","2030","27450","25560"
"In post","2021","Asian","West Midlands (England)","Male","1800","1760","28290","26560"
"In post","2021","Asian","Yorkshire and The Humber","Female","1130","990","27320","25560"
"In post","2021","Asian","Yorkshire and The Humber","Male","1180","1140","28750","27570"
"In post","2021","Black","East Midlands (England)","Female","310","280","26440","25420"
"In post","2021","Black","East Midlands (England)","Male","200","190","28260","27570"
"In post","2021","Black","East of England","Female","390","370","30030","29290"
"In post","2021","Black","East of England","Male","210","200","31990","29290"
"In post","2021","Black","London","Female","6750","6450","34110","31060"
"In post","2021","Black","London","Male","3220","3170","35480","31880"
"In post","2021","Black","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","North East (England)","Female","70","70","25800","21430"
"In post","2021","Black","North East (England)","Male","70","70","29490","25960"
"In post","2021","Black","North West (England)","Female","400","370","28310","26120"
"In post","2021","Black","North West (England)","Male","320","310","28870","27570"
"In post","2021","Black","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","Female","40","40","[c]","[c]"
"In post","2021","Black","Overseas","Male","30","30","[c]","[c]"
"In post","2021","Black","Scotland","Female","130","120","29020","27570"
"In post","2021","Black","Scotland","Male","110","110","35610","30790"
"In post","2021","Black","South East (England)","Female","480","450","29860","28130"
"In post","2021","Black","South East (England)","Male","370","360","31140","29290"
"In post","2021","Black","South West (England)","Female","270","260","31130","28430"
"In post","2021","Black","South West (England)","Male","270","260","33900","32780"
"In post","2021","Black","Unknown","Female","40","40","[c]","[c]"
"In post","2021","Black","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Wales","Female","100","90","27600","25560"
"In post","2021","Black","Wales","Male","90","90","29930","27570"
"In post","2021","Black","West Midlands (England)","Female","800","730","27730","26380"
"In post","2021","Black","West Midlands (England)","Male","400","390","29190","27570"
"In post","2021","Black","Yorkshire and The Humber","Female","280","260","29140","27570"
"In post","2021","Black","Yorkshire and The Humber","Male","240","230","29380","27570"
"In post","2021","Chinese","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","London","Female","350","340","44200","40070"
"In post","2021","Chinese","London","Male","250","240","41840","36360"
"In post","2021","Chinese","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","North West (England)","Female","80","70","30180","25310"
"In post","2021","Chinese","North West (England)","Male","70","70","27980","25560"
"In post","2021","Chinese","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Scotland","Female","30","30","[c]","[c]"
"In post","2021","Chinese","Scotland","Male","[c]","[c]","[c]","[c]"
