"Status","Year","Age","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","50","50","20240","20140"
"In post","2021","16-19","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","40","40","[c]","[c]"
"In post","2021","16-19","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","30","30","[c]","[c]"
"In post","2021","16-19","No function","500","470","21070","20140"
"In post","2021","16-19","Project Delivery","140","140","18260","17780"
"In post","2021","16-19","Property","40","40","[c]","[c]"
"In post","2021","16-19","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","410","400","22020","21010"
"In post","2021","20-29","Analysis","2480","2470","35990","33880"
"In post","2021","20-29","Commercial","920","920","33080","30820"
"In post","2021","20-29","Communications","2070","2060","30080","25560"
"In post","2021","20-29","Counter Fraud","1100","1100","29660","26090"
"In post","2021","20-29","Debt","1060","1030","21240","20140"
"In post","2021","20-29","Digital, Data & Technology","2060","2050","33410","31810"
"In post","2021","20-29","Finance","1310","1290","32130","30230"
"In post","2021","20-29","Grants Management","240","240","22390","21050"
"In post","2021","20-29","Human Resources","1420","1400","30600","28140"
"In post","2021","20-29","Internal Audit","50","50","34990","33930"
"In post","2021","20-29","Legal","1850","1830","30330","26970"
"In post","2021","20-29","No function","36030","35470","28820","26850"
"In post","2021","20-29","Project Delivery","4210","4180","31000","29750"
"In post","2021","20-29","Property","950","920","27250","25860"
"In post","2021","20-29","Security","1240","1240","27150","25680"
"In post","2021","20-29","Unknown","20420","20050","27730","27570"
"In post","2021","30-39","Analysis","2060","1970","45410","42470"
"In post","2021","30-39","Commercial","1530","1480","43080","39650"
"In post","2021","30-39","Communications","2450","2370","35520","31810"
"In post","2021","30-39","Counter Fraud","2060","2010","32740","31810"
"In post","2021","30-39","Debt","860","790","22050","20140"
"In post","2021","30-39","Digital, Data & Technology","3460","3390","41330","38630"
"In post","2021","30-39","Finance","1910","1830","40680","37190"
"In post","2021","30-39","Grants Management","370","330","24280","21050"
"In post","2021","30-39","Human Resources","2220","2100","36320","32120"
"In post","2021","30-39","Internal Audit","140","130","42530","39980"
"In post","2021","30-39","Legal","3380","3200","44190","48080"
"In post","2021","30-39","No function","42030","39850","33410","30450"
"In post","2021","30-39","Project Delivery","6310","6120","40910","38630"
"In post","2021","30-39","Property","1530","1460","33670","32100"
"In post","2021","30-39","Security","1600","1580","32740","31390"
"In post","2021","30-39","Unknown","31520","29450","31300","27570"
"In post","2021","40-49","Analysis","1420","1330","49410","47550"
