"Status","Year","Profession_of_post","Region_ITL3","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Antrim and Newtownabbey","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Gloucestershire, Wiltshire and Bath/Bristol area","1160","1110","39660","37400"
"In post","2021","Commercial","Bedford","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","West Midlands","70","70","39140","36740"
"In post","2021","Commercial","Blackpool","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bournemouth and Poole","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bradford","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Breckland and South Norfolk","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bridgend and Neath Port Talbot","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Brighton and Hove","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","Gloucestershire, Wiltshire and Bath/Bristol area","80","80","39830","39230"
"In post","2021","Commercial","Buckinghamshire CC","Berkshire, Buckinghamshire and Oxfordshire","50","50","36230","36800"
"In post","2021","Commercial","Cambridgeshire CC","East Anglia","60","60","36180","34800"
"In post","2021","Commercial","Camden and City of London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cardiff and Vale of Glamorgan","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Central Bedfordshire","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Central Hampshire","Hampshire and Isle of Wight","140","130","34720","34800"
"In post","2021","Commercial","Central Valleys","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire East","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chorley and West Lancashire","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","City of Edinburgh","Eastern Scotland","50","50","36660","34190"
"In post","2021","Commercial","Clackmannanshire and Fife","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Conwy and Denbighshire","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Coventry","West Midlands","60","60","38450","37100"
"In post","2021","Commercial","Croydon","Outer London - South","150","140","43970","43420"
"In post","2021","Commercial","Darlington","Tees Valley and Durham","50","50","40700","37100"
"In post","2021","Commercial","Derby","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon CC","Devon","200","190","42960","40140"
"In post","2021","Commercial","Dorset CC","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dudley","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Durham CC","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Cumbria","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Kent","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Lancashire","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Merseyside","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Riding of Yorkshire","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Surrey","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Sussex CC","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Enfield","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex Haven Gateway","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Falkirk","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Flintshire and Wrexham","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Glasgow City","West Central Scotland","90","90","35010","33300"
"In post","2021","Commercial","Gloucestershire","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester North East","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester North West","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester South East","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester South West","Greater Manchester","70","70","39740","38630"
"In post","2021","Commercial","Hackney and Newham","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Haringey and Islington","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Harrow and Hillingdon","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hartlepool and Stockton-on-Tees","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heart of Essex","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, County of","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hertfordshire","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hounslow and Richmond upon Thames","Outer London - West and North West","60","50","35920","28460"
"In post","2021","Commercial","Inverclyde, East Renfrewshire and Renfrewshire","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inverness and Nairn and Moray, Badenoch and Strathspey","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Isle of Anglesey","West Wales and The Valleys","[c]","[c]","[c]","[c]"
