"Status","Year","Sexual_orientation","Organisation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Accountant in Bankruptcy","Unknown","80","70","32700","29190"
"In post","2021","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","No function","490","450","32330","31040"
"In post","2021","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","Project Delivery","60","60","43070","39580"
"In post","2021","Heterosexual / straight","Animal and Plant Health Agency","Commercial","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Animal and Plant Health Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Animal and Plant Health Agency","No function","1780","1680","30420","27850"
"In post","2021","Heterosexual / straight","Animal and Plant Health Agency","Project Delivery","50","50","29760","29180"
"In post","2021","Heterosexual / straight","Attorney General's Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Office","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Attorney General's Office","No function","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","Commercial","300","290","72280","64500"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","Communications","190","180","47440","42210"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","Counter Fraud","70","70","48510","50730"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","Digital, Data & Technology","660","650","51890","54700"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","Finance","60","60","48280","43090"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","Human Resources","870","820","39480","35590"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","Legal","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","No function","1520","1500","47360","41760"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","Project Delivery","150","150","70290","64500"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","Property","80","80","50370","53000"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","Security","470","450","34980","33300"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","Analysis","170","160","32880","29270"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","No function","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","No function","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Unknown","120","110","32660","29160"
"In post","2021","Heterosexual / straight","Companies House","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Companies House","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Companies House","Digital, Data & Technology","170","170","39590","38000"
"In post","2021","Heterosexual / straight","Companies House","Finance","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Companies House","Human Resources","70","60","32790","27460"
"In post","2021","Heterosexual / straight","Companies House","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Companies House","No function","370","340","26300","22490"
"In post","2021","Heterosexual / straight","Companies House","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Companies House","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Companies House","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Companies House","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Analysis","100","100","59350","56360"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Digital, Data & Technology","60","60","56130","51270"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Human Resources","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Legal","130","130","68500","72430"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Project Delivery","310","290","59990","56360"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Criminal Injuries Compensation Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Criminal Injuries Compensation Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Criminal Injuries Compensation Authority","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Criminal Injuries Compensation Authority","No function","180","170","26030","22570"
"In post","2021","Heterosexual / straight","Crown Commercial Service","Commercial","250","240","34760","34800"
"In post","2021","Heterosexual / straight","Crown Commercial Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Commercial Service","Digital, Data & Technology","80","80","42190","38600"
"In post","2021","Heterosexual / straight","Crown Commercial Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Commercial Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Commercial Service","No function","130","130","41390","36740"
