"Status","Year","Function_of_post","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Department for Education (excl. agencies)","150","140","44150","42420"
"In post","2021","Analysis","Digital, Data and Technology","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Competition and Markets Authority","90","90","62530","59510"
"In post","2021","Analysis","Economics","Department for Business, Energy and Industrial Strategy (excl. agencies)","200","200","40840","34400"
"In post","2021","Analysis","Economics","Department for Digital, Culture, Media and Sport","80","70","53810","59730"
"In post","2021","Analysis","Economics","Department for International Trade","150","150","43340","32330"
"In post","2021","Analysis","Economics","Department for Transport (excl. agencies)","170","170","47750","54110"
"In post","2021","Analysis","Economics","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","HM Revenue and Customs (excl. agencies)","100","100","45640","36160"
"In post","2021","Analysis","Economics","HM Treasury (excl. agencies)","90","80","48050","52530"
"In post","2021","Analysis","Economics","Ministry of Defence (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Analysis","Economics","Ministry of Housing, Communities and Local Government (excl. agencies)","80","70","43680","35060"
"In post","2021","Analysis","Economics","Ministry of Justice (excl. agencies)","50","40","[c]","[c]"
"In post","2021","Analysis","Economics","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","United Kingdom Statistics Authority","150","150","37150","32540"
"In post","2021","Analysis","Economics","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
