"Status","Year","Ethnicity","Region_ITL1","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","East Midlands (England)","Attorney General's Departments","50","50","36170","28430"
"In post","2021","Asian","East Midlands (England)","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Department for Work and Pensions","600","530","24580","27570"
"In post","2021","Asian","East Midlands (England)","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","HM Land Registry","90","80","29120","27130"
"In post","2021","Asian","East Midlands (England)","HM Revenue and Customs","410","380","28950","25560"
"In post","2021","Asian","East Midlands (England)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Home Office","30","30","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Ministry of Justice","400","360","24660","20100"
"In post","2021","Asian","East Midlands (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Attorney General's Departments","30","30","[c]","[c]"
"In post","2021","Asian","East of England","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Department for Work and Pensions","350","310","28010","27570"
"In post","2021","Asian","East of England","Department of Health and Social Care","80","70","46180","38200"
"In post","2021","Asian","East of England","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","HM Revenue and Customs","50","50","34180","31810"
"In post","2021","Asian","East of England","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Home Office","270","230","23970","21430"
"In post","2021","Asian","East of England","Ministry of Defence","110","110","40080","37000"
"In post","2021","Asian","East of England","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Ministry of Justice","180","160","27150","24170"
"In post","2021","Asian","East of England","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Attorney General's Departments","590","550","44340","43920"
"In post","2021","Asian","London","Cabinet Office","420","410","47350","41820"
