"Status","Year","Profession_of_post","Disability","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Declared disabled","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Ministry of Defence","210","200","38980","37320"
"In post","2021","Commercial","Declared disabled","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Ministry of Justice","110","110","44770","44760"
"In post","2021","Commercial","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Department for Business, Energy and Industrial Strategy","220","210","43460","41870"
"In post","2021","Commercial","Declared non-disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Department for Education","280","280","41560","37910"
"In post","2021","Commercial","Declared non-disabled","Department for Environment, Food and Rural Affairs","110","110","38530","36970"
"In post","2021","Commercial","Declared non-disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Department for Transport","220","200","39030","33350"
