"Status","Year","Region_ITL3","Parent_department","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Barking & Dagenham and Havering","Ministry of Defence","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Ministry of Defence","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Ministry of Justice","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Ministry of Justice","Declared non-disabled","80","70","28350","26150"
"In post","2021","Barking & Dagenham and Havering","Ministry of Justice","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Department for Transport","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Department for Transport","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Department for Work and Pensions","Declared disabled","40","40","[c]","[c]"
"In post","2021","Barnet","Department for Work and Pensions","Declared non-disabled","230","210","30750","31060"
"In post","2021","Barnet","Department for Work and Pensions","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Department of Health and Social Care","Declared disabled","40","40","[c]","[c]"
"In post","2021","Barnet","Department of Health and Social Care","Declared non-disabled","650","620","38830","33100"
"In post","2021","Barnet","Department of Health and Social Care","Undeclared","50","40","[c]","[c]"
"In post","2021","Barnet","Department of Health and Social Care","Unknown","370","340","49770","44950"
"In post","2021","Barnet","Home Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Home Office","Declared non-disabled","120","120","44680","42170"
"In post","2021","Barnet","Home Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Ministry of Defence","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Ministry of Defence","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Ministry of Justice","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Ministry of Justice","Declared non-disabled","60","60","27310","26150"
"In post","2021","Barnet","Ministry of Justice","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Environment, Food and Rural Affairs","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Environment, Food and Rural Affairs","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Transport","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Transport","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Work and Pensions","Declared disabled","250","210","24920","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Work and Pensions","Declared non-disabled","1030","860","25160","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Work and Pensions","Undeclared","60","50","25030","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Work and Pensions","Unknown","30","30","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department of Health and Social Care","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department of Health and Social Care","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department of Health and Social Care","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Food Standards Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Food Standards Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","HM Treasury","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","HM Treasury","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Home Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Home Office","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Home Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Defence","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Defence","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Justice","Declared disabled","170","150","29240","26810"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Justice","Declared non-disabled","1010","930","28830","26810"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Justice","Undeclared","190","180","31290","31650"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Justice","Unknown","140","130","24030","22850"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Attorney General's Departments","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Attorney General's Departments","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Cabinet Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Cabinet Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Cabinet Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Cabinet Office","Unknown","30","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Transport","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Transport","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Work and Pensions","Declared disabled","70","60","27440","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Work and Pensions","Declared non-disabled","230","210","27480","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Work and Pensions","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Food Standards Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Food Standards Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","HM Treasury","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","HM Treasury","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Home Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Home Office","Declared non-disabled","170","160","26530","25240"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Home Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","Declared disabled","1180","1140","37390","35010"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","Declared non-disabled","8450","8170","38690","36100"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","Undeclared","720","700","40930","40070"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence","Unknown","1210","1160","38190","36110"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice","Declared disabled","70","70","31570","31300"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice","Declared non-disabled","520","470","31020","28220"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice","Undeclared","100","90","30670","31650"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice","Unknown","50","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","National Crime Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","National Crime Agency","Declared non-disabled","110","110","38860","36690"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","National Crime Agency","Unknown","290","280","34720","34140"
"In post","2021","Bedford","Department for Business, Energy and Industrial Strategy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Business, Energy and Industrial Strategy","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Environment, Food and Rural Affairs","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Environment, Food and Rural Affairs","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Transport","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Transport","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Work and Pensions","Declared disabled","40","30","[c]","[c]"
"In post","2021","Bedford","Department for Work and Pensions","Declared non-disabled","180","160","31710","27570"
"In post","2021","Bedford","Department for Work and Pensions","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Food Standards Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Food Standards Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Home Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Home Office","Declared non-disabled","90","90","29030","26160"
"In post","2021","Bedford","Home Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Ministry of Defence","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Ministry of Defence","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Ministry of Justice","Declared disabled","50","50","29290","27850"
"In post","2021","Bedford","Ministry of Justice","Declared non-disabled","260","250","30270","30400"
"In post","2021","Bedford","Ministry of Justice","Undeclared","30","30","[c]","[c]"
"In post","2021","Bedford","Ministry of Justice","Unknown","60","60","24190","22850"
"In post","2021","Bedford","National Crime Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","National Crime Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Cabinet Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Cabinet Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Competition and Markets Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Competition and Markets Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Department for Business, Energy and Industrial Strategy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Department for Business, Energy and Industrial Strategy","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Department for Digital, Culture, Media and Sport","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Department for Digital, Culture, Media and Sport","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Department for Work and Pensions","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Department for Work and Pensions","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Food Standards Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Food Standards Agency","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","Belfast","Food Standards Agency","Undeclared","30","30","[c]","[c]"
"In post","2021","Belfast","HM Revenue and Customs","Declared disabled","180","160","28300","25560"
"In post","2021","Belfast","HM Revenue and Customs","Declared non-disabled","1110","1030","30410","28130"
"In post","2021","Belfast","HM Revenue and Customs","Undeclared","90","80","28210","25560"
"In post","2021","Belfast","HM Revenue and Customs","Unknown","620","580","25250","21440"
"In post","2021","Belfast","Home Office","Declared disabled","30","30","[c]","[c]"
"In post","2021","Belfast","Home Office","Declared non-disabled","360","320","24780","21430"
"In post","2021","Belfast","Home Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Home Office","Unknown","50","40","[c]","[c]"
"In post","2021","Belfast","Ministry of Defence","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Ministry of Defence","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","Belfast","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","National Crime Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","National Crime Agency","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Belfast","National Crime Agency","Unknown","70","70","40360","40210"
"In post","2021","Belfast","Northern Ireland Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Northern Ireland Office","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Belfast","Northern Ireland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Attorney General's Departments","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Attorney General's Departments","Declared non-disabled","90","80","44880","40280"
"In post","2021","Berkshire","Attorney General's Departments","Unknown","40","30","[c]","[c]"
"In post","2021","Berkshire","Cabinet Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Cabinet Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Cabinet Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for Business, Energy and Industrial Strategy","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for Business, Energy and Industrial Strategy","Declared non-disabled","40","30","[c]","[c]"
"In post","2021","Berkshire","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for Environment, Food and Rural Affairs","Declared disabled","40","40","[c]","[c]"
"In post","2021","Berkshire","Department for Environment, Food and Rural Affairs","Declared non-disabled","270","260","35340","31040"
"In post","2021","Berkshire","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for Environment, Food and Rural Affairs","Unknown","40","40","[c]","[c]"
"In post","2021","Berkshire","Department for International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for International Trade","Declared non-disabled","90","80","47720","51970"
"In post","2021","Berkshire","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for Transport","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for Transport","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for Work and Pensions","Declared disabled","70","60","29600","29290"
"In post","2021","Berkshire","Department for Work and Pensions","Declared non-disabled","340","310","29420","29290"
"In post","2021","Berkshire","Department for Work and Pensions","Undeclared","[c]","[c]","[c]","[c]"
