"Status","Year","Function_of_post","Responsibility_level","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","AA/AO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","20-29","120","120","21720","21050"
"In post","2021","Analysis","AA/AO","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","50-59","40","30","[c]","[c]"
"In post","2021","Analysis","AA/AO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","20-29","300","290","26620","26410"
"In post","2021","Analysis","EO","30-39","130","120","25490","24920"
"In post","2021","Analysis","EO","40-49","120","110","26270","25560"
"In post","2021","Analysis","EO","50-59","120","110","27090","26780"
"In post","2021","Analysis","EO","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","20-29","370","370","54180","54110"
"In post","2021","Analysis","G6/G7","30-39","890","850","57730","55840"
"In post","2021","Analysis","G6/G7","40-49","670","630","59990","57780"
"In post","2021","Analysis","G6/G7","50-59","400","380","60740","58130"
"In post","2021","Analysis","G6/G7","60-64","60","50","60890","56780"
"In post","2021","Analysis","G6/G7","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","30-39","30","30","[c]","[c]"
"In post","2021","Analysis","SCS","40-49","70","70","84370","78830"
"In post","2021","Analysis","SCS","50-59","50","40","[c]","[c]"
"In post","2021","Analysis","SCS","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","20-29","1690","1690","34670","33930"
"In post","2021","Analysis","SEO/HEO","30-39","990","950","36400","36790"
"In post","2021","Analysis","SEO/HEO","40-49","550","510","37250","37320"
"In post","2021","Analysis","SEO/HEO","50-59","380","360","37230","37280"
"In post","2021","Analysis","SEO/HEO","60-64","80","60","37740","37320"
"In post","2021","Analysis","SEO/HEO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","20-29","110","110","21280","20920"
"In post","2021","Commercial","AA/AO","30-39","60","60","21530","21020"
"In post","2021","Commercial","AA/AO","40-49","110","100","22210","21580"
"In post","2021","Commercial","AA/AO","50-59","170","160","22780","21890"
"In post","2021","Commercial","AA/AO","60-64","50","40","[c]","[c]"
"In post","2021","Commercial","AA/AO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","20-29","220","220","26010","26440"
"In post","2021","Commercial","EO","30-39","160","150","26430","26670"
"In post","2021","Commercial","EO","40-49","170","160","27000","26670"
"In post","2021","Commercial","EO","50-59","220","210","27560","26930"
"In post","2021","Commercial","EO","60-64","70","60","27520","26780"
"In post","2021","Commercial","EO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","20-29","80","80","54940","54700"
"In post","2021","Commercial","G6/G7","30-39","340","340","58520","54700"
"In post","2021","Commercial","G6/G7","40-49","590","580","62220","59370"
"In post","2021","Commercial","G6/G7","50-59","610","610","62600","60110"
"In post","2021","Commercial","G6/G7","60-64","100","80","64560","61480"
"In post","2021","Commercial","G6/G7","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","30-39","110","110","74700","68000"
"In post","2021","Commercial","SCS","40-49","220","220","93110","74000"
"In post","2021","Commercial","SCS","50-59","210","210","104650","94480"
"In post","2021","Commercial","SCS","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","20-29","440","440","34910","34550"
"In post","2021","Commercial","SEO/HEO","30-39","790","770","37460","37240"
"In post","2021","Commercial","SEO/HEO","40-49","730","700","38350","38200"
"In post","2021","Commercial","SEO/HEO","50-59","880","870","40000","40000"
"In post","2021","Commercial","SEO/HEO","60-64","160","150","40370","40380"
"In post","2021","Commercial","SEO/HEO","65+","30","30","[c]","[c]"
"In post","2021","Commercial","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","20-29","60","60","28200","26670"
"In post","2021","Commercial","Unknown","30-39","60","60","38410","38260"
"In post","2021","Commercial","Unknown","40-49","60","60","45680","41930"
"In post","2021","Commercial","Unknown","50-59","50","50","51860","48230"
"In post","2021","Commercial","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","20-29","100","100","22470","21630"
"In post","2021","Communications","AA/AO","30-39","90","70","20910","20660"
"In post","2021","Communications","AA/AO","40-49","110","100","21250","21130"
"In post","2021","Communications","AA/AO","50-59","140","130","21090","21370"
"In post","2021","Communications","AA/AO","60-64","50","40","21530","21440"
"In post","2021","Communications","AA/AO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","20-29","1130","1120","25850","25560"
"In post","2021","Communications","EO","30-39","870","840","25570","25560"
"In post","2021","Communications","EO","40-49","530","500","25850","25560"
"In post","2021","Communications","EO","50-59","480","460","25990","25560"
"In post","2021","Communications","EO","60-64","140","110","25980","26700"
"In post","2021","Communications","EO","65+","50","40","[c]","[c]"
"In post","2021","Communications","G6/G7","20-29","70","70","54220","54620"
"In post","2021","Communications","G6/G7","30-39","380","370","57290","55140"
"In post","2021","Communications","G6/G7","40-49","380","360","58410","56660"
"In post","2021","Communications","G6/G7","50-59","200","190","59710","59160"
"In post","2021","Communications","G6/G7","60-64","30","30","[c]","[c]"
"In post","2021","Communications","G6/G7","65+","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","40-49","70","70","86170","80790"
"In post","2021","Communications","SCS","50-59","40","40","[c]","[c]"
"In post","2021","Communications","SCS","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","65+","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","20-29","770","760","35080","33210"
"In post","2021","Communications","SEO/HEO","30-39","1090","1070","35930","33580"
"In post","2021","Communications","SEO/HEO","40-49","760","730","36170","35900"
"In post","2021","Communications","SEO/HEO","50-59","570","550","35730","34320"
"In post","2021","Communications","SEO/HEO","60-64","90","80","35920","35030"
"In post","2021","Communications","SEO/HEO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","20-29","70","70","20430","20140"
"In post","2021","Counter Fraud","AA/AO","30-39","90","80","20730","20140"
"In post","2021","Counter Fraud","AA/AO","40-49","180","160","21360","21440"
"In post","2021","Counter Fraud","AA/AO","50-59","340","300","21820","21440"
"In post","2021","Counter Fraud","AA/AO","60-64","110","90","21770","21440"
"In post","2021","Counter Fraud","AA/AO","65+","50","40","[c]","[c]"
"In post","2021","Counter Fraud","EO","20-29","670","660","26610","25560"
"In post","2021","Counter Fraud","EO","30-39","870","840","26310","25560"
"In post","2021","Counter Fraud","EO","40-49","710","660","26770","25560"
"In post","2021","Counter Fraud","EO","50-59","870","820","27700","28130"
"In post","2021","Counter Fraud","EO","60-64","250","190","28040","28130"
"In post","2021","Counter Fraud","EO","65+","50","40","28950","28130"
"In post","2021","Counter Fraud","G6/G7","20-29","60","60","54120","52580"
"In post","2021","Counter Fraud","G6/G7","30-39","240","240","55120","52580"
"In post","2021","Counter Fraud","G6/G7","40-49","260","250","57300","54410"
"In post","2021","Counter Fraud","G6/G7","50-59","420","410","58470","58130"
"In post","2021","Counter Fraud","G6/G7","60-64","100","70","60220","58250"
"In post","2021","Counter Fraud","G6/G7","65+","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","20-29","300","300","33580","31810"
"In post","2021","Counter Fraud","SEO/HEO","30-39","860","840","33840","31810"
"In post","2021","Counter Fraud","SEO/HEO","40-49","1110","1080","34950","32390"
"In post","2021","Counter Fraud","SEO/HEO","50-59","1550","1500","36050","36160"
"In post","2021","Counter Fraud","SEO/HEO","60-64","330","250","36640","35240"
"In post","2021","Counter Fraud","SEO/HEO","65+","70","50","37530","36060"
"In post","2021","Debt","AA/AO","16-19","50","50","20140","20140"
"In post","2021","Debt","AA/AO","20-29","910","880","20350","20140"
"In post","2021","Debt","AA/AO","30-39","670","610","20390","20140"
"In post","2021","Debt","AA/AO","40-49","560","500","20960","20140"
"In post","2021","Debt","AA/AO","50-59","830","720","21580","21440"
"In post","2021","Debt","AA/AO","60-64","310","240","21810","21440"
